gene,degree_centrality,strength,betweenness_centrality,closeness_centrality,harmonic_centrality,eigenvector_centrality,pagerank,clustering_coefficient,core_number
LOX,0.2584269662921348,138.05962973717473,0.00021268245916233403,0.32275553080788116,290.8315035259346,0.08200760298207543,0.00214358926333714,0.5159848949754063,100
LOXL1,0.07865168539325842,34.19755284300879,0.0001254922179007143,0.25086053765992083,208.90449905362166,0.009417065143717448,0.0007917853532874671,0.27909809594387675,46
LOXL2,0.28230337078651685,153.40698238366738,4.7932781994263195e-05,0.2993013440470852,290.4435324374638,0.09462283148649674,0.002307968539670636,0.5427843473852466,100
LOXL3,0.28230337078651685,153.40698238366738,4.7932781994263195e-05,0.2993013440470852,290.4435324374638,0.09462283148649676,0.002307968539670636,0.542784347385246,100
LOXL4,0.28230337078651685,153.40698238366738,4.7932781994263195e-05,0.2993013440470852,290.4435324374638,0.09462283148649678,0.002307968539670636,0.5427843473852461,100
LPA,0.21348314606741572,94.72150536942205,0.011160890658828363,0.3041167999823055,253.60316398666572,0.04727339629972432,0.0016603076269014433,0.39072895643247324,100
LRG1,0.23174157303370785,106.03716189021482,0.04566088275731285,0.35084217549295205,279.5896933047783,0.051275731194130335,0.0018815051255446353,0.37301169937751166,100
LTBP1,0.20365168539325842,92.54518924760929,0.006751845003871743,0.31008206060392657,256.5757853166573,0.05128137478126966,0.001609682146699564,0.43509278516983124,100
LTBP2,0.2556179775280899,128.00439670910976,0.0016612936361194077,0.3185729427916962,279.8174629744023,0.0716059482635068,0.002041182818158599,0.46929059918430105,100
LTBP3,0.2794943820224719,152.898259182805,0.00011465184212067065,0.3012766959325508,291.7861959865419,0.09465068725210328,0.0022983385234726476,0.550665826048906,100
LTBP4,0.22752808988764045,107.74153450603315,0.0015131402202942525,0.2776137005008349,252.3247444353656,0.055322715547254014,0.0017934907897115785,0.4055069600680415,100
LUM,0.19803370786516852,86.22313673882074,0.0005649583590132587,0.2803040625448762,238.2349348519485,0.04599952017880432,0.0014980986653505611,0.42030934428506966,100
Lama1,0.13202247191011235,63.55727938179998,0.0020939016103288612,0.22661655781025156,203.73904343100776,0.00028691779919285716,0.0015666242362647905,0.4945701653406487,72
Lama2,0.06741573033707865,26.299366358819892,0.00039902653328908485,0.20801901688750468,173.30775178950208,8.385029866337432e-05,0.0008880952332707056,0.2857860305204667,33
Lama3,0.03792134831460674,16.779131497062057,0.0006479242718753457,0.20358850274636664,164.96457413917784,8.464823990511545e-06,0.000862329738052011,0.24344222148195638,22
Lama4,0.05196629213483146,21.806602959750585,0.002066246306041499,0.2563717085945342,196.73105100262703,0.00038165459866288943,0.0008597588167880974,0.2601196172676635,26
Lama5,0.13342696629213482,55.33601986018475,0.0016435152262203891,0.26677528533302447,213.63792879029228,0.000649152145009567,0.0013006673556491565,0.5228137432767657,77
Lamb1,0.16151685393258428,65.09008675387588,0.008656110241944405,0.3099145493456987,239.72867601285787,0.005104924451008308,0.0015248216697727876,0.2846039308406175,76
Lamb2,0.21769662921348315,93.43159060108204,0.13588236223707706,0.3472174670171504,270.16290064235557,0.017114824323662122,0.0019093925056436504,0.2490348065641981,77
Lamc1,0.1699438202247191,75.66276119529864,0.00022914394980957348,0.2394759515060464,211.8456611298428,0.00031929277964817473,0.0019194514219768365,0.3899594280598966,77
Lgals1,0.05196629213483146,22.224567177297107,0.0003595189557357101,0.2636514746437185,202.4418097127187,0.0006583020406099497,0.0007942078174323052,0.22380032196868346,26
Lgals12,0.1853932584269663,103.59826712167924,3.67936559094403e-05,0.2717907619603629,248.66066753331884,0.0006879741054076021,0.0022174211190711043,0.6135786963555546,77
Lgals3,0.03932584269662921,18.685776452358905,0.0003219867570600041,0.22654105548568917,182.25113781580032,3.6181819641632335e-05,0.0008940855586126215,0.27491850300161136,22
Lgals8,0.05898876404494382,27.808565785512023,0.000988479590385436,0.21565432537963042,182.38101762854325,3.504564406739148e-05,0.0011360858249777916,0.26590231065359626,26
Lgals9,0.05758426966292135,26.154783180990844,0.004515716114350732,0.25711467080895783,200.54535465215926,0.0002698307853240833,0.001132376909289254,0.22431147705857207,25
Lgalsl,0.047752808988764044,21.969303099520783,0.0008882620353250421,0.20968185210325221,173.3815019734387,1.869663456376288e-05,0.0010274735380019287,0.264819110314044,22
Lgi1,0.16573033707865167,84.96109617819378,0.0008968220104616065,0.23878737617327317,220.45666148055088,0.0004097706248026249,0.001876582026472807,0.5966579897558122,77
Lgi2,0.03932584269662921,19.333110943140777,7.52290122578844e-05,0.21636650126217274,171.62803331481936,2.751756749856706e-05,0.0010355023419237803,0.3918491650315324,22
Lgi3,0.1853932584269663,103.59826712167924,3.67936559094403e-05,0.2717907619603629,248.66066753331884,0.0006879741054075986,0.0022174211190711043,0.6135786963555543,77
Lman1,0.15589887640449437,71.08238970127256,0.0005531060857472464,0.2444430944316945,214.00515963680525,0.0003519134939204607,0.0017670330524587898,0.4506731677726893,77
Loxl1,0.04073033707865169,18.57953860505875,7.901515510674948e-05,0.207666106323153,170.11672243041005,1.0792431546800007e-05,0.0008937413046847768,0.3046168456030916,23
Loxl2,0.07724719101123595,36.670771248119365,0.00476856461069233,0.24427768633038976,201.49352931762394,7.576433162594772e-05,0.0013999026808858646,0.25740881131431775,26
Ltbp1,0.03792134831460674,16.11173428316571,0.00021334091878822358,0.20330471979739306,166.93857033807484,1.1935776570957145e-05,0.0007863540475487013,0.24196434566663574,23
Ltbp2,0.06039325842696629,29.785314061405366,9.715272480170788e-05,0.21930076909091503,185.96800839001503,3.270045849980685e-05,0.0011640523743005038,0.39207179032965284,26
Ltbp4,0.06179775280898876,26.798241194499994,0.010350985318984181,0.27808287122681596,212.13151823736706,0.0012328686200510708,0.0010682360255423015,0.2399657494720292,26
Lum,0.08426966292134831,33.480816356993614,0.0011220152025158425,0.25231321069514784,198.74124445022224,0.00020823288409822828,0.0010829406254669383,0.2561526604096222,38
MASP1,0.2794943820224719,152.898259182805,0.00011037185455238838,0.3012766959325508,291.7861959865419,0.09465068725210334,0.0022983385234726476,0.5506658260489055,100
MASP2,0.21067415730337077,103.19177835352538,0.0021255076723715608,0.26898149822676837,247.97618119975832,0.06199573969572361,0.0016996957572333023,0.507727064370632,100
MATN2,0.273876404494382,133.11662029490748,0.001568450828868977,0.29543874792032204,270.63809192511934,0.07095187882049198,0.002126835525769053,0.41814313269541337,100
MATN3,0.2794943820224719,152.67459485226954,9.84200457959525e-05,0.3013367771710821,291.59825292035487,0.09453898357559516,0.0022951665629540935,0.5502077126625589,100
MATN4,0.22191011235955055,120.28572241823424,8.874799227498357e-05,0.2872440746930907,270.72075814811205,0.07184858474066355,0.0019039390958358116,0.5487640276319403,100
MBL2,0.028089887640449437,16.321610496879554,0.00038745676901699933,0.2511787481043678,206.29978521421432,0.0008950279566919385,0.0006715661284544945,0.6435063339418854,20
MDK,0.06741573033707865,38.846570925598904,1.3185441953903423e-05,0.23850700418535847,214.07619437799448,0.0026070265308591445,0.00106518490176998,0.6501916826766577,46
MEGF6,0.10393258426966293,47.236448270073154,0.0001593848557296147,0.2538904559602368,218.99759496110516,0.01275391547243038,0.001052103388686531,0.3216620308976881,49
MFAP1,0.1348314606741573,66.74813122124067,7.312037369402376e-05,0.2541170255296372,226.2662666072046,0.014264357026787187,0.0013406650185288612,0.41367492161144687,59
MFAP2,0.22050561797752807,106.00317361560408,0.001927969784604687,0.2921351707970387,256.6806233226301,0.0601500091226115,0.0017725801129624469,0.4783656476115992,100
MFAP4,0.10814606741573034,49.04858219403605,0.0007427424580034451,0.25162979507933564,215.01419683115714,0.0072874353064463614,0.0011742862898591333,0.26099480540570574,46
MFAP5,0.11938202247191011,58.668962368944,8.066130417147343e-05,0.2559189184949344,224.45656566336243,0.014272207385980238,0.001177463125275018,0.429699715492102,59
MFGE8,0.22331460674157302,101.61190051827161,0.001718579623571801,0.2772572727693669,245.25937557334734,0.0524616726904459,0.001781491642314659,0.39125100638150345,100
MGP,0.17837078651685392,83.78937156906835,0.001750185685614501,0.26747577060946026,238.34021792886207,0.033763616620202865,0.0015025230323861293,0.37246900438212477,80
MMP1,0.08567415730337079,36.5048748567863,0.0003279128936930103,0.260797294476214,214.0849551709902,0.00928975873821937,0.000859614351654962,0.255805298505195,46
MMP12,0.06179775280898876,27.92990370506892,0.0004444602474754658,0.24147471660476194,201.5024847746211,0.005886737550019676,0.0007700539464090147,0.2987268826550837,33
MMP13,0.0547752808988764,27.503469679963505,4.897293467553743e-05,0.2393899924400441,196.81415282207686,0.0033806308654368124,0.0008296075898678102,0.4561431698269707,33
MMP14,0.20786516853932585,98.8654677210993,0.0007609159436779975,0.2641050116045066,241.70460690740848,0.05395150401432972,0.0016732764673916265,0.4632731138885824,100
MMP19,0.10393258426966293,47.26960345884028,0.00033299009869517814,0.25375811209316995,218.91741055613744,0.012839408251588205,0.0010473421998304733,0.3140133545368528,49
MMP2,0.22191011235955055,120.64636883243669,0.0018099330724699165,0.286637802929541,270.62253236733466,0.0716446669910211,0.0019153587294151477,0.546062004140695,100
MMP3,0.06741573033707865,38.81933282144701,2.551459961563587e-05,0.23864445586111033,214.0403707614147,0.0026065656767541635,0.0010646703232764234,0.6498648452852878,46
MMP9,0.11657303370786516,54.07522364266706,0.0008691667061742442,0.28967175739302864,233.37924240268455,0.011650523368620656,0.0011317036837387236,0.3449324905783787,59
MMRN1,0.10393258426966293,47.26960345884028,0.00033299009869517814,0.25375811209316995,218.91741055613744,0.012839408251588207,0.0010473421998304733,0.3140133545368528,49
MMRN2,0.125,53.90205639713461,0.0020069849397114366,0.25596516822231996,217.263715423745,0.008308457547476755,0.0012507386661645959,0.20680534402099846,48
MST1,0.028089887640449437,16.321610496879554,0.00038745676901699933,0.2511787481043678,206.29978521421432,0.0008950279566919263,0.0006715661284544945,0.6435063339418854,20
MUC1,0.1348314606741573,66.74813122124067,6.804082800858985e-05,0.2541170255296372,226.2662666072046,0.014264357026787194,0.0013406650185288612,0.41367492161144687,59
MXRA5,0.24297752808988762,124.42259420052001,0.0004326079742094534,0.31792689396821244,279.5429314759956,0.07083182459061876,0.0019843065296534955,0.4970042584615989,100
Masp2,0.04915730337078651,21.664981126737487,0.000450386384108472,0.20964983196204467,175.63340727688245,2.504961767183851e-05,0.0009439737244170675,0.23150478857688037,23
Matn2,0.15168539325842695,65.60319292788675,0.000892871252706269,0.2515613924763854,213.705388326877,0.0003296963223992436,0.0016580194833822847,0.42331424268827855,77
Matn4,0.16713483146067415,89.47456044379108,0.0007188732965649479,0.2722133961296566,241.58377481163114,0.0005992992984920638,0.0019926777340883856,0.5929659362759834,77
Mbl1,0.056179775280898875,26.99428862568142,0.0007947607684487216,0.21403417271016525,181.75555967618322,3.238125584697366e-05,0.0011261165160577915,0.2600927332720218,26
Mbl2,0.0449438202247191,19.041809000797322,0.00037137122900172254,0.23384756498206277,184.85141078739127,0.0001097190257960252,0.0008342435416642041,0.2048392638339045,26
Megf10,0.1853932584269663,103.36843623598463,0.00022783201249299966,0.27225659725659157,248.68739994538174,0.0006890398676835924,0.0022170780137921254,0.6085956110033575,77
Megf8,0.1853932584269663,103.36843623598463,0.00022783201249299966,0.27225659725659157,248.68739994538174,0.0006890398676835872,0.0022170780137921254,0.6085956110033576,77
Megf9,0.1853932584269663,103.59826712167924,3.67936559094403e-05,0.2717907619603629,248.66066753331884,0.0006879741054076073,0.0022174211190711043,0.6135786963555545,77
Mfap4,0.06320224719101124,29.483793883089362,0.0003572143470450967,0.21579858529409182,183.94343610760296,3.7825146497886756e-05,0.0012049616985284257,0.2368426723737031,26
Mfap5,0.03932584269662921,17.05927404718109,0.00042075570094344096,0.2036558824345172,169.7277593404319,1.5436887292142072e-05,0.0007911902071657351,0.23259470905563645,22
