gene,consensus_z,consensus_rank
Kng1,-0.01026335663033946,320.0
Sema7a,-0.01034094062646574,321.0
Itih2,-0.01611913498046073,322.0
Anxa1,-0.018006260377488797,323.0
Matn2,-0.02067521447424483,324.0
Serpina3k,-0.026436973044300774,325.0
Plxnb1,-0.02909305708294819,326.0
Fgf1,-0.031178795805555874,327.0
Fgg,-0.03585006011012599,328.0
C1qc,-0.04145657225116564,329.0
Ctsh,-0.05176181934104954,330.0
Prelp,-0.05470552500823561,331.0
Serpina1d,-0.07420420847933967,332.0
Creld1,-0.0754246213850865,333.0
Creld2,-0.07542462138508665,334.0
Ctss,-0.07837556676759154,335.0
FN1,-0.09088071538653053,336.0
Gpc1,-0.09093194453106467,337.0
FBN2,-0.09378600406189337,338.0
DSPP,-0.09453395702765767,339.0
NTN3,-0.09781344467660076,340.0
ADAM19,-0.0978690956002859,341.0
ADAMTS5,-0.09786909560028595,342.0
EBI3,-0.09805170019362776,343.0
COL4A3,-0.09805170019362777,344.0
EGF,-0.09805170019362784,345.0
COL1A1,-0.09810983412959899,346.0
TINAG,-0.09813680953594613,347.0
SEMA3G,-0.09813680953594624,348.0
SERPINI2,-0.09813680953594625,349.0
NTN4,-0.09815709893520644,350.0
KCP,-0.09816126294963289,351.0
MFAP1,-0.09816126294963298,352.0
LGALS2,-0.09818753303409677,353.0
COL4A4,-0.09822405395276505,354.0
MUC1,-0.0982395220610652,355.0
MMP9,-0.11542865350238289,356.0
CSTA,-0.12698288612411043,357.0
Lama1,-0.13028312780805018,358.0
Cstb,-0.13252981386887824,359.0
Hmcn2,-0.13620099510103795,360.0
Serpinc1,-0.1484224632575447,361.0
FREM2,-0.1576309223236566,362.0
LAMC3,-0.1576461393731018,363.0
Spon1,-0.16167492659377225,364.0
MFAP5,-0.16287902792147027,365.0
COL4A5,-0.16290946202036066,366.0
FRAS1,-0.1630007643170316,367.0
Fmod,-0.1640202046207288,368.0
SDC1,-0.16644098774443683,369.0
PRG3,-0.16644098774443683,369.0
DPT,-0.16834874609007752,371.0
Tinagl1,-0.1691133367994557,372.0
Adam9,-0.17326171062480586,373.0
PRG2,-0.17823279065056602,374.0
TGM3,-0.18674683646002116,375.0
C1QC,-0.20269323906599387,376.0
Hpx,-0.20418596699257086,377.0
Nid2,-0.21186598159593178,378.0
ANXA7,-0.21412369760203231,379.0
ADAMTSL4,-0.21599619530081637,380.0
CCN5,-0.21671624846104845,381.0
SERPINB12,-0.2290637183527262,382.0
Serpinb1a,-0.23846823939393394,383.0
OGN,-0.24137716728040204,384.0
FGF2,-0.24185501639086265,385.0
ELN,-0.24894151618537366,386.0
Col14a1,-0.24965099671759067,387.0
ANXA11,-0.2561423462602667,388.0
COL21A1,-0.2617027891504271,389.0
Ambp,-0.273606129657991,390.0
Col4a1,-0.2791978478297439,391.0
COL4A6,-0.2801757866854783,392.0
ELANE,-0.28256214416906045,393.0
CSTB,-0.29823237809731507,394.0
SPON1,-0.30570332408592543,395.0
GDF15,-0.30825840244063096,396.0
FLG2,-0.30827405900055,397.0
SFRP4,-0.31119434932794154,398.0
SEMA3E,-0.31119434932794166,399.0
MMP3,-0.31120081059018045,400.0
SCUBE3,-0.31121298422973676,401.0
HTRA3,-0.31122617233925565,402.0
INHBA,-0.31122617233925565,402.0
KAL1,-0.31122617233925587,404.0
ANGPTL4,-0.3112322228732275,405.0
LEFTY2,-0.311246461738516,406.0
VEGFA,-0.3112637077278872,407.0
SMOC1,-0.3112637077278872,407.0
CTSF,-0.31126874379189556,409.0
CPAMD8,-0.3112687437918957,410.0
F13B,-0.3112687437918958,411.0
MDK,-0.31127888849152574,412.0
HYAL1,-0.31129917789078587,413.0
GDF10,-0.311299177890786,414.0
GDF5,-0.3112991778907861,415.0
ITIH6,-0.3112991778907862,416.0
GPC4,-0.3186542613784159,417.0
Aspn,-0.3194893063653697,418.0
THSD4,-0.3203429744595782,419.0
Ctsz,-0.33101392559384485,420.0
LAMA3,-0.33126691560854665,421.0
SERPINB9,-0.34378231424694333,422.0
FGL2,-0.355636924918738,423.0
FGL1,-0.36380504188827123,424.0
COL4A2,-0.3639038524193794,425.0
Anxa5,-0.36560522281551466,426.0
Serpina3m,-0.367066256479059,427.0
AGT,-0.3688258595059597,428.0
PLXDC2,-0.378394026808838,429.0
NPNT,-0.3797128602924161,430.0
COL10A1,-0.3804834786702397,431.0
Tgm2,-0.38267529577019066,432.0
FLG,-0.38344342372503737,433.0
PAPLN,-0.3956786371404633,434.0
SEMA3C,-0.39762585712206955,435.0
MMRN2,-0.3979057137231235,436.0
P3H3,-0.40030328141099136,437.0
MEGF6,-0.40075218436962357,438.0
TNFSF13,-0.40099819333565384,439.0
VWA5A,-0.40099819333565384,439.0
SERPINB2,-0.40128731727511174,441.0
MMRN1,-0.405924406224468,442.0
MMP19,-0.405924406224468,442.0
SERPINA7,-0.4172577476498518,444.0
Col12a1,-0.4176064418298486,445.0
LAMC1,-0.4232298059524379,446.0
C1QA,-0.43210021432419743,447.0
SLPI,-0.4403161456169193,448.0
LAMA2,-0.4410306135114263,449.0
COL6A6,-0.446873412476162,450.0
S100A9,-0.4474603899970451,451.0
C17orf58,-0.45196657178784083,452.0
C1QTNF7,-0.45196657178784083,452.0
SFRP2,-0.4520192192807487,454.0
PODN,-0.45205979807926905,455.0
Sparc,-0.452837608915061,456.0
MFAP4,-0.4579378903468506,457.0
ANXA8,-0.46205228825141403,458.0
C1QTNF5,-0.46453207661519624,459.0
CCL21,-0.47336543638057044,460.0
Comp,-0.481198302354499,461.0
CTSB,-0.4814839950008846,462.0
Kera,-0.4825360155201476,463.0
Ltbp4,-0.4929985963179303,464.0
PLXNB2,-0.49586043506284977,465.0
FBN3,-0.5017554076605029,466.0
PZP,-0.5077530195635962,467.0
Vtn,-0.5089746088010574,468.0
Adipoq,-0.5097264903688008,469.0
ADAM17,-0.515104723986711,470.0
CTSG,-0.5229413298382892,471.0
Vwa1,-0.5234298638366587,472.0
Adam10,-0.5323804476338666,473.0
Ctsb,-0.532933303930368,474.0
Pcolce,-0.5403043145649089,475.0
SEMA3B,-0.5459476518054304,476.0
SERPINH1,-0.5511169803318392,477.0
Col1a2,-0.5590648039447823,478.0
HRNR,-0.5647366182293712,479.0
MMP1,-0.5666642941120368,480.0
SERPINB8,-0.5678644512742024,481.0
HCFC1,-0.5679253194719831,482.0
S100A6,-0.5708741296756124,483.0
Serpinf1,-0.5753654302142992,484.0
Col15a1,-0.5797385324775339,485.0
S100A12,-0.579775566556858,486.0
S100A8,-0.5955168545502413,487.0
Loxl2,-0.5975819598074571,488.0
MST1,-0.597669287034312,489.0
MBL2,-0.597669287034312,489.0
IGFBP6,-0.5977073296579248,491.0
FAM20C,-0.5977073296579248,491.0
HGFAC,-0.5977073296579248,491.0
SEMA3D,-0.5977240684123145,494.0
SPON2,-0.5977240684123145,494.0
C1QB,-0.5988530131990184,496.0
S100A11,-0.5996869645254327,497.0
SFRP1,-0.6022392366102233,498.0
PF4,-0.6140036213484444,499.0
ADIPOQ,-0.6171740477904513,500.0
Itih1,-0.617797206302606,501.0
ANGPTL2,-0.6250616056078592,502.0
AMBP,-0.6261796952787342,503.0
SERPINB3,-0.6298557352291255,504.0
LOXL1,-0.6306470218002738,505.0
NGLY1,-0.6306470218002738,505.0
Il16,-0.6324078935284527,507.0
Emilin1,-0.6341839136472186,508.0
LMAN1,-0.6449810579803144,509.0
COL8A2,-0.6460503593034096,510.0
F9,-0.6492825040275885,511.0
S100A7,-0.6527357621096668,512.0
SPARCL1,-0.6559282141498755,513.0
GAS6,-0.6566789219225032,514.0
CLEC14A,-0.6569528288125162,515.0
ADAM10,-0.6569629735121462,516.0
Lum,-0.6574052704709143,517.0
OMD,-0.6618046620171442,518.0
Thbs1,-0.6707542953113097,519.0
NID1,-0.6714789253619103,520.0
S100A7A,-0.6733355571717693,521.0
MMP13,-0.6733355571717694,522.0
LAMA1,-0.6735942470123368,523.0
INHBE,-0.6735942470123369,524.0
CLEC18B,-0.6736906216588229,525.0
CLEC5A,-0.6736906216588229,525.0
ANGPTL6,-0.6736906216588229,525.0
ADAMTSL5,-0.673690621658823,528.0
FBLN1,-0.6768949548282238,529.0
Angptl7,-0.6905329584410036,530.0
Pxdn,-0.6912311306709242,531.0
Serpine2,-0.6920551043038319,532.0
FREM1,-0.6929475679539043,533.0
LAMB4,-0.6929475679539044,534.0
TGM1,-0.6933736453383689,535.0
PLOD3,-0.694744771184343,536.0
F10,-0.6997730377308403,537.0
Lgals9,-0.7059387802705864,538.0
PDGFD,-0.7111166975663235,539.0
ISM2,-0.7111656328090435,540.0
ADAMTSL2,-0.7111960669079339,541.0
Cd109,-0.713695493009163,542.0
Vwa5a,-0.7193789593719209,543.0
S100A16,-0.7241538674505134,544.0
ADAM15,-0.7275050718220868,545.0
F13a1,-0.7319025538893646,546.0
CTSZ,-0.7321943875710477,547.0
Colec12,-0.7351110565581114,548.0
Sema3c,-0.7353858853683328,549.0
Adamtsl4,-0.7355194022221436,550.0
LAMA4,-0.7390487334918157,551.0
Col6a2,-0.7391295874253532,552.0
HMCN1,-0.7409212953778531,553.0
Emilin2,-0.7413591627730526,554.0
CTSC,-0.7441934639934754,555.0
SERPINE1,-0.7460271442405323,556.0
Fga,-0.7474759374099994,557.0
SERPINB6,-0.7479577565649008,558.0
COL18A1,-0.749079158462918,559.0
Thbs3,-0.7522440689937187,560.0
Tgm1,-0.7523049371914993,561.0
Srpx2,-0.7523049371914994,562.0
Srpx,-0.7523049371914994,562.0
Col4a4,-0.7523688487991689,564.0
Pcolce2,-0.7523810224387251,565.0
Cxcl12,-0.752475368145285,566.0
Hmcn1,-0.752484063602111,567.0
Egfl7,-0.752484063602111,567.0
Serping1,-0.76194052387988,569.0
Itih4,-0.7659942544752539,570.0
SERPINB1,-0.7661278831875976,571.0
Dcn,-0.7680615264958947,572.0
MMP12,-0.7716981505820137,573.0
LAMB1,-0.7794484467329053,574.0
EMILIN2,-0.7802814770792427,575.0
Serpinb6a,-0.7809613106382843,576.0
Ltbp2,-0.7827625323897525,577.0
Angpt1,-0.7830668733786557,578.0
Hrg,-0.7850667284737152,579.0
Angptl2,-0.8000525638586671,580.0
INHBC,-0.8004247794413065,581.0
COL22A1,-0.8004856476390871,582.0
Lama4,-0.8018733152318896,583.0
Efemp1,-0.8021627989361001,584.0
LGALS8,-0.8054477038881946,585.0
Anxa11,-0.8134442989238043,586.0
Chad,-0.8186649628107276,587.0
Plxdc2,-0.8197385209316316,588.0
COL7A1,-0.8206558296705394,589.0
NELL1,-0.822827017223116,590.0
Anxa7,-0.8256294281154591,591.0
Lgals1,-0.8279782510062187,592.0
Hcfc1,-0.8414016379171398,593.0
Anxa6,-0.8478638535511852,594.0
TIMP1,-0.8507896555060851,595.0
CLEC11A,-0.853547140755272,596.0
COL5A3,-0.857087439285899,597.0
Ntn1,-0.8689927948614717,598.0
Mmrn1,-0.8697232132348394,599.0
Fgl2,-0.8744688228922907,600.0
Sema3b,-0.8747528744819335,601.0
Col4a3,-0.8776452871404553,602.0
Slit3,-0.8777151407010412,603.0
Serpina1b,-0.8823112381462447,604.0
Igfbp5,-0.8873631763452925,605.0
Ctsf,-0.8876256585739224,606.0
THBS1,-0.8953894795767613,607.0
Smoc2,-0.9012645626324007,608.0
SBSPON,-0.904352219650365,609.0
Ccl21c,-0.9047191220984823,610.0
CPN2,-0.9101132351516217,611.0
S100a10,-0.9119451388029778,612.0
Lgals8,-0.9137916253639968,613.0
Igfbp6,-0.9154944361777123,614.0
Cilp2,-0.915953951115351,615.0
Adam17,-0.9161883103165057,616.0
Mfap4,-0.9174766871695288,617.0
Gas6,-0.9183299910762067,618.0
PXDN,-0.9211477612981805,619.0
Col4a5,-0.9220743374786026,620.0
COL28A1,-0.9268383499551134,621.0
