protein_a,protein_b,spearman_rho,abs_rho,sign,p_value
S100A4,COL4A1,-0.6848292938896609,0.6848292938896609,-1,0.0017142714282831729
S100A4,COL5A3,-0.6198347107438017,0.6198347107438017,-1,0.006073285623819443
S100A4,CPN2,0.5095367631326544,0.5095367631326544,1,0.030774410460390846
S100A4,EMILIN2,-0.6462809917355371,0.6462809917355371,-1,0.003756692838307032
S100A4,F13A1,-0.7442504907564427,0.7442504907564427,-1,0.0003971688877623609
S100A4,FBN3,-0.6911482839544804,0.6911482839544804,-1,0.0014910003524803703
S100A4,FGA,-0.5290791589009837,0.5290791589009837,-1,0.02396295632976796
S100A4,FNDC1,0.7373782146325174,0.7373782146325174,1,0.00047943547081424887
S100A4,HCFC1,-0.7860269127088954,0.7860269127088954,-1,0.00011008106308013366
S100A4,HTRA1,-0.6627070030241612,0.6627070030241612,-1,0.002724998775124114
S100A4,LAMA2,-0.5065657032893153,0.5065657032893153,-1,0.031929169512261595
S100A4,MFAP4,-0.5838132592161317,0.5838132592161317,-1,0.010966504011730471
S100A4,NELL1,-0.5110761484055784,0.5110761484055784,-1,0.030188953806556576
S100A4,NPNT,0.5182491469796916,0.5182491469796916,1,0.027573809256102588
S100A4,PLG,-0.8445193078392396,0.8445193078392396,-1,1.0416066259500175e-05
S100A4,PODN,-0.6504925025453933,0.6504925025453933,-1,0.003465898000043624
S100A4,PRSS2,0.5933884297520661,0.5933884297520661,1,0.009433642555151294
S100A4,PXDN,-0.5214210025060108,0.5214210025060108,-1,0.026475177132890992
S100A4,S100A6,0.5180315305329711,0.5180315305329711,1,0.027650463782946885
S100A4,SERPINB8,-0.7860269127088952,0.7860269127088952,-1,0.00011008106308013407
S100A4,SERPIND1,-0.5090056948776401,0.5090056948776401,-1,0.030978410827825528
S100A4,SERPINE2,0.996694214876033,0.996694214876033,1,7.096855113939887e-19
S100A4,SFRP2,-0.6504925025453933,0.6504925025453933,-1,0.003465898000043624
S100A4,SMOC2,0.5867768595041323,0.5867768595041323,1,0.010472191943010883
S100A4,SPARCL1,-0.6098367211363063,0.6098367211363063,-1,0.007205185247965594
S100A4,SRPX,0.5900826446280991,0.5900826446280991,1,0.00994204068315587
S100A4,THBS3,0.5415613923455601,0.5415613923455601,1,0.020271556018120508
S100A4,THBS4,0.996694214876033,0.996694214876033,1,7.096855113939887e-19
S100A4,TSKU,0.6911482839544804,0.6911482839544804,1,0.0014910003524803703
S100A4,VIT,0.5415613923455601,0.5415613923455601,1,0.020271556018120508
S100A4,VWF,-0.8868613632367192,0.8868613632367192,-1,9.412542734609425e-07
S100A7,AGT,0.646970131596579,0.646970131596579,1,0.003707789620613582
S100A7,AMBP,0.7097489044738752,0.7097489044738752,1,0.0009688404443205997
S100A7,COL4A2,0.6190684547622253,0.6190684547622253,1,0.006154576023108565
S100A7,ELN,0.6292235899690134,0.6292235899690134,1,0.005146023023739587
S100A7,F10,0.5311642515401511,0.5311642515401511,1,0.023312333757756695
S100A7,FGA,0.6260438739708137,0.6260438739708137,1,0.005446163635873882
S100A7,FGB,0.6818472276395214,0.6818472276395214,1,0.0018288609741068701
S100A7,FLG,-0.601079403836214,0.601079403836214,-1,0.008331388959312479
S100A7,FN1,0.6539455508051675,0.6539455508051675,1,0.003241470147822699
S100A7,KNG1,0.6853349372438156,0.6853349372438156,1,0.0016954439204195494
S100A7,PLXNB2,-0.8571352122748378,0.8571352122748378,-1,5.518776542084168e-06
S100A7,S100A8,0.7064382313302935,0.7064382313302935,1,0.0010485451180031835
S100A7,S100A9,0.6818472276395213,0.6818472276395213,1,0.0018288609741068734
S100A7,SERPINB12,-0.6652067169054084,0.6652067169054084,-1,0.0025907555029714762
S100A7,SERPINC1,0.6783595180352271,0.6783595180352271,1,0.001970842567759419
S100A7,SERPIND1,0.5946544875321657,0.5946544875321657,1,0.009244557893621927
S100A7,SERPINF1,0.7097489044738752,0.7097489044738752,1,0.0009688404443205997
S100A7,SERPINH1,0.5876790683235772,0.5876790683235772,1,0.010325307987977013
SERPINB12,ADAM19,-0.6564324477763613,0.6564324477763613,-1,0.0030873358265856342
SERPINB12,ADAMTS5,-0.6564324477763613,0.6564324477763613,-1,0.0030873358265856342
SERPINB12,CCN5,-0.5307973407791317,0.5307973407791317,-1,0.023425809178713727
SERPINB12,COL21A1,0.5252918287937745,0.5252918287937745,1,0.02518095846197379
SERPINB12,COL4A3,0.6564324477763613,0.6564324477763613,1,0.0030873358265856342
SERPINB12,COL4A4,0.6512432584658762,0.6512432584658762,1,0.0034160515583004183
SERPINB12,COL4A5,0.8135150996908767,0.8135150996908767,1,4.0217686981961055e-05
