canonical_gene,degree_centrality,strength,betweenness_centrality,closeness_centrality,harmonic_centrality,eigenvector_centrality,pagerank,clustering_coefficient,core_number,rank_degree_centrality,percentile_degree_centrality,rank_strength,percentile_strength,rank_betweenness_centrality,percentile_betweenness_centrality,rank_closeness_centrality,percentile_closeness_centrality,rank_harmonic_centrality,percentile_harmonic_centrality,rank_eigenvector_centrality,percentile_eigenvector_centrality,rank_pagerank,percentile_pagerank,rank_clustering_coefficient,percentile_clustering_coefficient,rank_core_number,percentile_core_number
SERPINB3,0.07865168539325842,34.19755284300879,0.00017685206872010146,0.25086053765992083,208.90449905362166,0.009417065143717455,0.0007917853532874672,0.27909809594387675,46,464.0,65.07713884992987,492.0,69.00420757363254,497.0,69.7054698457223,437.0,61.29032258064516,460.0,64.51612903225806,287.0,40.252454417952315,648.0,90.8835904628331,557.0,78.12061711079944,429.0,60.16830294530154
SERPINB6,0.06179775280898876,26.483303662839973,0.00011852273266012421,0.2550569589126459,204.3972733654045,0.004439515559254089,0.000733750150130324,0.27854582815277723,35,538.0,75.45582047685835,577.0,80.92566619915848,529.0,74.19354838709677,387.0,54.27769985974754,504.0,70.68723702664796,353.0,49.50911640953717,678.0,95.09116409537167,561.0,78.68162692847125,496.0,69.56521739130434
SERPINB8,0.07584269662921347,36.03776418741469,0.0002765530428736232,0.24233457939339992,209.77202575039144,0.010351457640356568,0.00085503266676167,0.3729245333947435,43,475.0,66.61991584852734,476.0,66.7601683029453,440.0,61.711079943899016,489.0,68.58345021037869,455.0,63.8148667601683,275.0,38.569424964936886,599.0,84.01122019635343,420.0,58.90603085553997,485.0,68.02244039270687
SERPINB9,0.11095505617977527,48.863454952553404,0.0011370280819861247,0.26036288206163344,219.4330018990829,0.01457737155798707,0.0010448615791986602,0.3117206685256984,51,378.0,53.015427769985976,387.0,54.27769985974754,185.0,25.94670406732118,358.0,50.210378681626935,355.0,49.78962131837307,225.0,31.55680224403927,493.0,69.14446002805049,505.0,70.82748948106592,384.0,53.85694249649369
SERPINC1,0.19101123595505617,82.87383537081664,0.0005452045702365714,0.2785325983996508,237.16396231437537,0.04471077520539696,0.0014496408670141311,0.4267174494032177,100,186.0,26.08695652173913,250.0,35.06311360448808,328.0,46.00280504908836,195.0,27.349228611500703,265.0,37.166900420757365,181.0,25.385694249649372,306.0,42.91725105189341,324.0,45.44179523141655,1.0,0.1402524544179523
SERPIND1,0.1952247191011236,90.7247030964068,0.0006123674520773085,0.28077691029021923,245.30090215610178,0.05194396317249214,0.0015350467126019512,0.47753928107955723,100,180.0,25.245441795231415,225.0,31.55680224403927,299.0,41.935483870967744,185.0,25.94670406732118,234.0,32.81907433380084,150.0,21.037868162692845,280.0,39.27068723702665,233.0,32.678821879382895,1.0,0.1402524544179523
SERPINE1,0.046348314606741575,22.296883300454247,0.00037137122900172254,0.2477024880829782,204.23983003511006,0.005281936616686738,0.0006410464998894919,0.38694455991994253,30,627.0,87.9382889200561,612.0,85.83450210378682,387.0,54.27769985974754,464.0,65.07713884992987,506.0,70.96774193548387,335.0,46.984572230014024,704.0,98.73772791023842,402.0,56.381486676016834,531.0,74.47405329593268
SERPINE2,0.20786516853932585,107.04324807642598,0.0005603491416320316,0.27189339248701777,254.57517530921857,0.06313022951330399,0.0017544234749675986,0.5129982189911748,100,152.0,21.31837307152875,107.0,15.007012622720897,321.0,45.02103786816269,257.0,36.044880785413746,132.0,18.513323983169705,104.0,14.586255259467041,201.0,28.190743338008417,185.0,25.94670406732118,1.0,0.1402524544179523
SERPINF1,0.19382022471910113,86.98373255187435,0.0012365871774206293,0.26370873785531984,235.87540535426302,0.046484449287458963,0.0014999244946295178,0.4196768580608062,100,181.0,25.385694249649372,235.0,32.959326788218796,175.0,24.544179523141654,339.0,47.54558204768583,270.0,37.86816269284712,169.0,23.70266479663394,289.0,40.53295932678822,334.0,46.84431977559607,1.0,0.1402524544179523
SERPINF2,0.1797752808988764,85.83194475001021,0.00032001137818233537,0.2897728455158898,247.6723044367374,0.05212198357702715,0.0014101749435961263,0.540846132703683,100,245.0,34.36185133239832,241.0,33.80084151472651,421.0,59.04628330995793,150.0,21.037868162692845,222.0,31.136044880785413,148.0,20.75736325385694,312.0,43.75876577840112,168.0,23.56241234221599,1.0,0.1402524544179523
