gene,ko_edge_count,delta_edge_count,ko_node_count,delta_node_count,ko_component_count,delta_component_count,ko_largest_component_nodes,delta_largest_component_nodes,ko_largest_component_edges,delta_largest_component_edges,ko_approx_avg_shortest_path,delta_approx_avg_shortest_path,ko_approx_global_efficiency,delta_approx_global_efficiency,degree_centrality,strength,betweenness_centrality,closeness_centrality,harmonic_centrality,eigenvector_centrality,pagerank,clustering_coefficient,core_number
SERPINF1,34009,138,712,1,1,0,712,1,34009,138,3.9525974220967277,-0.10443638717637116,0.2529981916219365,0.006866193190820324,0.1938202247191011,86.98373255187435,0.0012365871774206,0.2637087378553198,235.87540535426305,0.0464844492874589,0.0014999244946295,0.4196768580608062,100
SERPINA7,34091,56,712,1,1,0,712,1,34091,56,3.9571396595963764,-0.10897862467601982,0.25270778542650646,0.007156599386250351,0.0786516853932584,39.66462757946756,0.0011160890658828,0.2616154055788246,218.16927464903523,0.0046753686158698,0.0010350428518802,0.3757121915530089,46
SERPINB6,34103,44,712,1,1,0,712,1,34103,44,3.9339576099327296,-0.08579657501237303,0.2541969434228601,0.005667441389896721,0.0617977528089887,26.483303662839973,0.0001185227326601,0.2550569589126459,204.3972733654045,0.004439515559254,0.0007337501501303,0.2785458281527772,35
SERPINC1,34011,136,712,1,1,0,712,1,34011,136,3.8006153717219204,0.04754566319843612,0.2631152858667033,-0.0032509010539464867,0.1910112359550561,82.87383537081664,0.0005452045702365,0.2785325983996508,237.16396231437537,0.0447107752053969,0.0014496408670141,0.4267174494032177,100
SERPIND1,34008,139,712,1,1,0,712,1,34008,139,3.9065818134784562,-0.058420778558099684,0.2559782561188936,0.0038861286938632333,0.1952247191011236,90.7247030964068,0.0006123674520773,0.2807769102902192,245.30090215610176,0.0519439631724921,0.0015350467126019,0.4775392810795572,100
SERPINE1,34114,33,712,1,1,0,712,1,34114,33,3.830359123285253,0.017801911635103362,0.2610721260888749,-0.0012077412761181128,0.0463483146067415,22.296883300454247,0.0003713712290017,0.2477024880829782,204.2398300351101,0.0052819366166867,0.0006410464998894,0.3869445599199425,30
SERPING1,34002,145,712,1,1,0,712,1,34002,145,3.950857551812542,-0.1026965168921854,0.25310960642993274,0.006754778382824067,0.2036516853932584,92.47983787835403,0.0002212424342988,0.2636512951969008,237.012223911954,0.0508495098462479,0.0015561383279843,0.4438453259796538,100
SERPINB12,34069,78,712,1,1,0,712,1,34069,78,3.9245414851817757,-0.07638045026141915,0.2548068363593008,0.005057548453456018,0.1095505617977528,52.536559645727785,0.0012602917239526,0.2628959936611959,223.75576930572475,0.0131169002691314,0.0010761554451794,0.3718462113335352,59
SERPINB2,34073,74,712,1,1,0,712,1,34073,74,3.8917577600895648,-0.043596725169208206,0.2569533001912704,0.002911084621486426,0.1039325842696629,47.236448270073154,0.0001246511104639,0.2538904559602368,218.9975949611051,0.0127539154724303,0.0010521033886865,0.3216620308976881,49
SERPINI2,34050,97,712,1,1,0,712,1,34050,97,3.785329693584077,0.06283134133627977,0.2641777813158374,-0.004313396503080602,0.1362359550561797,67.13921432722238,6.229028060915415e-05,0.2541496216863201,226.1850286706633,0.0142424467101352,0.0013496652737005,0.4083082289101481,59
