Early_Protein,Late_Protein,Lag,F_Statistic,P_Value,Causal
Fgg,Megf8,3,0.32271146075055024,0.8093285392129177,False
Fgg,CCL16,1,0.31059817402939505,0.5875584760411302,False
Fgg,CCL16,2,0.2325671205957577,0.7971146524010448,False
Fgg,CCL16,3,0.37701144770812633,0.7732661419741511,False
Fgg,Adamtsl4,1,0.2282149764704797,0.6414344670624184,False
Fgg,Adamtsl4,2,0.14327643330978757,0.8684521267105862,False
Fgg,Adamtsl4,3,0.2489317305536221,0.859440000096229,False
Fgg,Sema4b,1,0.22220320576539473,0.645820841536594,False
Fgg,Sema4b,2,0.13509300864546334,0.8753732529018006,False
Fgg,Sema4b,3,0.21869791018786022,0.8800576811994314,False
Fgg,Pag1,1,0.3551852220325447,0.5622655861317813,False
Fgg,Pag1,2,0.3486725651227211,0.714748835092796,False
Fgg,Pag1,3,0.32271146075054974,0.809328539212918,False
Tnc,ADAMTS5,1,6.330501090888729,0.027105153888941424,True
Tnc,ADAMTS5,2,12.748356125958596,0.0023664188437040276,True
Tnc,ADAMTS5,3,10.182291352505398,0.009062509656521509,True
Tnc,Megf8,1,0.06416802234194072,0.8043132156921194,False
Tnc,Megf8,2,2.937683846628711,0.10422852684871349,False
Tnc,Megf8,3,1.696953819201908,0.26600548791993744,False
Tnc,CCL16,1,0.0,1.0,False
Tnc,CCL16,2,0.0,1.0,False
Tnc,CCL16,3,0.0,1.0,False
Tnc,Adamtsl4,1,1.5866298367753022e-15,0.999999971476791,False
Tnc,Adamtsl4,2,0.0,1.0,False
Tnc,Adamtsl4,3,2.9382034014357446e-16,0.9999999999999999,False
Tnc,Sema4b,1,0.029508057624893988,0.8664740350064818,False
Tnc,Sema4b,2,0.03943925617559327,0.9614935415146975,False
Tnc,Sema4b,3,0.019433797261801358,0.9959173408663721,False
Tnc,Pag1,1,0.0641680223419516,0.8043132156921035,False
Tnc,Pag1,2,2.9376838466287007,0.1042285268487141,False
Tnc,Pag1,3,1.6969538192019185,0.2660054879199354,False
TIMP3,ADAMTS5,1,0.601634157010672,0.45297090794884665,False
TIMP3,ADAMTS5,2,4.911681593883667,0.03613714133468873,True
TIMP3,ADAMTS5,3,16.671656590132752,0.002577963740923281,True
TIMP3,Megf8,1,0.04080920407042263,0.8432908573773742,False
TIMP3,Megf8,2,0.02727816026895293,0.9731706611452071,False
TIMP3,Megf8,3,0.024470423571274755,0.9942699917657791,False
TIMP3,CCL16,1,0.2659385617505813,0.615437796812198,False
TIMP3,CCL16,2,0.2531193832303302,0.781721507058766,False
TIMP3,CCL16,3,0.09518546792347415,0.9599077615507321,False
TIMP3,Adamtsl4,1,0.07426712471227094,0.7898549710018578,False
TIMP3,Adamtsl4,2,0.13346923990133716,0.8767545592827093,False
TIMP3,Adamtsl4,3,0.18895065429777158,0.9001839104232824,False
TIMP3,Sema4b,1,0.09339243792579605,0.765144276782344,False
TIMP3,Sema4b,2,0.1558486450981585,0.8579489969907899,False
TIMP3,Sema4b,3,0.21191185524814476,0.8846692074902535,False
TIMP3,Pag1,1,0.040809204070377955,0.8432908573774579,False
TIMP3,Pag1,2,0.027278160268942975,0.9731706611452163,False
