Gene_Symbol,Gradient_Magnitude,Mean_Zscore,Zscore_Range,Quartile
SDC4,1.878705524482882e-15,2.261555349953162,0.0,Q4_Late_Change
Fgfbp1,1.7544559555160433e-15,1.6131989493557883,0.0,Q4_Late_Change
FCN1,1.700029006457271e-15,2.595293011910862,0.0,Q4_Late_Change
Cyr61,1.6341095143701523e-15,2.739131278477615,0.0,Q4_Late_Change
SERPINA1E,1.5825014909598423e-15,3.0609870425232084,0.0,Q4_Late_Change
INHA,1.530459786680538e-15,-1.8988085913074035,0.0,Q4_Late_Change
Serpinb5,1.5204851266936714e-15,-1.9454278551826791,0.0,Q4_Late_Change
ZP2,1.3760693973186022e-15,-1.3020238343326442,0.0,Q4_Late_Change
Crp,1.3387728425851009e-15,2.572406317181577,0.0,Q4_Late_Change
ZP1,1.3355202360676444e-15,-1.36937453701946,0.0,Q4_Late_Change
Thbs2,1.3010426069826053e-15,1.958153762298128,0.0,Q4_Late_Change
Plod3,1.2988742026376343e-15,-0.6948489606611903,0.0,Q4_Late_Change
Cd209d,1.280876446574375e-15,-0.7821744623103869,0.0,Q4_Late_Change
Srpx,1.2598429244281562e-15,1.4501664049100849,0.0,Q4_Late_Change
Col6a5,1.1763593571467723e-15,1.3576446426776732,0.0,Q4_Late_Change
PRSS1,1.1741909528018013e-15,-1.0189638137658579,0.0,Q4_Late_Change
ZP3,1.1442669728412014e-15,-1.0152555910196865,0.0,Q4_Late_Change
1810010H24RIK,1.1206313654810174e-15,1.057091830033391,0.0,Q4_Late_Change
SERPINA3K,1.0882137205237008e-15,-0.6279623038351408,0.0,Q4_Late_Change
Fam20b,1.0328109895096915e-15,-0.6241955003732295,0.0,Q4_Late_Change
P3h1,1.0048385734595655e-15,-0.6989052282839227,0.0,Q4_Late_Change
Angptl1,9.139824314052802e-16,0.7954570614435342,0.0,Q4_Late_Change
Hmcn1,9.076940588048643e-16,-0.5810003763360635,0.0,Q4_Late_Change
Cilp,8.669280571194093e-16,1.2369927988921545,0.0,Q4_Late_Change
Thbs3,8.053453737222327e-16,-0.882398046247978,0.0,Q4_Late_Change
Clec3b,7.810592450585574e-16,-0.6091198594739702,0.0,Q4_Late_Change
Wnt10a,7.676151381197371e-16,-0.5905571198178141,0.0,Q4_Late_Change
PLXND1,7.60893084650327e-16,-0.7356344689056064,0.0,Q4_Late_Change
SMAP,7.575320579156219e-16,-0.5040942606299382,0.0,Q4_Late_Change
STFA2L1;STFA2,7.514605257497031e-16,0.5121853497256457,0.0,Q4_Late_Change
Col4a4,7.471237170597611e-16,0.6228707123163553,0.0,Q4_Late_Change
EGLN1,7.353059133796691e-16,-0.9895140095360894,0.0,Q4_Late_Change
SERPINA1A,7.345469718589293e-16,0.5036484603492991,0.0,Q4_Late_Change
Plod1,7.277164981722706e-16,-0.8334354302850125,0.0,Q4_Late_Change
TRY10,6.665674956440881e-16,-1.25713763794721,0.0,Q4_Late_Change
Shh,6.565928356572215e-16,0.7339901658052662,0.0,Q4_Late_Change
SERPINA1B,6.430403085011527e-16,0.5370063864502199,0.0,Q4_Late_Change
SEMA7A,6.404382232871875e-16,0.7915466072938264,0.0,Q4_Late_Change
Sema5b,6.401129626354418e-16,0.4311970673297323,0.0,Q4_Late_Change
PF4,6.378361380732223e-16,0.37767047404390924,0.0,Q4_Late_Change
NID2;NID-2,6.108937140869575e-16,-0.3494483680390455,0.0,Q4_Late_Change
SFTPA1,6.09430041154102e-16,0.4261937124920383,0.0,Q4_Late_Change
Megf6,6.074784772436281e-16,-0.44136599187827225,0.0,Q4_Late_Change
LGALS7,5.903480829183572e-16,-0.38152046300589953,0.0,Q4_Late_Change
COLQ,5.666040553409246e-16,0.5128286684205497,0.0,Q4_Late_Change
CST6,5.650861722994449e-16,-0.38572398461408663,0.0,Q4_Late_Change
ANGPT2,5.490399801466594e-16,0.529160367399385,0.0,Q4_Late_Change
PRL7C1,5.460042140637e-16,-1.3733820337478733,0.0,Q4_Late_Change
Cbln1,5.366800753803247e-16,-0.8813876558646393,0.0,Q4_Late_Change
Rif1,5.32993787993874e-16,-0.9073552610863832,0.0,Q4_Late_Change
CTSV,5.171102261669613e-16,-0.3520730185045678,0.0,Q4_Late_Change
TGM5,5.171102261669613e-16,-0.3520730185045678,0.0,Q4_Late_Change
MMP12,5.171102261669613e-16,-0.3520730185045678,0.0,Q4_Late_Change
HMCN2,5.171102261669613e-16,-0.3520730185045678,0.0,Q4_Late_Change
VWA2,5.171102261669613e-16,-0.3520730185045678,0.0,Q4_Late_Change
