effect_type,S100,CALM,CAMK,Target,total_effect,direct_effect,indirect_effect,mediated_pct,p_value
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2B,LOXL3,-0.028101220712115658,-0.027759244383108197,0.04772066343703574,-169.81704789949313,0.1716
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2D,LOXL3,-0.028101220712115658,-0.09693309197800397,0.05769009664855336,-205.29391672896492,0.5146
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2G,LOXL3,-0.028101220712115658,-0.02769281958452916,0.022082117501439923,-78.58063437051815,0.243
S100→CALM→Target,S100A8,CALM1,,LOXL4,-0.024126621737538167,-0.055750753229178926,0.03162413149164049,-131.0756716612218,0.1024
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK1,LOXL4,-0.024126621737538167,-0.11133255565112764,-0.002185695636827661,9.059269302618432,0.7488
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2A,LOXL4,-0.024126621737538167,-0.053707584055572764,-0.015490919026347362,64.20674719762081,0.5958
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2B,LOXL4,-0.024126621737538167,-0.03192093805169474,0.019774298354058327,-81.96049396875095,0.314
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2D,LOXL4,-0.024126621737538167,-0.055728779666958696,-0.00010866122391319515,0.45037894279301915,0.8222
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2G,LOXL4,-0.024126621737538167,-0.03489953180465159,0.007997326115397909,-33.14731006436353,0.4242
S100→CALM→Target,S100A8,CALM1,,TGM1,0.005548220520699396,-0.11906641116306158,0.12461463168375965,500.0,0.306
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK1,TGM1,0.005548220520699396,0.3378605466486608,0.017968169697995372,323.8546418794894,0.5076
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2A,TGM1,0.005548220520699396,-0.13434733894548728,0.11585708025695063,500.0,0.3168
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2B,TGM1,0.005548220520699396,-0.19788171898493154,-0.06540199326468873,-500.0,0.7138
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2D,TGM1,0.005548220520699396,-0.16316504599934706,0.21807168015568767,500.0,0.3826
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2G,TGM1,0.005548220520699396,-0.160776664318883,-0.015997647814077445,-288.33835559335006,0.869
S100→CALM→Target,S100A8,CALM1,,TGM2,-0.015510030820020521,-0.2197518287644972,0.2042417979444736,-500.0,0.1408
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK1,TGM2,-0.015510030820020521,-1.0923626981474943,-0.03431450019162497,221.24069635845873,0.3572
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2A,TGM2,-0.015510030820020521,-0.18812090956344604,-0.23981959712497414,500.0,0.3474
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2B,TGM2,-0.015510030820020521,0.1199123012179101,0.28185782375643353,-500.0,0.213
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2D,TGM2,-0.015510030820020521,-0.2064833452519039,-0.06561383370403646,423.0412851233113,0.9754
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2G,TGM2,-0.015510030820020521,0.06943642051668289,0.11091593586561507,-500.0,0.2486
S100→CALM→Target,S100A8,CALM1,,TGM3,-0.012493565784311881,-0.0016370730680261808,-0.010856492716285571,86.89667068402541,0.8822
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK1,TGM3,-0.012493565784311881,0.6419246767563391,0.025307385642910216,-202.56335204708807,0.9006
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2A,TGM3,-0.012493565784311881,-0.01976818489329599,0.13746663211796972,-500.0,0.333
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2B,TGM3,-0.012493565784311881,0.14935900776510733,0.12529856108615792,-500.0,0.4824
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2D,TGM3,-0.012493565784311881,-0.16202457992123326,0.7931305181063942,-500.0,0.1132
S100→CALM→CAMK→Target,S100A8,CALM1,CAMK2G,TGM3,-0.012493565784311881,0.22985691049533666,0.0887877425794873,-500.0,0.3584
S100→CALM→Target,S100A8,CALM2,,LOX,-0.044645605469729954,0.04283347826927398,-0.08747908373899889,195.9410849480143,0.2936
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK1,LOX,-0.044645605469729954,-0.3884556925017947,0.09419004386376882,-210.97271024273678,0.2762
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2A,LOX,-0.044645605469729954,0.3251300863839455,0.15455835515247382,-346.18940324880464,0.2158
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2B,LOX,-0.044645605469729954,-0.16257388562852157,-0.24125868777840476,500.0,0.1292
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2D,LOX,-0.044645605469729954,-0.07164214476403712,-0.05818149221462272,130.3185198240176,0.7834
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2G,LOX,-0.044645605469729954,-0.007302773668761659,-0.21944396530121646,491.52422280396905,0.1516
S100→CALM→Target,S100A8,CALM2,,LOXL2,-0.05523371319765397,0.16459342259664397,-0.2198271357942856,397.9944911681633,0.0038
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK1,LOXL2,-0.05523371319765397,-0.2678635878360474,0.0944450905387336,-170.99174593017423,0.267
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2A,LOXL2,-0.05523371319765397,0.5527030206426262,0.21249132780408325,-384.71309550325276,0.1808
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2B,LOXL2,-0.05523371319765397,-0.030714961508819548,-0.22939705552547024,415.320720344425,0.121
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2D,LOXL2,-0.05523371319765397,0.41157937402573874,0.125529006345856,-227.26881659512946,0.804
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2G,LOXL2,-0.05523371319765397,0.0992546972969664,-0.2859844606096201,500.0,0.0404
S100→CALM→Target,S100A8,CALM2,,LOXL3,-0.028101220712115658,0.04496262553682867,-0.0730638462489401,260.0023927695038,0.0648
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK1,LOXL3,-0.028101220712115658,-0.0831424496307679,0.027977105540662697,-99.55832818536794,0.4468
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2A,LOXL3,-0.028101220712115658,0.10323618380797737,0.03190497177923023,-113.53589264353421,0.3682
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2B,LOXL3,-0.028101220712115658,-0.018643418270896522,-0.07470769485879933,265.8521336996211,0.3694
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2D,LOXL3,-0.028101220712115658,-0.07712153933787472,-0.062048484209773026,220.80351898386118,0.6496
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2G,LOXL3,-0.028101220712115658,0.0337390824686347,-0.049124908632120046,174.81414467856254,0.386
S100→CALM→Target,S100A8,CALM2,,LOXL4,-0.024126621737538167,0.00729930240322312,-0.03142592414075948,130.25414201220084,0.1426
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK1,LOXL4,-0.024126621737538167,-0.07320006166072816,0.01758040578351014,-72.8672500226466,0.497
