Canonical_Gene_Symbol,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Pcolce,-0.014238819891568904,0.36564061205897835,-0.011252946916572889,0.04342748821780194,-0.3171621479127191,-0.21289746844400156,-0.029840527795355717,0.14098630188268682,0.6638056878875788,0.1394325035085071
SERPINA4,0.24796302291828126,0.0005773981924551362,0.056888437374018025,0.00019350343919556073,-0.010420765876699298,0.03223372556489816,-0.21281328425176835,0.07149475903770745,0.0021070929974703477,-0.07866183819260034
SERPINA6,0.05304461805655392,0.3084778943975829,-0.20511059389538416,0.2054958868366523,0.13078808864788372,0.43335751014536433,-0.21434149690393092,-0.04933710465941397,-0.001619493819091409,-0.07889705240650426
SERPINC1,0.2367016313087595,0.06444042058364792,0.006147172673510315,0.01780173978188683,-0.04220164209962759,0.11550342116413134,0.3043308539955191,-0.12052766151045498,-0.0035973534945724518,0.15625441563387563
SERPIND1,0.16023202917609322,0.02158587313997644,-0.3405559087989002,0.0236793635458954,0.13549749783392243,-0.19519046637711382,0.39012041994872115,-0.06591347101368548,-0.0020819432391366664,0.23177895557074527
SERPINF2,0.2417294889678975,-0.057879646470442046,-0.08485054553147839,-0.028636560718326116,0.021977105329864598,-0.1238637189443409,-0.2050365227302985,0.0289273826664518,0.0008804418892365562,0.042712402758937854
Serpinf1,-0.011296512599216435,0.3797237930243713,-0.012746162140106227,-0.14656305783177773,-0.34115828238412993,-0.24967598304669392,-0.049786315496378325,0.24825990516663776,-0.16161824491147114,0.13007030256011126
TIMP3,0.0037913210649081165,0.33935143310772287,0.20175010000465318,0.2504687774990805,0.4414828837343059,-0.00528115248725731,0.06375146863060342,-0.052903917777520015,-0.0018689171970518303,0.059070369006804596
TNXB,-0.16562032995203563,0.07026863883814402,-0.11891767091661631,0.09905527739636273,0.36162779615792384,-0.332459135219497,-0.35531821370823863,-0.08232502789947593,-0.0024842808603134517,0.2019889170861603
VTN,0.2255287388464602,0.043161086554049224,0.0852251573547835,0.04232739912177633,0.12043656592343636,-0.07346398161783828,-0.05629200371913577,0.18073241348103658,0.00511046635476606,0.003945217916546042
