Gene_Symbol,N_Measurements,N_Studies,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Std_Zscore_Delta,Direction_Consistency,Dominant_Direction,Cumulative_Effect,Combined_P_Value,Is_Weak_Signal
C1qtnf9,4,2,-0.031685862512156215,0.031685862512156215,0.28129466145795207,0.75,increase,-0.12674345004862486,0.6988841436254267,False
Dhrs7c,4,1,-0.3113219713800227,0.3113219713800227,0.35794183518181377,0.75,decrease,-1.2452878855200908,0.41934136091540786,False
Cd34,3,1,-0.31532062772497876,0.31532062772497876,0.1284573991972967,1.0,decrease,-0.9459618831749362,0.4345261321305781,False
Retn,2,1,-0.02245917274240379,0.02245917274240379,0.19194668210367088,0.5,decrease,-0.04491834548480758,0.5760321167131358,False
Npc2,3,1,0.08044381425414254,0.08044381425414254,0.2902112291490972,0.6666666666666666,decrease,0.24133144276242763,0.6850325371491309,False
Sord,4,1,0.13425840097974798,0.13425840097974798,0.08362277172445672,1.0,increase,0.5370336039189919,0.5950273367102359,False
Kars,4,1,0.0002467766441156677,0.0002467766441156677,0.1371267834881287,0.5,decrease,0.0009871065764626707,0.692915426309367,False
Orm1,4,1,0.17243384044013263,0.17243384044013263,0.11726328855848021,1.0,increase,0.6897353617605305,0.5626971734782279,False
Lrpap1,4,1,0.05739529601789537,0.05739529601789537,0.05713728932926075,0.75,increase,0.22958118407158148,0.6552504068805556,False
Ppia,4,1,0.09816358718028863,0.09816358718028863,0.22126382889693075,0.75,increase,0.3926543487211545,0.6110733707335334,False
Hsp90b1,4,1,-0.10232826683291915,0.10232826683291915,0.1665442702531261,0.75,decrease,-0.4093130673316766,0.6140131534481323,False
Cfb,4,1,0.005440962940836028,0.005440962940836028,0.15347656446972668,0.5,decrease,0.02176385176334411,0.6952370814251806,False
Anpep,4,1,-0.1039826095299488,0.1039826095299488,0.1340456177157126,0.75,decrease,-0.4159304381197952,0.6154667174558575,False
Hdlbp,4,1,-0.2606781235691031,0.2606781235691031,0.1401084064462019,1.0,decrease,-1.0427124942764123,0.4898755771093145,False
Dnpep,4,1,0.01399697786732667,0.01399697786732667,0.10604289087476292,0.5,decrease,0.05598791146930668,0.7047407128791243,False
Pzp,6,3,0.05871402075621071,0.05871402075621071,0.2272331476501155,0.6666666666666666,increase,0.35228412453726426,0.6947914710874155,False
