metabolite,4T1-15_R11+,4T1-15_R11-,4T1-17_R4+,4T1-17_R4-,4T1-19_R15+,4T1-19_R15-,4T1-1_R7+,4T1-1_R7-,4T1-21_R22+,4T1-21_R22-,4T1-25_R16+,4T1-25_R16-,4T1-27_R18+,4T1-27_R18-,CTL-11_R21+,CTL-11_R21-,CTL-12_R14+,CTL-12_R14-,CTL-1_R23+,CTL-1_R23-,CTL-3_R6+,CTL-3_R6-,CTL-4_R20+,CTL-4_R20-,CTL-5_R2+,CTL-5_R2-,CTL-7_R3+,CTL-7_R3-,CTL-8_R13+,CTL-8_R13-,CTL-9_R1+,CTL-9_R1-
Adenine,365000.0,,1660000.0,,261000.0,,817000.0,,1080000.0,,677000.0,,479000.0,,221000.0,,694000.0,,203000.0,,265000.0,,1520000.0,,221000.0,,255000.0,,865000.0,,273000.0,
Adenosine,1540000.0,,24400000.0,,2850000.0,,3150000.0,,8050000.0,,6420000.0,,2420000.0,,301000.0,,6610000.0,,504000.0,,673000.0,,23600000.0,,618000.0,,245000.0,,11200000.0,,264000.0,
Adenylosuccinic acid,,365000.0,,329000.0,,98400.0,,466000.0,,658000.0,,186000.0,,317000.0,,319000.0,,107000.0,,165000.0,,434000.0,,276000.0,,88000.0,,258000.0,,175000.0,,346000.0
Adenylyl sulfate,114000.0,,21400.0,,131000.0,,140000.0,,38400.0,,41200.0,,132000.0,,159000.0,,0.0,,148000.0,,135000.0,,2230.0,,125000.0,,145000.0,,9920.0,,124000.0,
Allantoate,23000.0,,135000.0,,68200.0,,40800.0,,265000.0,,408000.0,,32400.0,,18100.0,,77800.0,,0.0,,12900.0,,68900.0,,30700.0,,23000.0,,172000.0,,28400.0,
Alpha-linolenyl carnitine,61700.0,,64900.0,,81300.0,,59700.0,,3050.0,,80700.0,,21100.0,,82200.0,,11900.0,,83400.0,,80200.0,,45300.0,,17900.0,,56100.0,,816.0,,61300.0,
Anthranilate,,16300.0,,14400.0,,11000.0,,20900.0,,21100.0,,17000.0,,16400.0,,11900.0,,30200.0,,7970.0,,16000.0,,19100.0,,15500.0,,15000.0,,39000.0,,13700.0
Argininosuccinate,23300.0,,26000.0,,65800.0,,32800.0,,33200.0,,22200.0,,78500.0,,35100.0,,14800.0,,27400.0,,36800.0,,9480.0,,34800.0,,17800.0,,27500.0,,20200.0,
Ascorbate,494000.0,,3820000.0,,784000.0,,603000.0,,2160000.0,,982000.0,,639000.0,,432000.0,,802000.0,,505000.0,,598000.0,,1720000.0,,561000.0,,537000.0,,517000.0,,400000.0,
Asymmetric dimethyl arginine,186000.0,,131000.0,,325000.0,,319000.0,,345000.0,,246000.0,,281000.0,,229000.0,,143000.0,,217000.0,,319000.0,,135000.0,,261000.0,,219000.0,,156000.0,,307000.0,
Atherospermidine,6840.0,,23900.0,,0.0,,4020.0,,18200.0,,19200.0,,0.0,,0.0,,25800.0,,0.0,,0.0,,33200.0,,0.0,,0.0,,7720.0,,0.0,
Biliverdin,1300.0,,2130.0,,437.0,,519.0,,510.0,,2970.0,,0.0,,0.0,,2240.0,,0.0,,0.0,,2860.0,,0.0,,356.0,,4390.0,,0.0,
Butyrylcarnitine,6360000.0,,10100000.0,,5180000.0,,5460000.0,,3900000.0,,2770000.0,,5420000.0,,4820000.0,,3800000.0,,3810000.0,,5230000.0,,5140000.0,,4470000.0,,5820000.0,,4340000.0,,7490000.0,
CDP,,66800.0,,48000.0,,41100.0,,52400.0,,23300.0,,24300.0,,18000.0,,9870.0,,19500.0,,13800.0,,18400.0,,23900.0,,12600.0,,4030.0,,39000.0,,24500.0
