metabolite,4T1-15_R11+,4T1-15_R11-,4T1-17_R4+,4T1-17_R4-,4T1-19_R15+,4T1-19_R15-,4T1-1_R7+,4T1-1_R7-,4T1-21_R22+,4T1-21_R22-,4T1-25_R16+,4T1-25_R16-,4T1-27_R18+,4T1-27_R18-,CTL-11_R21+,CTL-11_R21-,CTL-12_R14+,CTL-12_R14-,CTL-1_R23+,CTL-1_R23-,CTL-3_R6+,CTL-3_R6-,CTL-4_R20+,CTL-4_R20-,CTL-5_R2+,CTL-5_R2-,CTL-7_R3+,CTL-7_R3-,CTL-8_R13+,CTL-8_R13-,CTL-9_R1+,CTL-9_R1-
S-Adenosyl-L-methionine,182000.0,,212000.0,,164000.0,,214000.0,,295000.0,,214000.0,,209000.0,,238000.0,,175000.0,,265000.0,,191000.0,,210000.0,,229000.0,,175000.0,,176000.0,,194000.0,
S-Glutathionyl-L-cysteine,80000.0,,294000.0,,177000.0,,47400.0,,267000.0,,251000.0,,35700.0,,12400.0,,403000.0,,0.0,,0.0,,375000.0,,26400.0,,0.0,,549000.0,,45800.0,
Sedoheptulose 7-phosphate,,276000.0,,1610000.0,,459000.0,,399000.0,,1420000.0,,1130000.0,,606000.0,,93200.0,,1290000.0,,81300.0,,23900.0,,1570000.0,,110000.0,,78300.0,,1530000.0,,79100.0
Serine-Phosphoethanolamine,,113000.0,,89200.0,,90600.0,,82800.0,,121000.0,,125000.0,,74500.0,,114000.0,,130000.0,,103000.0,,81200.0,,166000.0,,62500.0,,67900.0,,100000.0,,60900.0
Serotonin,23900.0,,101000.0,,43700.0,,29600.0,,28200.0,,34000.0,,16700.0,,9450.0,,570000.0,,18100.0,,13100.0,,631000.0,,21100.0,,10200.0,,501000.0,,21800.0,
Spermidine,1230000.0,,1380000.0,,860000.0,,938000.0,,2660000.0,,2950000.0,,1240000.0,,581000.0,,2760000.0,,550000.0,,696000.0,,1780000.0,,521000.0,,690000.0,,2870000.0,,561000.0,
Spermine,97800.0,,64900.0,,23100.0,,126000.0,,76700.0,,90200.0,,28400.0,,37000.0,,102000.0,,24100.0,,30500.0,,83000.0,,30700.0,,37400.0,,119000.0,,23700.0,
Sphinganine 1-phosphate,,21100.0,,13800.0,,11500.0,,20300.0,,8280.0,,10800.0,,8050.0,,3930.0,,17400.0,,5750.0,,15200.0,,34300.0,,12400.0,,15500.0,,18000.0,,20400.0
Sphingosine,45100.0,,107000.0,,331000.0,,58100.0,,836000.0,,65000.0,,125000.0,,518000.0,,82500.0,,616000.0,,68700.0,,126000.0,,546000.0,,50600.0,,326000.0,,48600.0,
Sphingosine 1-phosphate,,7630.0,,11900.0,,19800.0,,14300.0,,12600.0,,9610.0,,12700.0,,0.0,,9190.0,,1950.0,,7260.0,,2540.0,,10500.0,,12900.0,,7430.0,,22200.0
Succinate,,14000000.0,,2610000.0,,1770000.0,,8370000.0,,1400000.0,,943000.0,,2520000.0,,4790000.0,,475000.0,,1380000.0,,3640000.0,,1310000.0,,4420000.0,,7510000.0,,1440000.0,,4790000.0
Taurine,184000000.0,,54000000.0,,154000000.0,,172000000.0,,51300000.0,,55200000.0,,176000000.0,,185000000.0,,38000000.0,,171000000.0,,189000000.0,,49300000.0,,188000000.0,,170000000.0,,42400000.0,,159000000.0,
Taurochenodeoxycholate/Tauroursodeoxycholate,,13500.0,,13200.0,,2380.0,,25600.0,,0.0,,0.0,,0.0,,4590.0,,10900.0,,0.0,,0.0,,0.0,,9130.0,,2420.0,,67000.0,,7650.0
Taurocholate,,144000.0,,95200.0,,56800.0,,109000.0,,23200.0,,28500.0,,23900.0,,26600.0,,45300.0,,3520.0,,5120.0,,52200.0,,182000.0,,130000.0,,1330000.0,,54500.0
Testosterone,396.0,,1460.0,,0.0,,6260.0,,1490.0,,244.0,,1700.0,,311.0,,1470.0,,463.0,,386.0,,523.0,,0.0,,474.0,,399.0,,1920.0,
Tetradecanoic acid,,851000.0,,1000000.0,,1040000.0,,1340000.0,,494000.0,,1080000.0,,895000.0,,950000.0,,1490000.0,,513000.0,,699000.0,,1000000.0,,671000.0,,542000.0,,617000.0,,569000.0
Tetradecanoylcarnitine,778000.0,,495000.0,,323000.0,,987000.0,,206000.0,,653000.0,,603000.0,,29400.0,,483000.0,,123000.0,,261000.0,,413000.0,,143000.0,,269000.0,,82800.0,,152000.0,
Tetradecenoic acid,,60100.0,,47900.0,,61700.0,,84100.0,,35900.0,,61200.0,,59300.0,,86600.0,,48800.0,,52800.0,,37700.0,,43600.0,,43300.0,,57100.0,,77100.0,,60600.0
Tetradecenoylcarnitine,157000.0,,1980.0,,27300.0,,68400.0,,502.0,,3450.0,,44900.0,,20300.0,,1700.0,,33000.0,,14200.0,,6260.0,,11500.0,,11800.0,,3230.0,,35200.0,
Thromboxane B2,,9930.0,,1490000.0,,95300.0,,25600.0,,1170000.0,,954000.0,,51700.0,,2120.0,,1150000.0,,10400.0,,2020.0,,1180000.0,,37900.0,,2920.0,,993000.0,,51500.0
Thymidine,4990.0,,12500.0,,9020.0,,14800.0,,0.0,,0.0,,4640.0,,5190.0,,0.0,,4130.0,,4060.0,,0.0,,8440.0,,6310.0,,7890.0,,6690.0,
Thymine,30000.0,,14800.0,,26400.0,,29900.0,,49300.0,,24800.0,,37800.0,,19900.0,,14300.0,,21500.0,,19300.0,,11700.0,,22200.0,,19400.0,,11500.0,,34900.0,
Tiglylcarnitine,161000.0,,39600.0,,61800.0,,65600.0,,25000.0,,31200.0,,124000.0,,165000.0,,14400.0,,52600.0,,55100.0,,18100.0,,168000.0,,158000.0,,29900.0,,189000.0,
Triethanolamine,215000.0,,15100.0,,1580000.0,,345000.0,,71700.0,,40000.0,,276000.0,,12800.0,,18500.0,,54600.0,,35700.0,,8780.0,,28500.0,,13800.0,,12700.0,,23500.0,
Tyramine,46700.0,,34300.0,,31200.0,,46800.0,,36400.0,,37500.0,,39400.0,,31300.0,,53600.0,,56900.0,,35400.0,,32300.0,,45100.0,,45000.0,,33300.0,,38700.0,
UDP,,421000.0,,903000.0,,588000.0,,393000.0,,1910000.0,,1540000.0,,360000.0,,124000.0,,1260000.0,,79200.0,,109000.0,,1680000.0,,83700.0,,86900.0,,1090000.0,,53000.0
UDP-D-glucuronate,,220000.0,,358000.0,,256000.0,,372000.0,,455000.0,,485000.0,,300000.0,,63100.0,,270000.0,,44300.0,,59800.0,,235000.0,,75800.0,,60000.0,,284000.0,,134000.0
UDP-N-acetyl-D-glucosamine,,1430000.0,,2070000.0,,2140000.0,,1680000.0,,3380000.0,,2740000.0,,2200000.0,,529000.0,,1810000.0,,725000.0,,449000.0,,1580000.0,,1140000.0,,568000.0,,1140000.0,,1120000.0
UDP-glucose,,933000.0,,2060000.0,,1050000.0,,1070000.0,,2970000.0,,2060000.0,,1230000.0,,275000.0,,1940000.0,,351000.0,,337000.0,,1920000.0,,301000.0,,349000.0,,1130000.0,,282000.0
UMP,296000.0,,1500000.0,,966000.0,,804000.0,,2590000.0,,1550000.0,,1060000.0,,1180000.0,,1180000.0,,1340000.0,,829000.0,,1600000.0,,1070000.0,,843000.0,,1050000.0,,1170000.0,
UTP,,431000.0,,4740.0,,62900.0,,354000.0,,7590.0,,6050.0,,89500.0,,77300.0,,5220.0,,64700.0,,109000.0,,5080.0,,26800.0,,95400.0,,0.0,,28200.0
Uracil,333000.0,,438000.0,,1190000.0,,525000.0,,1340000.0,,824000.0,,1130000.0,,159000.0,,423000.0,,267000.0,,204000.0,,412000.0,,345000.0,,180000.0,,409000.0,,170000.0,
Urate,297000.0,,2090000.0,,964000.0,,442000.0,,2200000.0,,2010000.0,,360000.0,,277000.0,,1290000.0,,354000.0,,259000.0,,1360000.0,,549000.0,,284000.0,,1150000.0,,366000.0,
Xanthine,889000.0,,1930000.0,,3650000.0,,1430000.0,,3750000.0,,2750000.0,,2490000.0,,1030000.0,,2900000.0,,1010000.0,,1060000.0,,1760000.0,,1390000.0,,921000.0,,2370000.0,,1480000.0,
Xanthosine,0.0,,5560.0,,14900.0,,2130.0,,19400.0,,19000.0,,8060.0,,0.0,,8160.0,,0.0,,0.0,,4320.0,,2230.0,,0.0,,9030.0,,2100.0,
alhpa-tocopheronolactone,,39600.0,,46600.0,,35900.0,,42300.0,,21100.0,,21500.0,,21000.0,,35700.0,,24000.0,,17000.0,,24400.0,,19100.0,,40200.0,,36900.0,,46600.0,,81600.0
alpha-D-Glucosamine 1-phosphate,,145000.0,,178000.0,,89600.0,,156000.0,,171000.0,,174000.0,,197000.0,,11800.0,,124000.0,,34700.0,,34300.0,,116000.0,,66000.0,,58900.0,,182000.0,,47900.0
cis-Aconitate,,460000.0,,2550000.0,,574000.0,,570000.0,,1420000.0,,1380000.0,,955000.0,,275000.0,,983000.0,,358000.0,,343000.0,,1070000.0,,306000.0,,279000.0,,1230000.0,,422000.0
dAMP,0.0,,6710.0,,14400.0,,0.0,,70600.0,,34500.0,,0.0,,1980.0,,6810.0,,3890.0,,0.0,,17500.0,,0.0,,6870.0,,9290.0,,0.0,
dihydroxy-octadecanoic acid,,76900.0,,65000.0,,56700.0,,95000.0,,42500.0,,68300.0,,32900.0,,49500.0,,55700.0,,39600.0,,31900.0,,52300.0,,25500.0,,33500.0,,95100.0,,28600.0
g-Oxalo-crotonate,476000.0,,711000.0,,1020000.0,,487000.0,,1120000.0,,1170000.0,,815000.0,,188000.0,,1210000.0,,276000.0,,220000.0,,703000.0,,285000.0,,195000.0,,1170000.0,,251000.0,
gamma-Glutamyl-gamma-aminobutyrate,75700.0,,40600.0,,102000.0,,109000.0,,98900.0,,36700.0,,100000.0,,84000.0,,20900.0,,140000.0,,135000.0,,30400.0,,141000.0,,84100.0,,37300.0,,121000.0,
gamma-L-Glutamyl-D-alanine,67100.0,,257000.0,,91200.0,,84700.0,,75800.0,,72600.0,,56700.0,,63900.0,,136000.0,,103000.0,,55400.0,,113000.0,,103000.0,,85300.0,,205000.0,,92200.0,
gamma-L-Glutamyl-L-cysteine,,4700.0,,184000.0,,44400.0,,16100.0,,125000.0,,78900.0,,4020.0,,2910.0,,61000.0,,1960.0,,7140.0,,87200.0,,3910.0,,4400.0,,126000.0,,15300.0
gamma-L-Glutamylputrescine,108000.0,,16900.0,,136000.0,,135000.0,,21500.0,,40200.0,,96400.0,,42300.0,,0.0,,124000.0,,104000.0,,3180.0,,133000.0,,75700.0,,2300.0,,114000.0,
glycine,7250000.0,,10400000.0,,6070000.0,,5990000.0,,7580000.0,,5840000.0,,6060000.0,,9920000.0,,7180000.0,,5620000.0,,8700000.0,,6050000.0,,6290000.0,,7450000.0,,7490000.0,,5670000.0,
sn-glycero-3-Phosphoethanolamine,193000.0,,1300000.0,,241000.0,,277000.0,,1110000.0,,816000.0,,516000.0,,77600.0,,813000.0,,121000.0,,111000.0,,1060000.0,,95400.0,,116000.0,,980000.0,,106000.0,
trans-4-Hydroxy-L-proline,3500000.0,,1130000.0,,1920000.0,,4400000.0,,1860000.0,,1350000.0,,2900000.0,,7180000.0,,722000.0,,8710000.0,,8800000.0,,939000.0,,7710000.0,,6420000.0,,881000.0,,6860000.0,
trimethylamineoxide,0.0,,3100.0,,0.0,,9590.0,,3120.0,,0.0,,0.0,,706000.0,,0.0,,0.0,,0.0,,0.0,,0.0,,89200.0,,2490.0,,10500.0,
