metabolite,S00015469,S00015470,S00015471,S00015472,S00015473,S00015474,S00015475,S00015476,S00015477,S00015478,S00015479,S00015480,S00015481,S00015482,S00015483,S00015484
CITRIC ACID,15.595332,16.849292,23.983276,30.592716,21.22123,18.118261,5.8991654,5.7512861,5.9812548,5.7826572,5.754673,4.2949692,4.575296,3.8840375,3.3337491,3.8567326
COENZYME II,0.306565,0.37369,0.4093067,0.2941398,0.2866139,0.3482391,0.1601165,0.1517684,0.1488863,0.157594,0.145193,0.2324267,0.2723429,0.2253776,0.3245565,0.2858331
D-ERYTHROSE 4-PHOSPHATE,20.038248,18.463215,24.897075,41.339513,26.906668,18.936015,7.1859221,7.6633347,7.3595467,7.6626101,5.3614791,4.9663587,6.1584988,8.5746897,5.041,5.2846295
"D-FRUCTOSE, 1,6-BIS(DIHYDROGEN PHOSPHATE)",6.3723916,5.439822,9.3443261,15.561284,10.959178,7.0867371,11.364279,10.741573,11.156786,10.313154,11.226625,11.72122,12.380766,10.183232,9.9282018,10.864181
DL-ASPARTIC ACID,82.228826,83.121791,108.35697,208.59358,125.90848,193.98439,4.8687735,8.2218718,8.0346042,8.0066445,12.427014,6.3079602,4.6913311,,3.7597118,10.857118
DL-GLUTAMIC ACID,6.3028675,6.1040444,8.6936756,14.290988,8.9094007,14.378001,2.8702344,4.8957194,4.775305,4.8792137,6.8351299,3.9097877,2.9760384,,2.4428808,6.6109082
FAD,0.563794,0.5387095,0.5867344,0.6589072,0.5708251,0.488485,0.0958641,0.1210101,0.1205986,0.108877,0.108084,0.1980292,0.1795314,0.2030527,0.1894987,0.1953024
FUMARIC ACID,3.8291594,3.9963144,4.8130148,5.2062561,4.7341648,7.0042579,2.8785189,2.7818424,2.7896288,2.7916152,2.8256436,2.8390397,2.8076263,,2.788486,3.1031532
GLYCERATE 3-PHOSPHATE,0.6900139,0.6752874,0.8682791,1.128289,1.1246906,0.8061432,1.1185312,1.337023,1.5968898,1.4706157,1.0635177,1.0550395,1.1363625,1.6313113,1.3067948,1.2689223
L-ALANINE,2.1491892,2.4596988,4.2169022,7.72233,4.4421291,7.3234857,0.5943472,1.0897502,1.3225341,1.1751392,1.6511848,2.0681367,1.3205668,,1.1158445,4.0713104
L-GLUTAMINE,6.8331443,6.4461493,19.418498,31.933477,13.350189,19.513302,11.692336,20.719397,21.157957,22.825003,29.682731,14.900903,10.147254,,8.7444129,22.633999
LACTIC ACID,,,1.9040661,3.0101775,2.9742998,6.3374418,,0.3731999,1.055963,1.1604786,0.9431695,1.5286465,0.3026353,,0.1891682,4.6088339
MALIC ACID,58.547583,61.338201,107.90417,158.99348,112.05654,77.08009,5.8923572,4.9490797,5.7228991,5.8795718,6.0309487,5.9355426,7.1125568,8.3023407,6.9307845,7.2478374
N-(OLEOYL)-CERAMIDE,60.09308441,56.13348308,79.88984208,80.01543077,47.18888104,52.99986529,8.563245435,8.477443107,8.287113223,8.085358,8.100988521,7.322380042,7.567238928,7.561450824,7.569146526,7.309183262
N-ICOSANOYLSPHINGOSINE,842.957053,842.3758328,982.6844946,833.68724,916.7110151,1578.309097,7.319720471,8.581557899,7.358170248,6.659164131,6.719343166,6.324317278,5.929982975,6.889094001,7.170088474,6.964446368
N-PALMITOYLSPHINGOSINE,3589.962036,3102.803433,5239.218675,4368.8023,2968.105857,3291.572604,111.2430941,134.7340545,102.0941312,106.2026024,96.60617206,129.5525361,121.4395177,158.712242,153.9979781,138.7477852
N-STEAROYLSPHINGOSINE,541.0739629,408.8605058,688.209609,530.1515236,523.4719251,650.0436023,6.172734398,8.660236358,6.583264455,6.456199665,5.610454373,3.182783523,2.541264579,3.43938129,3.66297448,3.129887079
NADH,0.1592711,0.116138,0.1871239,0.2157112,0.1964078,0.1747716,0.7820604,1.5548812,1.6838621,1.6165801,0.8676868,0.3096472,0.3762415,0.5646147,0.4539162,0.3929547
NADP-REDUCED,,0.0755421,,,,,0.4728172,0.4615219,0.5132325,0.4266329,0.4589753,0.8275916,0.8698826,0.954375,0.6208281,0.8070651
OXALACETIC ACID,0.1944054,0.1944054,0.1944054,0.1944054,0.1944054,0.1944054,0.1944054,0.1944054,0.1944054,0.1944054,0.1944054,0.1944054,0.1944054,,0.1944054,0.1944054
PHOSPHOENOLPYRUVATE,,,,,,,0.0957662,0.1273109,0.262627,0.1784907,0.0631907,0.1120064,0.0970568,0.2332775,0.1411019,0.139734
PYRUVIC ACID,1.2120888,1.2122738,1.2166433,1.2240997,1.2343615,1.2364795,1.2239584,1.2458525,1.2510062,1.2534862,1.2427141,1.2304312,1.2203002,,1.2220662,1.2503706
RIBOSE PHOSPHATE,13.095815,13.163072,22.114275,40.000622,27.709286,15.878479,6.3307028,6.2182392,9.6119573,6.5955613,7.3134732,6.6111134,8.8571162,11.821992,7.2819838,9.6029894
ROBISON ESTER,32.102187,29.382406,36.974363,60.61004,41.203271,26.926794,5.6627556,3.1875173,3.2625985,2.8042734,2.953797,5.281643,5.8430044,7.5404443,3.8791709,4.7753611
SEDOHEPTULOSE 7-PHOSPHATE,5.9628209,6.2185794,9.420146,13.688768,9.2061606,6.6865866,0.8841395,0.7139528,0.8641375,0.7320475,0.7306849,1.154272,1.2961419,1.5113028,1.5292353,1.4073574
SUCROSE,0.988763,0.9008241,0.9309666,1.2047016,1.4064805,0.8448488,1.4053597,1.3931808,1.52942,1.4947303,1.2299552,0.844104,0.95206,1.4246512,0.9968124,0.9296339
