sample_id,metabolite,value,Age,Genotype,Treatment
42_Young_Liver_11b,Homocysteine,1175540.822,Young,Wild-type,[U-13C]Lactate
43_Young_Liver_11c,Homocysteine,290698.1544,Young,Wild-type,[U-13C]Lactate
45_Young_Liver_12a,Homocysteine,1016842.849,Young,Wild-type,[U-13C]Lactate
46_Young_Liver_12b,Homocysteine,832314.0367,Young,Wild-type,[U-13C]Lactate
47_Young_Liver_12c,Homocysteine,759148.8557,Young,Wild-type,[U-13C]Lactate
49_Young_Liver_13a,Homocysteine,1346483.769,Young,Wild-type,[U-13C]Lactate
50_Young_Liver_13b,Homocysteine,1426809.92,Young,Wild-type,[U-13C]Lactate
51_Young_Liver_13c,Homocysteine,1490034.581,Young,Wild-type,[U-13C]Lactate
53_Young_Liver_14a,Homocysteine,620308.7181,Young,SIRT6-tg,[U-13C]Lactate
54_Young_Liver_14b,Homocysteine,590899.0444,Young,SIRT6-tg,[U-13C]Lactate
55_Young_Liver_14c,Homocysteine,721113.88,Young,SIRT6-tg,[U-13C]Lactate
57_Young_Liver_15a,Homocysteine,557524.6107,Young,SIRT6-tg,[U-13C]Lactate
58_Young_Liver_15b,Homocysteine,975789.4618,Young,SIRT6-tg,[U-13C]Lactate
59_Young_Liver_15c,Homocysteine,856680.8332,Young,SIRT6-tg,[U-13C]Lactate
61_Young_Liver_16a,Homocysteine,613038.5667,Young,SIRT6-tg,[U-13C]Lactate
62_Young_Liver_16b,Homocysteine,591423.5948,Young,SIRT6-tg,[U-13C]Lactate
63_Young_Liver_16c,Homocysteine,669292.1836,Young,SIRT6-tg,[U-13C]Lactate
65_Young_Liver_17a,Homocysteine,841452.2577,Young,SIRT6-tg,[U-13C]Lactate
66_Young_Liver_17b,Homocysteine,730278.0796,Young,SIRT6-tg,[U-13C]Lactate
67_Young_Liver_17c,Homocysteine,712401.1711,Young,SIRT6-tg,[U-13C]Lactate
69_Young_Liver_18a,Homocysteine,1169491.898,Young,SIRT6-tg,[U-13C]Lactate
70_Young_Liver_18b,Homocysteine,1200153.761,Young,SIRT6-tg,[U-13C]Lactate
71_Young_Liver_18c,Homocysteine,969545.7467,Young,SIRT6-tg,[U-13C]Lactate
73_Young_Liver_19a,Homocysteine,1590920.255,Young,Wild-type,[U-13C]Lactate
74_Young_Liver_19b,Homocysteine,1568431.189,Young,Wild-type,[U-13C]Lactate
75_Young_Liver_19c,Homocysteine,1418488.218,Young,Wild-type,[U-13C]Lactate
77_Young_Liver_20a,Homocysteine,1096518.021,Young,Wild-type,[U-13C]Lactate
78_Young_Liver_20b,Homocysteine,781648.3445,Young,Wild-type,[U-13C]Lactate
79_Young_Liver_20c,Homocysteine,1304658.397,Young,Wild-type,[U-13C]Lactate
81_Old_Liver_21a,Homocysteine,2322271.191,Old,SIRT6-tg,N/A
82_Old_Liver_21b,Homocysteine,2242450.217,Old,SIRT6-tg,N/A
83_Old_Liver_21c,Homocysteine,2517894.825,Old,SIRT6-tg,N/A
84_Old_Liver_22a,Homocysteine,1909704.806,Old,Wild-type,N/A
85_Old_Liver_22b,Homocysteine,1842799.547,Old,Wild-type,N/A
86_Old_Liver_22c,Homocysteine,2442755.125,Old,Wild-type,N/A
87_Old_Liver_23a,Homocysteine,1499779.539,Old,SIRT6-tg,N/A
88_Old_Liver_23b,Homocysteine,2668131.337,Old,SIRT6-tg,N/A
89_Old_Liver_23c,Homocysteine,2388974.489,Old,SIRT6-tg,N/A
90_Old_Liver_24a,Homocysteine,1873500.094,Old,Wild-type,N/A
91_Old_Liver_24b,Homocysteine,2641392.201,Old,Wild-type,N/A
92_Old_Liver_24c,Homocysteine,2022680.076,Old,Wild-type,N/A
93_Old_Liver_25a,Homocysteine,2035712.159,Old,SIRT6-tg,N/A
94_Old_Liver_25b,Homocysteine,2624841.127,Old,SIRT6-tg,N/A
95_Old_Liver_25c,Homocysteine,2442486.425,Old,SIRT6-tg,N/A
96_Old_Liver_26a,Homocysteine,2475679.189,Old,Wild-type,N/A
97_Old_Liver_26b,Homocysteine,3357887.908,Old,Wild-type,N/A
98_Old_Liver_26c,Homocysteine,2087600.606,Old,Wild-type,N/A
99_Old_Liver_27a,Homocysteine,3078675.309,Old,Wild-type,N/A
100_Old_Liver_27b,Homocysteine,3053932.218,Old,Wild-type,N/A
101_Old_Liver_27c,Homocysteine,3419949.343,Old,Wild-type,N/A
102_Old_Liver_28a,Homocysteine,1941481.463,Old,SIRT6-tg,N/A
103_Old_Liver_28b,Homocysteine,1864147.218,Old,SIRT6-tg,N/A
104_Old_Liver_28c,Homocysteine,1994045.146,Old,SIRT6-tg,N/A
105_Old_Liver_29a,Homocysteine,2700096.705,Old,Wild-type,N/A
106_Old_Liver_29b,Homocysteine,2041045.706,Old,Wild-type,N/A
107_Old_Liver_29c,Homocysteine,2666329.619,Old,Wild-type,N/A
108_Old_Liver_30a,Homocysteine,2021220.311,Old,SIRT6-tg,N/A
109_Old_Liver_30b,Homocysteine,2214938.559,Old,SIRT6-tg,N/A
110_Old_Liver_30c,Homocysteine,1820615.231,Old,SIRT6-tg,N/A
111_Old_Liver_31a,Homocysteine,1323210.74,Old,SIRT6-tg,[U-13C]Lactate
112_Old_Liver_31b,Homocysteine,993272.9909,Old,SIRT6-tg,[U-13C]Lactate
113_Old_Liver_31c,Homocysteine,726149.7688,Old,SIRT6-tg,[U-13C]Lactate
114_Old_Liver_32a,Homocysteine,751017.0172,Old,Wild-type,[U-13C]Lactate
115_Old_Liver_32b,Homocysteine,811700.0116,Old,Wild-type,[U-13C]Lactate
116_Old_Liver_32c,Homocysteine,697159.892,Old,Wild-type,[U-13C]Lactate
117_Old_Liver_33a,Homocysteine,1849093.952,Old,Wild-type,[U-13C]Lactate
118_Old_Liver_33b,Homocysteine,2054004.539,Old,Wild-type,[U-13C]Lactate
119_Old_Liver_33c,Homocysteine,2353955.528,Old,Wild-type,[U-13C]Lactate
120_Old_Liver_34a,Homocysteine,1136038.937,Old,SIRT6-tg,[U-13C]Lactate
121_Old_Liver_34b,Homocysteine,1393041.849,Old,SIRT6-tg,[U-13C]Lactate
122_Old_Liver_34c,Homocysteine,1258122.103,Old,SIRT6-tg,[U-13C]Lactate
123_Old_Liver_35a,Homocysteine,1281850.519,Old,SIRT6-tg,[U-13C]Lactate
124_Old_Liver_35b,Homocysteine,1595763.848,Old,SIRT6-tg,[U-13C]Lactate
125_Old_Liver_35c,Homocysteine,934550.7115,Old,SIRT6-tg,[U-13C]Lactate
126_Old_Liver_36a,Homocysteine,1146144.764,Old,Wild-type,[U-13C]Lactate
127_Old_Liver_36b,Homocysteine,1116491.961,Old,Wild-type,[U-13C]Lactate
128_Old_Liver_36c,Homocysteine,1090329.924,Old,Wild-type,[U-13C]Lactate
129_Old_Liver_37a,Homocysteine,454977.4638,Old,SIRT6-tg,[U-13C]Lactate
130_Old_Liver_37b,Homocysteine,421835.6882,Old,SIRT6-tg,[U-13C]Lactate
131_Old_Liver_37c,Homocysteine,384469.068,Old,SIRT6-tg,[U-13C]Lactate
132_Old_Liver_38a,Homocysteine,2045322.727,Old,Wild-type,[U-13C]Lactate
133_Old_Liver_38b,Homocysteine,1823316.328,Old,Wild-type,[U-13C]Lactate
134_Old_Liver_38c,Homocysteine,1442093.933,Old,Wild-type,[U-13C]Lactate
135_Old_Liver_39a,Homocysteine,1107107.179,Old,SIRT6-tg,[U-13C]Lactate
136_Old_Liver_39b,Homocysteine,719936.7722,Old,SIRT6-tg,[U-13C]Lactate
137_Old_Liver_39c,Homocysteine,735138.6708,Old,SIRT6-tg,[U-13C]Lactate
138_Old_Liver_40a,Homocysteine,1095220.84,Old,Wild-type,[U-13C]Lactate
139_Old_Liver_40b,Homocysteine,1347034.587,Old,Wild-type,[U-13C]Lactate
140_Old_Liver_40c,Homocysteine,1379384.841,Old,Wild-type,[U-13C]Lactate
01_Young_Liver_1a,hypoxanthine,231750228.8,Young,SIRT6-tg,N/A
02_Young_Liver_1b,hypoxanthine,128720029.8,Young,SIRT6-tg,N/A
03_Young_Liver_1c,hypoxanthine,130005891.6,Young,SIRT6-tg,N/A
05_Young_Liver_2a,hypoxanthine,169827289.9,Young,SIRT6-tg,N/A
06_Young_Liver_2b,hypoxanthine,161602912.2,Young,SIRT6-tg,N/A
07_Young_Liver_2c,hypoxanthine,115261040.2,Young,SIRT6-tg,N/A
09_Young_Liver_3a,hypoxanthine,201053021.8,Young,Wild-type,N/A
10_Young_Liver_3b,hypoxanthine,172534487.5,Young,Wild-type,N/A
11_Young_Liver_3c,hypoxanthine,228061282.0,Young,Wild-type,N/A
13_Young_Liver_4a,hypoxanthine,185440376.6,Young,SIRT6-tg,N/A
14_Young_Liver_4b,hypoxanthine,121012618.4,Young,SIRT6-tg,N/A
15_Young_Liver_4c,hypoxanthine,189406114.1,Young,SIRT6-tg,N/A
17_Young_Liver_5a,hypoxanthine,240536554.2,Young,Wild-type,N/A
18_Young_Liver_5b,hypoxanthine,141876949.1,Young,Wild-type,N/A
19_Young_Liver_5c,hypoxanthine,157839012.4,Young,Wild-type,N/A
21_Young_Liver_6a,hypoxanthine,207703129.1,Young,Wild-type,N/A
22_Young_Liver_6b,hypoxanthine,98569781.02,Young,Wild-type,N/A
23_Young_Liver_6c,hypoxanthine,135607695.1,Young,Wild-type,N/A
25_Young_Liver_7a,hypoxanthine,146959457.7,Young,Wild-type,N/A
26_Young_Liver_7b,hypoxanthine,219700204.2,Young,Wild-type,N/A
27_Young_Liver_7c,hypoxanthine,136478907.4,Young,Wild-type,N/A
29_Young_Liver_8a,hypoxanthine,181351647.6,Young,Wild-type,N/A
30_Young_Liver_8b,hypoxanthine,168852879.8,Young,Wild-type,N/A
31_Young_Liver_8c,hypoxanthine,166156036.0,Young,Wild-type,N/A
33_Young_Liver_9a,hypoxanthine,224787143.6,Young,SIRT6-tg,N/A
34_Young_Liver_9b,hypoxanthine,116060133.4,Young,SIRT6-tg,N/A
37_Young_Liver_10a,hypoxanthine,276496693.6,Young,SIRT6-tg,N/A
38_Young_Liver_10b,hypoxanthine,197907779.4,Young,SIRT6-tg,N/A
39_Young_Liver_10c,hypoxanthine,244511009.1,Young,SIRT6-tg,N/A
41_Young_Liver_11a,hypoxanthine,102393938.4,Young,Wild-type,[U-13C]Lactate
42_Young_Liver_11b,hypoxanthine,68860127.7,Young,Wild-type,[U-13C]Lactate
43_Young_Liver_11c,hypoxanthine,28253769.37,Young,Wild-type,[U-13C]Lactate
45_Young_Liver_12a,hypoxanthine,113095895.4,Young,Wild-type,[U-13C]Lactate
46_Young_Liver_12b,hypoxanthine,79094743.31,Young,Wild-type,[U-13C]Lactate
47_Young_Liver_12c,hypoxanthine,79984074.12,Young,Wild-type,[U-13C]Lactate
49_Young_Liver_13a,hypoxanthine,138649351.8,Young,Wild-type,[U-13C]Lactate
50_Young_Liver_13b,hypoxanthine,149653148.3,Young,Wild-type,[U-13C]Lactate
51_Young_Liver_13c,hypoxanthine,188946845.8,Young,Wild-type,[U-13C]Lactate
53_Young_Liver_14a,hypoxanthine,159047167.8,Young,SIRT6-tg,[U-13C]Lactate
54_Young_Liver_14b,hypoxanthine,121707264.8,Young,SIRT6-tg,[U-13C]Lactate
55_Young_Liver_14c,hypoxanthine,148302977.1,Young,SIRT6-tg,[U-13C]Lactate
57_Young_Liver_15a,hypoxanthine,95372785.64,Young,SIRT6-tg,[U-13C]Lactate
58_Young_Liver_15b,hypoxanthine,198128103.9,Young,SIRT6-tg,[U-13C]Lactate
59_Young_Liver_15c,hypoxanthine,186862394.7,Young,SIRT6-tg,[U-13C]Lactate
61_Young_Liver_16a,hypoxanthine,168223483.3,Young,SIRT6-tg,[U-13C]Lactate
62_Young_Liver_16b,hypoxanthine,85094663.96,Young,SIRT6-tg,[U-13C]Lactate
63_Young_Liver_16c,hypoxanthine,103773091.3,Young,SIRT6-tg,[U-13C]Lactate
65_Young_Liver_17a,hypoxanthine,166502374.9,Young,SIRT6-tg,[U-13C]Lactate
66_Young_Liver_17b,hypoxanthine,237360787.1,Young,SIRT6-tg,[U-13C]Lactate
67_Young_Liver_17c,hypoxanthine,110558662.9,Young,SIRT6-tg,[U-13C]Lactate
69_Young_Liver_18a,hypoxanthine,142069575.0,Young,SIRT6-tg,[U-13C]Lactate
70_Young_Liver_18b,hypoxanthine,69118841.97,Young,SIRT6-tg,[U-13C]Lactate
71_Young_Liver_18c,hypoxanthine,79780662.31,Young,SIRT6-tg,[U-13C]Lactate
73_Young_Liver_19a,hypoxanthine,206796860.2,Young,Wild-type,[U-13C]Lactate
74_Young_Liver_19b,hypoxanthine,233657664.5,Young,Wild-type,[U-13C]Lactate
75_Young_Liver_19c,hypoxanthine,130087374.4,Young,Wild-type,[U-13C]Lactate
77_Young_Liver_20a,hypoxanthine,168075939.7,Young,Wild-type,[U-13C]Lactate
78_Young_Liver_20b,hypoxanthine,105965283.6,Young,Wild-type,[U-13C]Lactate
79_Young_Liver_20c,hypoxanthine,164665376.4,Young,Wild-type,[U-13C]Lactate
81_Old_Liver_21a,hypoxanthine,154492034.8,Old,SIRT6-tg,N/A
82_Old_Liver_21b,hypoxanthine,169671074.0,Old,SIRT6-tg,N/A
83_Old_Liver_21c,hypoxanthine,154351367.6,Old,SIRT6-tg,N/A
84_Old_Liver_22a,hypoxanthine,188237769.4,Old,Wild-type,N/A
85_Old_Liver_22b,hypoxanthine,155352618.7,Old,Wild-type,N/A
86_Old_Liver_22c,hypoxanthine,199819785.0,Old,Wild-type,N/A
87_Old_Liver_23a,hypoxanthine,73225520.67,Old,SIRT6-tg,N/A
88_Old_Liver_23b,hypoxanthine,133896943.8,Old,SIRT6-tg,N/A
89_Old_Liver_23c,hypoxanthine,137625790.7,Old,SIRT6-tg,N/A
90_Old_Liver_24a,hypoxanthine,124099044.1,Old,Wild-type,N/A
91_Old_Liver_24b,hypoxanthine,148977978.3,Old,Wild-type,N/A
92_Old_Liver_24c,hypoxanthine,93948486.12,Old,Wild-type,N/A
93_Old_Liver_25a,hypoxanthine,172690019.8,Old,SIRT6-tg,N/A
94_Old_Liver_25b,hypoxanthine,261639153.8,Old,SIRT6-tg,N/A
95_Old_Liver_25c,hypoxanthine,221255284.2,Old,SIRT6-tg,N/A
96_Old_Liver_26a,hypoxanthine,156708064.3,Old,Wild-type,N/A
97_Old_Liver_26b,hypoxanthine,165098201.5,Old,Wild-type,N/A
98_Old_Liver_26c,hypoxanthine,80038641.03,Old,Wild-type,N/A
99_Old_Liver_27a,hypoxanthine,219972492.6,Old,Wild-type,N/A
100_Old_Liver_27b,hypoxanthine,299180889.5,Old,Wild-type,N/A
101_Old_Liver_27c,hypoxanthine,194009713.0,Old,Wild-type,N/A
102_Old_Liver_28a,hypoxanthine,195542181.6,Old,SIRT6-tg,N/A
103_Old_Liver_28b,hypoxanthine,216649753.1,Old,SIRT6-tg,N/A
104_Old_Liver_28c,hypoxanthine,115442075.4,Old,SIRT6-tg,N/A
105_Old_Liver_29a,hypoxanthine,121692829.0,Old,Wild-type,N/A
106_Old_Liver_29b,hypoxanthine,97508490.11,Old,Wild-type,N/A
107_Old_Liver_29c,hypoxanthine,102969254.1,Old,Wild-type,N/A
108_Old_Liver_30a,hypoxanthine,154965087.1,Old,SIRT6-tg,N/A
109_Old_Liver_30b,hypoxanthine,292967798.9,Old,SIRT6-tg,N/A
110_Old_Liver_30c,hypoxanthine,268278757.8,Old,SIRT6-tg,N/A
111_Old_Liver_31a,hypoxanthine,108291023.9,Old,SIRT6-tg,[U-13C]Lactate
112_Old_Liver_31b,hypoxanthine,97754383.66,Old,SIRT6-tg,[U-13C]Lactate
113_Old_Liver_31c,hypoxanthine,50519755.96,Old,SIRT6-tg,[U-13C]Lactate
114_Old_Liver_32a,hypoxanthine,50363075.8,Old,Wild-type,[U-13C]Lactate
115_Old_Liver_32b,hypoxanthine,50584461.95,Old,Wild-type,[U-13C]Lactate
116_Old_Liver_32c,hypoxanthine,73081172.56,Old,Wild-type,[U-13C]Lactate
117_Old_Liver_33a,hypoxanthine,69370880.58,Old,Wild-type,[U-13C]Lactate
118_Old_Liver_33b,hypoxanthine,59739446.66,Old,Wild-type,[U-13C]Lactate
119_Old_Liver_33c,hypoxanthine,101241985.5,Old,Wild-type,[U-13C]Lactate
120_Old_Liver_34a,hypoxanthine,74404774.7,Old,SIRT6-tg,[U-13C]Lactate
121_Old_Liver_34b,hypoxanthine,121083507.3,Old,SIRT6-tg,[U-13C]Lactate
122_Old_Liver_34c,hypoxanthine,44285115.17,Old,SIRT6-tg,[U-13C]Lactate
123_Old_Liver_35a,hypoxanthine,56533202.4,Old,SIRT6-tg,[U-13C]Lactate
124_Old_Liver_35b,hypoxanthine,107904122.9,Old,SIRT6-tg,[U-13C]Lactate
125_Old_Liver_35c,hypoxanthine,82140724.68,Old,SIRT6-tg,[U-13C]Lactate
126_Old_Liver_36a,hypoxanthine,30977951.5,Old,Wild-type,[U-13C]Lactate
127_Old_Liver_36b,hypoxanthine,52427517.25,Old,Wild-type,[U-13C]Lactate
128_Old_Liver_36c,hypoxanthine,28293289.65,Old,Wild-type,[U-13C]Lactate
129_Old_Liver_37a,hypoxanthine,157763669.3,Old,SIRT6-tg,[U-13C]Lactate
130_Old_Liver_37b,hypoxanthine,105575378.9,Old,SIRT6-tg,[U-13C]Lactate
131_Old_Liver_37c,hypoxanthine,62465491.65,Old,SIRT6-tg,[U-13C]Lactate
132_Old_Liver_38a,hypoxanthine,321581787.8,Old,Wild-type,[U-13C]Lactate
133_Old_Liver_38b,hypoxanthine,284181692.5,Old,Wild-type,[U-13C]Lactate
134_Old_Liver_38c,hypoxanthine,289672839.1,Old,Wild-type,[U-13C]Lactate
135_Old_Liver_39a,hypoxanthine,84699887.97,Old,SIRT6-tg,[U-13C]Lactate
136_Old_Liver_39b,hypoxanthine,76266036.4,Old,SIRT6-tg,[U-13C]Lactate
137_Old_Liver_39c,hypoxanthine,48228099.08,Old,SIRT6-tg,[U-13C]Lactate
138_Old_Liver_40a,hypoxanthine,61662136.47,Old,Wild-type,[U-13C]Lactate
139_Old_Liver_40b,hypoxanthine,61638568.12,Old,Wild-type,[U-13C]Lactate
140_Old_Liver_40c,hypoxanthine,103171788.2,Old,Wild-type,[U-13C]Lactate
01_Young_Liver_1a,IMP,109044752.7,Young,SIRT6-tg,N/A
02_Young_Liver_1b,IMP,75552279.55,Young,SIRT6-tg,N/A
03_Young_Liver_1c,IMP,74363470.87,Young,SIRT6-tg,N/A
05_Young_Liver_2a,IMP,78618311.58,Young,SIRT6-tg,N/A
06_Young_Liver_2b,IMP,60397760.28,Young,SIRT6-tg,N/A
07_Young_Liver_2c,IMP,46662492.47,Young,SIRT6-tg,N/A
09_Young_Liver_3a,IMP,85032415.05,Young,Wild-type,N/A
10_Young_Liver_3b,IMP,52719408.64,Young,Wild-type,N/A
11_Young_Liver_3c,IMP,114583451.4,Young,Wild-type,N/A
13_Young_Liver_4a,IMP,131116243.9,Young,SIRT6-tg,N/A
14_Young_Liver_4b,IMP,91951210.02,Young,SIRT6-tg,N/A
15_Young_Liver_4c,IMP,92718153.24,Young,SIRT6-tg,N/A
17_Young_Liver_5a,IMP,87051019.83,Young,Wild-type,N/A
18_Young_Liver_5b,IMP,71043805.79,Young,Wild-type,N/A
19_Young_Liver_5c,IMP,53449376.29,Young,Wild-type,N/A
21_Young_Liver_6a,IMP,76125117.6,Young,Wild-type,N/A
22_Young_Liver_6b,IMP,51459493.95,Young,Wild-type,N/A
23_Young_Liver_6c,IMP,98428455.21,Young,Wild-type,N/A
25_Young_Liver_7a,IMP,108764882.3,Young,Wild-type,N/A
26_Young_Liver_7b,IMP,131593166.1,Young,Wild-type,N/A
27_Young_Liver_7c,IMP,63521101.83,Young,Wild-type,N/A
29_Young_Liver_8a,IMP,88958406.97,Young,Wild-type,N/A
30_Young_Liver_8b,IMP,78892065.72,Young,Wild-type,N/A
31_Young_Liver_8c,IMP,69472002.09,Young,Wild-type,N/A
33_Young_Liver_9a,IMP,95648641.36,Young,SIRT6-tg,N/A
34_Young_Liver_9b,IMP,65273596.31,Young,SIRT6-tg,N/A
37_Young_Liver_10a,IMP,133846957.2,Young,SIRT6-tg,N/A
38_Young_Liver_10b,IMP,127742430.1,Young,SIRT6-tg,N/A
39_Young_Liver_10c,IMP,137762539.4,Young,SIRT6-tg,N/A
41_Young_Liver_11a,IMP,24740340.14,Young,Wild-type,[U-13C]Lactate
42_Young_Liver_11b,IMP,22045017.21,Young,Wild-type,[U-13C]Lactate
43_Young_Liver_11c,IMP,5368136.566,Young,Wild-type,[U-13C]Lactate
45_Young_Liver_12a,IMP,34859865.87,Young,Wild-type,[U-13C]Lactate
46_Young_Liver_12b,IMP,20727309.68,Young,Wild-type,[U-13C]Lactate
47_Young_Liver_12c,IMP,20947442.76,Young,Wild-type,[U-13C]Lactate
49_Young_Liver_13a,IMP,27474019.84,Young,Wild-type,[U-13C]Lactate
50_Young_Liver_13b,IMP,28301420.28,Young,Wild-type,[U-13C]Lactate
51_Young_Liver_13c,IMP,32476072.74,Young,Wild-type,[U-13C]Lactate
53_Young_Liver_14a,IMP,25356078.28,Young,SIRT6-tg,[U-13C]Lactate
54_Young_Liver_14b,IMP,22687501.69,Young,SIRT6-tg,[U-13C]Lactate
55_Young_Liver_14c,IMP,27599984.6,Young,SIRT6-tg,[U-13C]Lactate
57_Young_Liver_15a,IMP,26872707.88,Young,SIRT6-tg,[U-13C]Lactate
58_Young_Liver_15b,IMP,54369285.85,Young,SIRT6-tg,[U-13C]Lactate
59_Young_Liver_15c,IMP,32648624.24,Young,SIRT6-tg,[U-13C]Lactate
61_Young_Liver_16a,IMP,50717781.56,Young,SIRT6-tg,[U-13C]Lactate
62_Young_Liver_16b,IMP,42676268.7,Young,SIRT6-tg,[U-13C]Lactate
63_Young_Liver_16c,IMP,41877022.64,Young,SIRT6-tg,[U-13C]Lactate
65_Young_Liver_17a,IMP,49066129.77,Young,SIRT6-tg,[U-13C]Lactate
66_Young_Liver_17b,IMP,48893693.01,Young,SIRT6-tg,[U-13C]Lactate
67_Young_Liver_17c,IMP,31906189.16,Young,SIRT6-tg,[U-13C]Lactate
69_Young_Liver_18a,IMP,32553997.38,Young,SIRT6-tg,[U-13C]Lactate
70_Young_Liver_18b,IMP,28033474.33,Young,SIRT6-tg,[U-13C]Lactate
71_Young_Liver_18c,IMP,20273442.91,Young,SIRT6-tg,[U-13C]Lactate
73_Young_Liver_19a,IMP,47229234.96,Young,Wild-type,[U-13C]Lactate
74_Young_Liver_19b,IMP,53597400.81,Young,Wild-type,[U-13C]Lactate
75_Young_Liver_19c,IMP,33176903.07,Young,Wild-type,[U-13C]Lactate
77_Young_Liver_20a,IMP,47189194.35,Young,Wild-type,[U-13C]Lactate
78_Young_Liver_20b,IMP,28921562.19,Young,Wild-type,[U-13C]Lactate
79_Young_Liver_20c,IMP,43578730.82,Young,Wild-type,[U-13C]Lactate
81_Old_Liver_21a,IMP,54525060.32,Old,SIRT6-tg,N/A
82_Old_Liver_21b,IMP,66722353.61,Old,SIRT6-tg,N/A
83_Old_Liver_21c,IMP,80209786.75,Old,SIRT6-tg,N/A
84_Old_Liver_22a,IMP,61226496.21,Old,Wild-type,N/A
85_Old_Liver_22b,IMP,63202582.49,Old,Wild-type,N/A
86_Old_Liver_22c,IMP,86815425.93,Old,Wild-type,N/A
87_Old_Liver_23a,IMP,25317808.89,Old,SIRT6-tg,N/A
88_Old_Liver_23b,IMP,49321433.61,Old,SIRT6-tg,N/A
89_Old_Liver_23c,IMP,45848465.58,Old,SIRT6-tg,N/A
90_Old_Liver_24a,IMP,38075511.9,Old,Wild-type,N/A
91_Old_Liver_24b,IMP,55713838.63,Old,Wild-type,N/A
92_Old_Liver_24c,IMP,25540083.52,Old,Wild-type,N/A
93_Old_Liver_25a,IMP,79152920.83,Old,SIRT6-tg,N/A
94_Old_Liver_25b,IMP,96317528.96,Old,SIRT6-tg,N/A
95_Old_Liver_25c,IMP,98379335.31,Old,SIRT6-tg,N/A
96_Old_Liver_26a,IMP,49237993.45,Old,Wild-type,N/A
97_Old_Liver_26b,IMP,57206687.29,Old,Wild-type,N/A
98_Old_Liver_26c,IMP,26085886.84,Old,Wild-type,N/A
99_Old_Liver_27a,IMP,64505492.58,Old,Wild-type,N/A
100_Old_Liver_27b,IMP,66581108.06,Old,Wild-type,N/A
101_Old_Liver_27c,IMP,60643764.95,Old,Wild-type,N/A
102_Old_Liver_28a,IMP,51252503.52,Old,SIRT6-tg,N/A
103_Old_Liver_28b,IMP,58846814.8,Old,SIRT6-tg,N/A
104_Old_Liver_28c,IMP,52732149.65,Old,SIRT6-tg,N/A
105_Old_Liver_29a,IMP,35178509.11,Old,Wild-type,N/A
106_Old_Liver_29b,IMP,20809496.58,Old,Wild-type,N/A
107_Old_Liver_29c,IMP,23129123.84,Old,Wild-type,N/A
108_Old_Liver_30a,IMP,53991504.45,Old,SIRT6-tg,N/A
109_Old_Liver_30b,IMP,92621254.04,Old,SIRT6-tg,N/A
110_Old_Liver_30c,IMP,76403007.6,Old,SIRT6-tg,N/A
111_Old_Liver_31a,IMP,18845824.63,Old,SIRT6-tg,[U-13C]Lactate
112_Old_Liver_31b,IMP,13293193.23,Old,SIRT6-tg,[U-13C]Lactate
113_Old_Liver_31c,IMP,9220168.897,Old,SIRT6-tg,[U-13C]Lactate
114_Old_Liver_32a,IMP,14284886.79,Old,Wild-type,[U-13C]Lactate
115_Old_Liver_32b,IMP,12816588.56,Old,Wild-type,[U-13C]Lactate
116_Old_Liver_32c,IMP,19240295.09,Old,Wild-type,[U-13C]Lactate
117_Old_Liver_33a,IMP,22133270.77,Old,Wild-type,[U-13C]Lactate
118_Old_Liver_33b,IMP,19105109.58,Old,Wild-type,[U-13C]Lactate
119_Old_Liver_33c,IMP,28692806.27,Old,Wild-type,[U-13C]Lactate
120_Old_Liver_34a,IMP,15897645.63,Old,SIRT6-tg,[U-13C]Lactate
121_Old_Liver_34b,IMP,18743404.85,Old,SIRT6-tg,[U-13C]Lactate
122_Old_Liver_34c,IMP,16149638.38,Old,SIRT6-tg,[U-13C]Lactate
123_Old_Liver_35a,IMP,27656475.95,Old,SIRT6-tg,[U-13C]Lactate
124_Old_Liver_35b,IMP,32712002.41,Old,SIRT6-tg,[U-13C]Lactate
125_Old_Liver_35c,IMP,20041006.69,Old,SIRT6-tg,[U-13C]Lactate
126_Old_Liver_36a,IMP,15016771.07,Old,Wild-type,[U-13C]Lactate
127_Old_Liver_36b,IMP,17436714.27,Old,Wild-type,[U-13C]Lactate
128_Old_Liver_36c,IMP,11672612.97,Old,Wild-type,[U-13C]Lactate
129_Old_Liver_37a,IMP,28918700.24,Old,SIRT6-tg,[U-13C]Lactate
130_Old_Liver_37b,IMP,25765301.99,Old,SIRT6-tg,[U-13C]Lactate
131_Old_Liver_37c,IMP,23119300.04,Old,SIRT6-tg,[U-13C]Lactate
132_Old_Liver_38a,IMP,34577047.33,Old,Wild-type,[U-13C]Lactate
133_Old_Liver_38b,IMP,31533052.3,Old,Wild-type,[U-13C]Lactate
134_Old_Liver_38c,IMP,16808496.89,Old,Wild-type,[U-13C]Lactate
135_Old_Liver_39a,IMP,35133884.67,Old,SIRT6-tg,[U-13C]Lactate
136_Old_Liver_39b,IMP,24599014.56,Old,SIRT6-tg,[U-13C]Lactate
137_Old_Liver_39c,IMP,22329490.37,Old,SIRT6-tg,[U-13C]Lactate
138_Old_Liver_40a,IMP,20824422.88,Old,Wild-type,[U-13C]Lactate
139_Old_Liver_40b,IMP,27406905.53,Old,Wild-type,[U-13C]Lactate
140_Old_Liver_40c,IMP,28016118.52,Old,Wild-type,[U-13C]Lactate
01_Young_Liver_1a,Linoleic acid,271787516.0,Young,SIRT6-tg,N/A
