sample_id,metabolite,value,Age,Genotype,Treatment
53_Young_Liver_14a,3-hydroxybutyric acid+1,2012634.814,Young,SIRT6-tg,[U-13C]Lactate
54_Young_Liver_14b,3-hydroxybutyric acid+1,2381152.701,Young,SIRT6-tg,[U-13C]Lactate
55_Young_Liver_14c,3-hydroxybutyric acid+1,2438654.76,Young,SIRT6-tg,[U-13C]Lactate
57_Young_Liver_15a,3-hydroxybutyric acid+1,1779894.294,Young,SIRT6-tg,[U-13C]Lactate
58_Young_Liver_15b,3-hydroxybutyric acid+1,1823251.369,Young,SIRT6-tg,[U-13C]Lactate
59_Young_Liver_15c,3-hydroxybutyric acid+1,2813584.936,Young,SIRT6-tg,[U-13C]Lactate
61_Young_Liver_16a,3-hydroxybutyric acid+1,3423401.189,Young,SIRT6-tg,[U-13C]Lactate
62_Young_Liver_16b,3-hydroxybutyric acid+1,3229428.898,Young,SIRT6-tg,[U-13C]Lactate
63_Young_Liver_16c,3-hydroxybutyric acid+1,4169372.029,Young,SIRT6-tg,[U-13C]Lactate
65_Young_Liver_17a,3-hydroxybutyric acid+1,1765304.08,Young,SIRT6-tg,[U-13C]Lactate
66_Young_Liver_17b,3-hydroxybutyric acid+1,1522390.077,Young,SIRT6-tg,[U-13C]Lactate
67_Young_Liver_17c,3-hydroxybutyric acid+1,1855510.259,Young,SIRT6-tg,[U-13C]Lactate
69_Young_Liver_18a,3-hydroxybutyric acid+1,1657711.292,Young,SIRT6-tg,[U-13C]Lactate
70_Young_Liver_18b,3-hydroxybutyric acid+1,1940373.38,Young,SIRT6-tg,[U-13C]Lactate
71_Young_Liver_18c,3-hydroxybutyric acid+1,1505692.64,Young,SIRT6-tg,[U-13C]Lactate
73_Young_Liver_19a,3-hydroxybutyric acid+1,2223827.708,Young,Wild-type,[U-13C]Lactate
74_Young_Liver_19b,3-hydroxybutyric acid+1,2625616.108,Young,Wild-type,[U-13C]Lactate
75_Young_Liver_19c,3-hydroxybutyric acid+1,1920030.589,Young,Wild-type,[U-13C]Lactate
77_Young_Liver_20a,3-hydroxybutyric acid+1,1668451.56,Young,Wild-type,[U-13C]Lactate
78_Young_Liver_20b,3-hydroxybutyric acid+1,849749.8602,Young,Wild-type,[U-13C]Lactate
79_Young_Liver_20c,3-hydroxybutyric acid+1,1676162.549,Young,Wild-type,[U-13C]Lactate
81_Old_Liver_21a,3-hydroxybutyric acid+1,525606.708,Old,SIRT6-tg,N/A
82_Old_Liver_21b,3-hydroxybutyric acid+1,675148.3535,Old,SIRT6-tg,N/A
83_Old_Liver_21c,3-hydroxybutyric acid+1,576082.802,Old,SIRT6-tg,N/A
84_Old_Liver_22a,3-hydroxybutyric acid+1,2342916.208,Old,Wild-type,N/A
85_Old_Liver_22b,3-hydroxybutyric acid+1,2223748.388,Old,Wild-type,N/A
86_Old_Liver_22c,3-hydroxybutyric acid+1,3476318.08,Old,Wild-type,N/A
87_Old_Liver_23a,3-hydroxybutyric acid+1,2138629.319,Old,SIRT6-tg,N/A
88_Old_Liver_23b,3-hydroxybutyric acid+1,4722004.736,Old,SIRT6-tg,N/A
89_Old_Liver_23c,3-hydroxybutyric acid+1,4199603.044,Old,SIRT6-tg,N/A
90_Old_Liver_24a,3-hydroxybutyric acid+1,4990928.679,Old,Wild-type,N/A
91_Old_Liver_24b,3-hydroxybutyric acid+1,5938663.987,Old,Wild-type,N/A
92_Old_Liver_24c,3-hydroxybutyric acid+1,6303610.675,Old,Wild-type,N/A
93_Old_Liver_25a,3-hydroxybutyric acid+1,2369382.773,Old,SIRT6-tg,N/A
94_Old_Liver_25b,3-hydroxybutyric acid+1,2861819.622,Old,SIRT6-tg,N/A
95_Old_Liver_25c,3-hydroxybutyric acid+1,2843023.867,Old,SIRT6-tg,N/A
96_Old_Liver_26a,3-hydroxybutyric acid+1,876222.8304,Old,Wild-type,N/A
97_Old_Liver_26b,3-hydroxybutyric acid+1,2104854.865,Old,Wild-type,N/A
98_Old_Liver_26c,3-hydroxybutyric acid+1,1434918.739,Old,Wild-type,N/A
99_Old_Liver_27a,3-hydroxybutyric acid+1,2187834.318,Old,Wild-type,N/A
100_Old_Liver_27b,3-hydroxybutyric acid+1,1731967.847,Old,Wild-type,N/A
101_Old_Liver_27c,3-hydroxybutyric acid+1,2327235.337,Old,Wild-type,N/A
102_Old_Liver_28a,3-hydroxybutyric acid+1,4362331.61,Old,SIRT6-tg,N/A
103_Old_Liver_28b,3-hydroxybutyric acid+1,4762331.106,Old,SIRT6-tg,N/A
104_Old_Liver_28c,3-hydroxybutyric acid+1,5134777.093,Old,SIRT6-tg,N/A
105_Old_Liver_29a,3-hydroxybutyric acid+1,2367152.168,Old,Wild-type,N/A
106_Old_Liver_29b,3-hydroxybutyric acid+1,1878203.889,Old,Wild-type,N/A
107_Old_Liver_29c,3-hydroxybutyric acid+1,2788244.605,Old,Wild-type,N/A
108_Old_Liver_30a,3-hydroxybutyric acid+1,2984606.36,Old,SIRT6-tg,N/A
109_Old_Liver_30b,3-hydroxybutyric acid+1,4098312.734,Old,SIRT6-tg,N/A
110_Old_Liver_30c,3-hydroxybutyric acid+1,3308443.776,Old,SIRT6-tg,N/A
111_Old_Liver_31a,3-hydroxybutyric acid+1,1622530.99,Old,SIRT6-tg,[U-13C]Lactate
112_Old_Liver_31b,3-hydroxybutyric acid+1,904071.7023,Old,SIRT6-tg,[U-13C]Lactate
113_Old_Liver_31c,3-hydroxybutyric acid+1,595956.229,Old,SIRT6-tg,[U-13C]Lactate
114_Old_Liver_32a,3-hydroxybutyric acid+1,506985.2743,Old,Wild-type,[U-13C]Lactate
115_Old_Liver_32b,3-hydroxybutyric acid+1,537682.8135,Old,Wild-type,[U-13C]Lactate
116_Old_Liver_32c,3-hydroxybutyric acid+1,796095.1653,Old,Wild-type,[U-13C]Lactate
117_Old_Liver_33a,3-hydroxybutyric acid+1,659725.4066,Old,Wild-type,[U-13C]Lactate
118_Old_Liver_33b,3-hydroxybutyric acid+1,573661.5482,Old,Wild-type,[U-13C]Lactate
119_Old_Liver_33c,3-hydroxybutyric acid+1,1387802.444,Old,Wild-type,[U-13C]Lactate
120_Old_Liver_34a,3-hydroxybutyric acid+1,1275749.561,Old,SIRT6-tg,[U-13C]Lactate
121_Old_Liver_34b,3-hydroxybutyric acid+1,2015363.408,Old,SIRT6-tg,[U-13C]Lactate
122_Old_Liver_34c,3-hydroxybutyric acid+1,1403948.579,Old,SIRT6-tg,[U-13C]Lactate
123_Old_Liver_35a,3-hydroxybutyric acid+1,1590129.8,Old,SIRT6-tg,[U-13C]Lactate
124_Old_Liver_35b,3-hydroxybutyric acid+1,1977166.672,Old,SIRT6-tg,[U-13C]Lactate
125_Old_Liver_35c,3-hydroxybutyric acid+1,1139088.959,Old,SIRT6-tg,[U-13C]Lactate
126_Old_Liver_36a,3-hydroxybutyric acid+1,978378.6598,Old,Wild-type,[U-13C]Lactate
127_Old_Liver_36b,3-hydroxybutyric acid+1,1221059.944,Old,Wild-type,[U-13C]Lactate
128_Old_Liver_36c,3-hydroxybutyric acid+1,1273599.472,Old,Wild-type,[U-13C]Lactate
129_Old_Liver_37a,3-hydroxybutyric acid+1,1592535.594,Old,SIRT6-tg,[U-13C]Lactate
130_Old_Liver_37b,3-hydroxybutyric acid+1,1373118.85,Old,SIRT6-tg,[U-13C]Lactate
131_Old_Liver_37c,3-hydroxybutyric acid+1,1240123.851,Old,SIRT6-tg,[U-13C]Lactate
132_Old_Liver_38a,3-hydroxybutyric acid+1,1111697.872,Old,Wild-type,[U-13C]Lactate
133_Old_Liver_38b,3-hydroxybutyric acid+1,584426.8933,Old,Wild-type,[U-13C]Lactate
134_Old_Liver_38c,3-hydroxybutyric acid+1,862949.573,Old,Wild-type,[U-13C]Lactate
135_Old_Liver_39a,3-hydroxybutyric acid+1,1712525.377,Old,SIRT6-tg,[U-13C]Lactate
136_Old_Liver_39b,3-hydroxybutyric acid+1,1108314.844,Old,SIRT6-tg,[U-13C]Lactate
137_Old_Liver_39c,3-hydroxybutyric acid+1,1385710.503,Old,SIRT6-tg,[U-13C]Lactate
138_Old_Liver_40a,3-hydroxybutyric acid+1,1159223.422,Old,Wild-type,[U-13C]Lactate
139_Old_Liver_40b,3-hydroxybutyric acid+1,1959862.126,Old,Wild-type,[U-13C]Lactate
140_Old_Liver_40c,3-hydroxybutyric acid+1,1554697.733,Old,Wild-type,[U-13C]Lactate
01_Young_Liver_1a,3-hydroxybutyric acid+2,0.0,Young,SIRT6-tg,N/A
02_Young_Liver_1b,3-hydroxybutyric acid+2,0.0,Young,SIRT6-tg,N/A
03_Young_Liver_1c,3-hydroxybutyric acid+2,0.0,Young,SIRT6-tg,N/A
05_Young_Liver_2a,3-hydroxybutyric acid+2,0.0,Young,SIRT6-tg,N/A
06_Young_Liver_2b,3-hydroxybutyric acid+2,0.0,Young,SIRT6-tg,N/A
07_Young_Liver_2c,3-hydroxybutyric acid+2,0.0,Young,SIRT6-tg,N/A
09_Young_Liver_3a,3-hydroxybutyric acid+2,0.0,Young,Wild-type,N/A
10_Young_Liver_3b,3-hydroxybutyric acid+2,0.0,Young,Wild-type,N/A
11_Young_Liver_3c,3-hydroxybutyric acid+2,0.0,Young,Wild-type,N/A
13_Young_Liver_4a,3-hydroxybutyric acid+2,0.0,Young,SIRT6-tg,N/A
14_Young_Liver_4b,3-hydroxybutyric acid+2,0.0,Young,SIRT6-tg,N/A
15_Young_Liver_4c,3-hydroxybutyric acid+2,0.0,Young,SIRT6-tg,N/A
17_Young_Liver_5a,3-hydroxybutyric acid+2,0.0,Young,Wild-type,N/A
18_Young_Liver_5b,3-hydroxybutyric acid+2,0.0,Young,Wild-type,N/A
19_Young_Liver_5c,3-hydroxybutyric acid+2,0.0,Young,Wild-type,N/A
21_Young_Liver_6a,3-hydroxybutyric acid+2,0.0,Young,Wild-type,N/A
22_Young_Liver_6b,3-hydroxybutyric acid+2,0.0,Young,Wild-type,N/A
23_Young_Liver_6c,3-hydroxybutyric acid+2,0.0,Young,Wild-type,N/A
25_Young_Liver_7a,3-hydroxybutyric acid+2,0.0,Young,Wild-type,N/A
26_Young_Liver_7b,3-hydroxybutyric acid+2,0.0,Young,Wild-type,N/A
27_Young_Liver_7c,3-hydroxybutyric acid+2,0.0,Young,Wild-type,N/A
29_Young_Liver_8a,3-hydroxybutyric acid+2,0.0,Young,Wild-type,N/A
30_Young_Liver_8b,3-hydroxybutyric acid+2,0.0,Young,Wild-type,N/A
31_Young_Liver_8c,3-hydroxybutyric acid+2,0.0,Young,Wild-type,N/A
33_Young_Liver_9a,3-hydroxybutyric acid+2,0.0,Young,SIRT6-tg,N/A
34_Young_Liver_9b,3-hydroxybutyric acid+2,0.0,Young,SIRT6-tg,N/A
37_Young_Liver_10a,3-hydroxybutyric acid+2,0.0,Young,SIRT6-tg,N/A
38_Young_Liver_10b,3-hydroxybutyric acid+2,0.0,Young,SIRT6-tg,N/A
39_Young_Liver_10c,3-hydroxybutyric acid+2,0.0,Young,SIRT6-tg,N/A
41_Young_Liver_11a,3-hydroxybutyric acid+2,7119536.137,Young,Wild-type,[U-13C]Lactate
42_Young_Liver_11b,3-hydroxybutyric acid+2,7214485.644,Young,Wild-type,[U-13C]Lactate
43_Young_Liver_11c,3-hydroxybutyric acid+2,2379346.068,Young,Wild-type,[U-13C]Lactate
45_Young_Liver_12a,3-hydroxybutyric acid+2,5985302.315,Young,Wild-type,[U-13C]Lactate
46_Young_Liver_12b,3-hydroxybutyric acid+2,5980336.154,Young,Wild-type,[U-13C]Lactate
47_Young_Liver_12c,3-hydroxybutyric acid+2,5227071.616,Young,Wild-type,[U-13C]Lactate
49_Young_Liver_13a,3-hydroxybutyric acid+2,4593705.633,Young,Wild-type,[U-13C]Lactate
50_Young_Liver_13b,3-hydroxybutyric acid+2,3172552.409,Young,Wild-type,[U-13C]Lactate
51_Young_Liver_13c,3-hydroxybutyric acid+2,4055360.796,Young,Wild-type,[U-13C]Lactate
53_Young_Liver_14a,3-hydroxybutyric acid+2,2443616.483,Young,SIRT6-tg,[U-13C]Lactate
54_Young_Liver_14b,3-hydroxybutyric acid+2,2940698.964,Young,SIRT6-tg,[U-13C]Lactate
55_Young_Liver_14c,3-hydroxybutyric acid+2,2713006.776,Young,SIRT6-tg,[U-13C]Lactate
57_Young_Liver_15a,3-hydroxybutyric acid+2,2952123.315,Young,SIRT6-tg,[U-13C]Lactate
