Gene,N_Observations,Separation_Score,Bimodality_Coefficient,Cluster0_Mean,Cluster0_Std,Cluster0_N,Cluster1_Mean,Cluster1_Std,Cluster1_N,Overall_Mean,Overall_Std
SERPINC1,10,3.212937612952867,0.4500854734146123,0.0230480228201157,0.5918284210302427,8,2.755091322863957,0.25749724014340925,2,0.569456682828884,1.2197210191752563
ANXA7,10,3.0915024100671507,0.30799644474826515,-0.04797349596001507,0.25461413250358966,8,-0.935104170033775,0.031343649313080646,2,-0.22539963077476707,0.42187593354931596
PRELP,10,2.990609566648887,0.43085019981549094,0.1450653162916505,0.09380932152008431,8,-0.33475714268854473,0.06563370799842885,2,0.04910082449561147,0.21151463899943104
AMBP,10,2.6557242480879237,0.4512834879146544,0.3194824875167538,0.28914584425656037,8,1.6234127769850137,0.20084274027252524,2,0.5802685454104057,0.5890579671233992
SERPINF2,10,2.6212737812794447,0.42258315707058597,0.07111035785529289,0.30291329603730605,7,1.5707563532394133,0.2681925275108708,3,0.521004156470529,0.7470506665509189
FBLN1,11,2.607601155767862,0.4225836061055783,-0.14906622653235568,0.09448397307515942,7,0.3474256953237797,0.09491781469745457,4,0.03147629050623903,0.2569034879258047
LGALS3,10,2.5436005105354247,0.26789477304528725,0.11070323757504198,0.3188641163665017,7,-0.8516059636564103,0.058461488320881966,3,-0.17798952279439367,0.5163966893019658
ITIH1,10,2.4686735186389033,0.37679711400886273,0.12549403918674482,0.48114891925303727,8,2.167124263046372,0.3448661592678661,2,0.5338200839586703,0.9359009535825168
S100A9,10,2.379187764136509,0.35882790823776495,-0.16404304587445778,0.15444093898379038,5,0.6120151821174891,0.17074526611112598,5,0.22398606812151564,0.4207963498835003
SERPINA1,10,2.3200731741271117,0.3411153535716963,0.8354788477664984,0.25231119026162835,5,-0.05540569737480674,0.13067865759154781,5,0.3900365751958458,0.4886591269315369
FGB,10,2.2643332777280434,0.5329511451970674,0.2027734209462881,0.2442243436906398,7,1.9880053203948094,0.5431895868062716,3,0.7383429907808444,0.894175299094097
LAMB2,11,2.2461537924955866,0.48458312078512356,0.0016865434021703016,0.08238408201382239,7,-0.6452156752397455,0.2046203372753733,4,-0.23355062701307186,0.3411499298005654
FGA,12,2.2451072318325878,0.5713833933946975,0.07416523297828007,0.3106882994066538,9,2.2063394822987856,0.6380098794104444,3,0.6072087953084065,1.01319587648305
FGG,10,2.242927558582506,0.5188418990301513,0.1093389760682153,0.2794785156568857,7,2.1539045779301813,0.6310826241750661,3,0.7227086566268052,1.0256741866338248
