Protein,Study_ID,Tissue,Pattern,N_Compartment_Pairs,Divergence
ANXA11,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.3313716793393476
Hexb,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.32958753361164567
FCN3,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.3273681607785699
ITIH6,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.32631948072619904
Cdnf,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.325823910779121
CRLF1,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,0.3243622744012384
Amy1,Schuler_2021,Skeletal_muscle_EDL,Both_UP (synergistic),3,0.3243563169988648
Col6a6,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.32384015520149595
B2m,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.32290098804479844
Gc,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.3214303839664417
COL14A1,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.32043687683542715
Bgn,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.3193932796293515
Ppia,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.31767595494262146
Gstm5,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.3169329792643395
Aebp1,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.3158458725922411
Dpysl3,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.3156955788102806
Cd81,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.31184410704773285
FBLN1,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.3116526039911027
Fabp5,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.3114195487245974
Cd163,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.31052672386661556
SEMA3B,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.3098639894052357
AGT,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.3087819046504827
GDF5,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.3063021963059038
THBS1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.3061480689966888
Pfn1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.30531840964700135
Fmod,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.3031568767883356
ANGPTL5,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.3008066435224617
CSPG4,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.3003997722613395
LOX,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.2979768392570217
MATN2,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.29735362004829674
Adck1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.2966092004816422
Pebp1,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.2957979654131705
LAMB2,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.29132240696724704
Serpinb1a,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.2907717103165477
PRG4,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,0.2898447176812084
Apoa2,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.2877088233607809
Dpep1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.282087560616252
LAMA4,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.28084117304226225
Slmap,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.28060082590905017
Cat,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.27997146446261895
GDF6,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.2781401547870353
Itih1,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.27784125904385043
COL11A2,Tam_2020,Intervertebral_disc_IAF,Both_DOWN (synergistic),3,0.2775403686563151
ANXA1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.2772104647823956
Pon3,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.27698392596602156
Dbi,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.2758746790327872
Serpina1d,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.2750194327401205
Col4a2,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.2748723261768598
Dhrs11,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.2745143830807764
A2M,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,0.273566758201429
MFGE8,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.27103443926888965
MMP3,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.2703360153421168
Nid2,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.26930124260632493
Serpina6,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.26864405365032756
Mcam,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.26841360874083503
Hspa5,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.2681818419996196
NID1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.2662382814788246
COL6A2,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.2641760303171177
Klkb1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.2635489635410316
Mfge8,Schuler_2021,Skeletal_muscle_EDL,Mixed,7,0.2628775155114475
Lamp2,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.26233229997963586
CTHRC1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.2620470976529373
Ccs,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.2618055772602002
Anxa1,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.2604835547328122
Lipe,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.2604354438443867
EMILIN1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.2601819130020406
Agrn,Schuler_2021,Skeletal_muscle_EDL,No_change,2,0.2596452417595783
Cfi,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.25897188408719046
Hspb6,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.25891587713705416
SMOC2,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.2586720662518938
Tbc1d15,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.25576625268998465
Gfer,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.25566990703255427
Lama5,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.2555946759527327
Fth1,Schuler_2021,Skeletal_muscle_EDL,Both_UP (synergistic),6,0.2553755132066766
TIMP3,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,0.25530446855159883
Lama2,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.2550566909795215
Mug1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.25450424071421257
Cma1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.25281251122769316
Vwa1,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.25236423096683336
Pla2g7,Schuler_2021,Skeletal_muscle_EDL,Mixed,3,0.2522439095453483
Cdh13,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.2522216198676522
Gsto1,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.2521071438853131
Entpd2,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.25205556388337075
Hsph1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.25162401031878806
Tfrc,Schuler_2021,Skeletal_muscle_EDL,Both_DOWN (synergistic),6,0.2513167646084457
C3,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.24980314404354428
Hpx,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.24882290489417583
Dag1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.2483859169488846
Gpi1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.24818553518223774
PAMR1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.24745794154777212
ECM1,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,0.2469506096433173
GPC1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.24536121699044264
LOXL2,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.24473854913858614
Pdia3,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.244214701140698
Clic1,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.2441869670507321
Pkm,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.2432916733136439
FN1,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,0.242161460039961
Fbln2,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.24067949825084944
SFRP4,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.24064153403188637
FNDC1,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.23905295880179409
Clu,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.23894584159228469
Serpina1a,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.2388070740919371
COL1A1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.23620012547299862
Itih5,Schuler_2021,Skeletal_muscle_EDL,No_change,4,0.2350840875116002
IGFBP5,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.23390906962293925
Sra1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.23291898879719453
HTRA1,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.2322289059173881
Col15a1,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.2304640312414875
SLPI,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.2303206298265252
Lama4,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.22922481527455732
Gpc1,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.2290430610718627
PCOLCE,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.228665306829777
COL9A1,Tam_2020,Intervertebral_disc_IAF,Both_DOWN (synergistic),3,0.2269610942207733
CST3,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.22601798594531278
LOXL3,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.22442580014825628
Ckm,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.22431993031182249
Gpc4,Schuler_2021,Skeletal_muscle_EDL,No_change,4,0.22427381389956894
SRPX2,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.22303064281765414
Cst3,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.22288681972729013
Apoh,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.22277956902063253
Ces1c,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.22232280419980496
Sod1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.22091508643595337
Pgk1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.22047372290606168
Serpine2,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.21984149351804594
S100a9,Schuler_2021,Skeletal_muscle_EDL,No_change,2,0.21931823622793406
COL9A2,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.21828619732936386
Pltp,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.21584150987845016
F12,Schuler_2021,Skeletal_muscle_EDL,Both_UP (synergistic),2,0.21584018309137384
CTSD,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.21528996720682492
OMD,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.21436331639744752
Cfb,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.21406284191938843
Aqp1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.2130382864218747
DCN,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.21202784554118895
CHRD,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.21199793958911325
Pdap1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.21151939086125301
Gbp2,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.2108312638766681
SERPINA1,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,0.2104431826325984
IGFBP7,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.21036941466564704
Cpe,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.21013508473791262
Pdcd6ip,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.20995939791894702
PXDN,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.20929934434219052
Lamb1,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.20921194085801773
Hsp90b1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.20913079784312427
Fabp3,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.20911613819251948
Afm,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.2089587989640582
Ctsz,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.2089531127571301
Pzp,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.2072252944979824
1300017J02Rik,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.20660091248813492
ACAN,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.20647443230822027
Cd34,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.20591133146746018
Glg1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.2053907683644007
SERPINA3,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,0.205155087835983
Tpt1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.20514179297331414
Hdlbp,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.20484882955093567
Ogn,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.20461090708893703
Igfbp5,Schuler_2021,Skeletal_muscle_EDL,No_change,4,0.20351498066718243
Col4a1,Schuler_2021,Skeletal_muscle_EDL,Mixed,7,0.2032817050474969
Lamb2,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.20278306114296524
OGN,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.20133158738408133
Kars,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.20132604238225896
Calu,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.20115365358739237
Cfh,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.2009740968473013
F13A1,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,0.20028092905207714
Cstb,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.2002732536403716
FBN1,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.2001198706031234
CHAD,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.19921084439381506
