Tissue,Gene_Symbol,gradient,abs_gradient
Kidney_Tubulointerstitial,SERPINE2,7.676299246796174,7.676299246796174
Skeletal_muscle_TA,Col6a2,-7.539264646397162,7.539264646397162
Heart_Decellularized_Tissue,Tnc,7.140226274169792,7.140226274169792
Heart_Decellularized_Tissue,Itih5,6.942829350901351,6.942829350901351
Skeletal_muscle_TA,Col4a1,-6.900903657860683,6.900903657860683
Kidney_Tubulointerstitial,VWA9,6.884285138570309,6.884285138570309
Skeletal_muscle_TA,Tgfbi,-6.760397196594997,6.760397196594997
Heart_Decellularized_Tissue,Hapln2,-6.758988589083845,6.758988589083845
Skeletal_muscle_EDL,Sparc,-6.5289496627225985,6.5289496627225985
Skeletal_muscle_TA,Fmod,6.099899729736962,6.099899729736962
Skeletal_muscle_TA,Kera,6.069864924043512,6.069864924043512
Kidney_Tubulointerstitial,FBLN5,5.842547841920844,5.842547841920844
Skeletal_muscle_TA,Col14a1,5.783445544208067,5.783445544208067
Kidney_Tubulointerstitial,CST3,-5.7681492588002286,5.7681492588002286
Skeletal_muscle_TA,Fgg,-5.641503758762032,5.641503758762032
Heart_Decellularized_Tissue,Igfbp6,5.639824216468353,5.639824216468353
Skeletal_muscle_TA,Ctsb,-5.624546677546752,5.624546677546752
Heart_Decellularized_Tissue,Chl1,5.611600456929032,5.611600456929032
Skeletal_muscle_TA,Kng1,5.590679815215893,5.590679815215893
Skeletal_muscle_EDL,Serpinf2,-5.5391082018211195,5.5391082018211195
Skeletal_muscle_EDL,Aspn,5.5123574183129165,5.5123574183129165
Kidney_Tubulointerstitial,EFEMP1,-5.479223739936352,5.479223739936352
Skeletal_muscle_TA,Lama4,5.376886135509099,5.376886135509099
Heart_Decellularized_Tissue,Lgi2,5.359818886288976,5.359818886288976
Heart_Decellularized_Tissue,Serpina3n,-5.301836919737409,5.301836919737409
Skeletal_muscle_TA,Prelp,5.2396214071340275,5.2396214071340275
Kidney_Tubulointerstitial,WNT4,-5.201940359336646,5.201940359336646
Heart_Decellularized_Tissue,S100a10,-5.171095028384733,5.171095028384733
Skeletal_muscle_EDL,Hmcn2,5.150523545516562,5.150523545516562
Heart_Decellularized_Tissue,F13a1,-5.015745718841747,5.015745718841747
Skeletal_muscle_TA,Dpt,-4.998343793457855,4.998343793457855
Skeletal_muscle_TA,Comp,4.993970608473018,4.993970608473018
Skeletal_muscle_TA,Pcolce,-4.958737309393576,4.958737309393576
Heart_Decellularized_Tissue,Serpinc1,-4.956990392113097,4.956990392113097
Heart_Decellularized_Tissue,Ctsd,4.8514843514548005,4.8514843514548005
Skeletal_muscle_EDL,Thbs4,4.7207278551862215,4.7207278551862215
Heart_Decellularized_Tissue,Adam10,4.634494988850117,4.634494988850117
Heart_Decellularized_Tissue,Plxdc2,4.632758506957111,4.632758506957111
Skeletal_muscle_TA,Nid1,4.618964655150848,4.618964655150848
Kidney_Tubulointerstitial,ANXA3,4.549982544325119,4.549982544325119
Skeletal_muscle_EDL,Ctsl,4.502387189727721,4.502387189727721
Heart_Decellularized_Tissue,Serpinb8,4.375082964562076,4.375082964562076
Heart_Decellularized_Tissue,Dsp,4.257364762893133,4.257364762893133
Heart_Decellularized_Tissue,A2m,4.222463481631213,4.222463481631213
Kidney_Tubulointerstitial,MFGE8,4.178790650753926,4.178790650753926
Skeletal_muscle_TA,Pzp,-4.16486906291701,4.16486906291701
Heart_Decellularized_Tissue,Serpinb6,4.1530461396053555,4.1530461396053555
Heart_Decellularized_Tissue,Col18a1,4.081308856635416,4.081308856635416
Kidney_Tubulointerstitial,S100A16,-4.054551425319788,4.054551425319788
Heart_Decellularized_Tissue,Ctsf,4.047630140068288,4.047630140068288
Skeletal_muscle_TA,Nid2,4.0073527331122385,4.0073527331122385
Kidney_Tubulointerstitial,VTN,4.007224859494037,4.007224859494037
Heart_Decellularized_Tissue,Matn4,3.9526494206420524,3.9526494206420524
Heart_Decellularized_Tissue,Itih2,-3.9364417896594355,3.9364417896594355
Skeletal_muscle_EDL,Col11a1,3.9320130818901777,3.9320130818901777
Skeletal_muscle_TA,Itih3,3.925355449196449,3.925355449196449
Kidney_Tubulointerstitial,S100A4,3.9205314171379646,3.9205314171379646
Skeletal_muscle_EDL,C1qtnf9,3.875931242241484,3.875931242241484
Skeletal_muscle_TA,Itih4,3.8696047106969855,3.8696047106969855
Kidney_Tubulointerstitial,FBLN1,3.8680059026877562,3.8680059026877562
Ovary,COL2A1,-3.8653866645499204,3.8653866645499204
Skeletal_muscle_TA,Anxa5,-3.7985332308325304,3.7985332308325304
Kidney_Tubulointerstitial,DCN,-3.7938313092714653,3.7938313092714653
Kidney_Tubulointerstitial,TNXB,-3.784632563952336,3.784632563952336
Kidney_Tubulointerstitial,ANXA5,3.7768275706037913,3.7768275706037913
Kidney_Tubulointerstitial,VCAN,3.7513417413121286,3.7513417413121286
Kidney_Tubulointerstitial,HTRA1,3.746234447955559,3.746234447955559
Skeletal_muscle_EDL,Ctsc,-3.725966902156647,3.725966902156647
Kidney_Tubulointerstitial,CTSL,-3.7066709178117008,3.7066709178117008
Skeletal_muscle_TA,Fgb,3.652064758484174,3.652064758484174
Skeletal_muscle_TA,Serpinb6a,-3.5811952192009273,3.5811952192009273
Skeletal_muscle_TA,Lamb2,3.5693055072004283,3.5693055072004283
Skeletal_muscle_EDL,Pxdn,-3.5482316621095227,3.5482316621095227
Heart_Decellularized_Tissue,C1ql3,3.5059598623381043,3.5059598623381043
Heart_Decellularized_Tissue,Fgf12,3.4777696838205845,3.4777696838205845
Ovary,S100A8,3.4385230525001402,3.4385230525001402
Heart_Decellularized_Tissue,Clec2l,-3.4193838983889417,3.4193838983889417
Kidney_Tubulointerstitial,MFAP4,-3.3940864249590534,3.3940864249590534
Heart_Decellularized_Tissue,C1qa,3.390358990676849,3.390358990676849
Kidney_Tubulointerstitial,LOXL2,-3.331169327751958,3.331169327751958
Skeletal_muscle_TA,Serpina1b,3.329469228022419,3.329469228022419
Skeletal_muscle_EDL,Papln,3.276034196490599,3.276034196490599
Kidney_Tubulointerstitial,S100A13,-3.261534992945321,3.261534992945321
Kidney_Tubulointerstitial,S100A10,-3.254826519918415,3.254826519918415
Heart_Decellularized_Tissue,Tinagl1,3.2129497475485107,3.2129497475485107
Skeletal_muscle_EDL,Lama2,3.17803823748952,3.17803823748952
Kidney_Tubulointerstitial,LUM,-3.154986789822933,3.154986789822933
Skeletal_muscle_TA,Anxa2,3.139294752516528,3.139294752516528
Skeletal_muscle_TA,Col6a6,-3.1095978414804755,3.1095978414804755
Kidney_Glomerular,CILP,3.106299219422231,3.106299219422231
Skeletal_muscle_TA,Adipoq,-3.0943380166566916,3.0943380166566916
Skeletal_muscle_TA,Cst3,3.0725183394261566,3.0725183394261566
Kidney_Tubulointerstitial,TNC,-3.049639347003644,3.049639347003644
Heart_Decellularized_Tissue,S100a9,3.027796679956784,3.027796679956784
Skeletal_muscle_TA,F2,3.0081640626988317,3.0081640626988317
Ovary,LAMB1,2.9841667565402057,2.9841667565402057
Kidney_Tubulointerstitial,S100A9,2.945066249899891,2.945066249899891
Skeletal_muscle_EDL,Agrn,-2.93668554179891,2.93668554179891
Skeletal_muscle_TA,Cstb,-2.9177979838391703,2.9177979838391703
Heart_Decellularized_Tissue,Chadl,-2.859207933691116,2.859207933691116
Heart_Decellularized_Tissue,Gpc4,-2.8156033745799114,2.8156033745799114
Kidney_Tubulointerstitial,ADAM17,-2.808079939804807,2.808079939804807
Kidney_Tubulointerstitial,SERPINH1,2.8071566136046107,2.8071566136046107
Kidney_Tubulointerstitial,OGN,-2.76071012138435,2.76071012138435
Ovary,NID2,2.75515341054261,2.75515341054261
Heart_Decellularized_Tissue,Slit2,-2.752650611067225,2.752650611067225
Kidney_Tubulointerstitial,DPT,-2.6716840028875275,2.6716840028875275
Heart_Decellularized_Tissue,Megf9,2.6620657121329536,2.6620657121329536
Skeletal_muscle_TA,Tgm2,2.6518838684062134,2.6518838684062134
Heart_Decellularized_Tissue,Plxdc1,2.638955448471642,2.638955448471642
Skeletal_muscle_EDL,Col5a1,2.6338735225822707,2.6338735225822707
Heart_Decellularized_Tissue,Serpina3k,2.6331875649344436,2.6331875649344436
Skeletal_muscle_EDL,Lgals1,-2.605596832023959,2.605596832023959
Ovary,ANXA6,-2.580197097983525,2.580197097983525
Heart_Decellularized_Tissue,Acan,2.572923187348369,2.572923187348369
Heart_Decellularized_Tissue,Mfge8,-2.5573083778487007,2.5573083778487007
Heart_Decellularized_Tissue,C1qtnf4,2.5456336919963243,2.5456336919963243
Kidney_Tubulointerstitial,POSTN,-2.5391466353488643,2.5391466353488643
Kidney_Tubulointerstitial,ANXA7,2.5373103552137137,2.5373103552137137
Skeletal_muscle_EDL,Serpina1a,-2.5238182575004995,2.5238182575004995
Heart_Decellularized_Tissue,Ogfod1,2.5024773973541548,2.5024773973541548
Kidney_Tubulointerstitial,ANXA4,2.458863576173645,2.458863576173645
Heart_Decellularized_Tissue,Vwa5a,2.450774256088166,2.450774256088166
Skeletal_muscle_EDL,Hpx,-2.4127695931049917,2.4127695931049917
Heart_Decellularized_Tissue,Lamb1,-2.408907784236266,2.408907784236266
Ovary,COL5A2,2.3758301002816227,2.3758301002816227
Heart_Decellularized_Tissue,Spock1,2.369945367121446,2.369945367121446
Kidney_Tubulointerstitial,CTSB,-2.3685562303841357,2.3685562303841357
Kidney_Tubulointerstitial,CTSD,-2.3655369059767475,2.3655369059767475
Heart_Decellularized_Tissue,Hapln1,-2.31243576107317,2.31243576107317
Heart_Decellularized_Tissue,Lman1,2.304515950553193,2.304515950553193
Heart_Decellularized_Tissue,Serpini1,2.2984278594825835,2.2984278594825835
Skeletal_muscle_EDL,Cpn2,-2.265787986438255,2.265787986438255
Skeletal_muscle_EDL,Serpina6,-2.2548661849857394,2.2548661849857394
Kidney_Tubulointerstitial,HRG,-2.247752299293164,2.247752299293164
Skeletal_muscle_EDL,Mbl2,-2.2271578684845212,2.2271578684845212
Ovary,CSTB,-2.2237166947341453,2.2237166947341453
Ovary,ITIH1,-2.2193896497783,2.2193896497783
Heart_Decellularized_Tissue,Plxna2,2.213733269379554,2.213733269379554
Kidney_Tubulointerstitial,PLOD1,2.2076065853055282,2.2076065853055282
Heart_Decellularized_Tissue,Ptn,2.2038354891436636,2.2038354891436636
Ovary,FGB,2.1898083548736,2.1898083548736
Heart_Decellularized_Tissue,Plxna1,2.1892798470072936,2.1892798470072936
Skeletal_muscle_TA,Fbln1,-2.1691748649245075,2.1691748649245075
Heart_Decellularized_Tissue,S100a11,-2.1659660228993265,2.1659660228993265
Kidney_Tubulointerstitial,S100A6,-2.150199100620719,2.150199100620719
Heart_Decellularized_Tissue,Lama3,-2.123309804607804,2.123309804607804
Heart_Decellularized_Tissue,Col25a1,-2.117366982980247,2.117366982980247
Skeletal_muscle_TA,Ecm1,-2.1165397037702385,2.1165397037702385
Heart_Decellularized_Tissue,Mmp17,2.1072944231177213,2.1072944231177213
Kidney_Tubulointerstitial,AMBP,-2.077846751504298,2.077846751504298
Heart_Decellularized_Tissue,Sema4d,2.060028724563328,2.060028724563328
Heart_Decellularized_Tissue,Hspg2,-2.025143046825035,2.025143046825035
Heart_Decellularized_Tissue,Sparcl1,-2.0234703508969463,2.0234703508969463
Heart_Decellularized_Tissue,Lgalsl,2.013742356959456,2.013742356959456
Ovary,COL12A1,1.9461899789652768,1.9461899789652768
Kidney_Tubulointerstitial,ITIH4,1.9432805639163826,1.9432805639163826
Heart_Decellularized_Tissue,Col6a3,-1.9411636605607954,1.9411636605607954
Heart_Decellularized_Tissue,Nrg3,-1.933302524396575,1.933302524396575
Heart_Decellularized_Tissue,Serpinb9,1.9115185764528906,1.9115185764528906
Kidney_Tubulointerstitial,ANXA11,1.8810907150160023,1.8810907150160023
Kidney_Tubulointerstitial,ITIH5,-1.865046076817394,1.865046076817394
Kidney_Tubulointerstitial,PCOLCE,-1.8548053115014742,1.8548053115014742
Skeletal_muscle_TA,Plg,-1.8488215873576554,1.8488215873576554
Kidney_Tubulointerstitial,LAMA1,-1.8410458121986502,1.8410458121986502
Kidney_Tubulointerstitial,FGA,-1.832371878515463,1.832371878515463
Kidney_Tubulointerstitial,ASPN,-1.8320375267309514,1.8320375267309514
Heart_Decellularized_Tissue,Ctsa,-1.8301793896559004,1.8301793896559004
Heart_Decellularized_Tissue,S100a4,-1.8216491940444308,1.8216491940444308
Kidney_Tubulointerstitial,SERPINF2,1.8032441397316237,1.8032441397316237
Heart_Decellularized_Tissue,Sema7a,1.7878390955966263,1.7878390955966263
Ovary,COL1A1,1.7872975281176775,1.7872975281176775
Kidney_Tubulointerstitial,COL5A1,-1.7871398484090892,1.7871398484090892
Kidney_Tubulointerstitial,TINAGL1,1.7737339267806531,1.7737339267806531
Heart_Decellularized_Tissue,S100b,-1.7707622134596035,1.7707622134596035
Heart_Decellularized_Tissue,Igfbp7,1.755021378878341,1.755021378878341
Kidney_Tubulointerstitial,COL6A5,-1.7539648375163057,1.7539648375163057
