Gene_Symbol,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,reconstruction_error
ANGPTL1,0.106771834,0.49179196,-0.9377949,-0.36985844,0.39638996,-0.21018445,-0.1760155,-0.026082233,0.008460732
ANGPTL2,0.65683836,0.08766321,-4.188076,-2.3118765,3.2733078,2.982084,-0.76074106,0.5935913,0.23722744
ANGPTL3,0.1253022,0.54744005,-0.997347,-0.42150885,0.30671924,-0.077764176,-0.2618627,-0.024676234,0.009923535
ANGPTL4,0.029217258,0.1690292,-0.9002507,-0.3230223,1.1282244,-1.0608494,0.3116175,0.14427596,0.049093384
ANGPTL5,0.17642042,0.9687305,-3.2707112,-1.8981217,2.0956342,3.2398763,-1.1583931,0.24781752,0.06426699
ANGPTL6,0.36400983,0.41850573,-1.4093279,-0.9779755,0.4336312,-0.6071815,-0.27565902,0.48987788,0.09346741
ANGPTL7,0.09248232,0.69984525,-1.1559561,-0.5667319,-0.02225469,0.41430345,-0.69245684,-0.07350154,0.02043344
ANXA1,0.19364145,1.9572585,-0.95057285,0.15537962,0.78004473,0.17034158,0.47335166,-0.48488998,0.58677304
ANXA11,0.6019731,2.2030513,-0.694262,-0.37587708,0.66470766,0.20751691,1.166892,0.118609026,0.3610093
ANXA2,-0.009225715,0.14175177,-1.358919,-1.01838,0.09042454,-0.89110094,-0.3205766,0.41029945,0.12905113
ANXA2;ANXA2P2,0.17853895,0.8708968,-1.3981093,-0.818645,-0.21980773,0.7133429,-1.0301465,-0.049117193,0.03369048
ANXA3,2.5498912,1.542747,-2.5195773,-0.7652415,2.5949974,-1.3435075,1.9413959,2.431049,0.6594402
ANXA4,0.7052393,2.8524642,-1.8073494,-0.7636111,0.06302275,0.9699734,0.6268013,-1.8177088,0.3494728
ANXA5,1.6939055,4.0270524,-1.816033,-0.46057075,1.5732253,0.56180346,1.8595927,-1.6672623,0.67275536
