Protein_ID,Gene_Symbol,Mean_Delta_Percentile,SD_Delta_Percentile,N_Studies,T_Statistic,P_value,Significant,Direction,FDR_Pvalue,FDR_Significant
P02745,C1QA,5.526271469639277,12.449760462566505,3,0.7688327008871898,0.5223723636207125,False,Increase,0.7679775032643252,False
P02746,C1QB,1.089842693668378,13.153430843724847,3,0.14351106871800742,0.8990408429636094,False,Increase,0.9468526937787591,False
P02747,C1QC,4.147779585328187,9.385975926343654,4,0.8838248931976478,0.4418795244739666,False,Increase,0.745160104793818,False
P02750,LRG1,28.96575245503595,20.285721063290747,3,2.473175825254427,0.13190359713490563,False,Increase,0.6302405842712994,False
P02751,FN1,2.675853492900819,14.077267007342625,4,0.3801666177824301,0.7291409469285366,False,Increase,0.8661423881489965,False
P02760,AMBP,18.770205063226392,17.267877967374794,5,2.4306087031819463,0.07193367244721216,False,Increase,0.6088329127612317,False
P02790,HPX,23.867610713548313,31.337698801965832,5,1.703047832365036,0.16376902175675223,False,Increase,0.6503008986127164,False
P03973,SLPI,8.007490546337408,24.268032922006554,3,0.5715082269732266,0.6253207832484016,False,Increase,0.8291983446533597,False
P04004,VTN,39.942625109365736,23.09296680051119,5,3.8676028816858077,0.018030201598306483,True,Increase,0.5378219671191371,False
P04083,ANXA1,-3.6197574463647144,15.356190630631577,5,-0.5270853890018201,0.6260132985208038,False,Decrease,0.8291983446533597,False
P04196,HRG,18.171669265285004,21.010239151397702,5,1.9339659795884723,0.12524292303289775,False,Increase,0.6281414293649948,False
P04275,VWF,2.121304341107944,22.07741020557217,4,0.19216967219937262,0.8598816696685412,False,Increase,0.926988650632906,False
P05154,SERPINA5,-2.8618524317618914,2.999744780129833,3,-1.6524318496727575,0.24025367165515243,False,Decrease,0.6680661139880035,False
P05155,SERPING1,9.83876927047864,27.28931753655649,4,0.7210711119689033,0.5229785451677307,False,Increase,0.7679775032643252,False
P05546,SERPIND1,15.930050938421676,30.73538474405694,5,1.1589468321275163,0.31095216002933657,False,Increase,0.6985141528709135,False
P05997,COL5A2,-9.157831481321281,18.145643024114925,5,-1.1285096753809196,0.3222053617010914,False,Decrease,0.6985141528709135,False
P06702,S100A9,14.876881624240019,14.793652965245887,5,2.2486480305552616,0.08777652423244753,False,Increase,0.6088329127612317,False
P06703,S100A6,-1.2594741235740727,8.235670230002407,3,-0.26488107366192326,0.8159021300429394,False,Decrease,0.91147249459024,False
P07339,CTSD,15.201119089400331,16.839917980497244,4,1.805367354758515,0.16877077155159625,False,Increase,0.6503008986127164,False
P07585,DCN,3.1396898694932007,7.341950431817645,5,0.95622546646861,0.39310809596958896,False,Increase,0.7119624404782555,False
P07858,CTSB,4.328131788832641,12.575343078954823,4,0.6883520809982332,0.5406834122494029,False,Increase,0.7825239741155462,False
P07942,LAMB1,-6.390577083408452,14.040513556551474,5,-1.0177522863674646,0.366346951499005,False,Decrease,0.7015768590179302,False
P07996,THBS1,-7.202284468361096,10.558394045568958,3,-1.1814981119217545,0.35885956263308083,False,Decrease,0.7015768590179302,False
P08123,COL1A2,-6.935292124012305,10.381518624778794,4,-1.3360843195828838,0.2738289078512752,False,Decrease,0.6711896538309453,False
P08133,ANXA6,-0.8613152424269443,21.32487721468976,5,-0.09031514754967268,0.9323785004324527,False,Decrease,0.9558345633364138,False
P08185,SERPINA6,41.67966440182526,32.00599649607419,3,2.255555342425789,0.15276081198323266,False,Increase,0.6503008986127164,False
P08572,COL4A2,3.92557507264583,7.351061058739561,5,1.1940932938897169,0.29841189837673343,False,Increase,0.6900908676440103,False
P08697,SERPINF2,16.723909850192605,26.404313459626163,5,1.4162761448726737,0.22963895906042575,False,Increase,0.6680661139880035,False
P08758,ANXA5,2.100829323645442,23.133869043200548,5,0.20306145798715072,0.848998185933076,False,Increase,0.9260633555706782,False
P09382,LGALS1,-0.5148092485137312,21.39640812778471,5,-0.05380101502305146,0.9596735530219624,False,Decrease,0.9685869296754172,False
P09525,ANXA4,2.129126812220351,20.252964690488216,4,0.21025334757239694,0.8469401432451527,False,Increase,0.9260633555706782,False
P10643,C7,20.40420676677795,24.54739139154794,3,1.4397099164014882,0.2866045434853788,False,Increase,0.6900908676440103,False
P11047,LAMC1,0.04833836279420526,5.908414370868225,6,0.020039949200438122,0.9847866243569976,False,Increase,0.9847866243569976,False
