Protein_A,Protein_B,Raw_Correlation,Latent_Similarity,Difference
Mstn,SERPINB4,0.06435496046745136,0.7019501,0.6375951127747361
Mstn,S100A2,0.06435496046745136,0.7019501,0.6375951127747361
HMCN2,Mstn,0.06435496046745136,0.7019501,0.6375951127747361
Mstn,SERPINB7,0.06435496046745136,0.7019501,0.6375951127747361
A2ML1,Mstn,0.06435496046745136,0.7019501,0.6375951127747361
Mstn,SERPINA12,0.06435496046745136,0.7019501,0.6375951127747361
Mstn,TGM5,0.06435496046745136,0.7019501,0.6375951127747361
CCL28,Mstn,0.06435496046745136,0.7019501,0.6375951127747361
MMP12,Mstn,0.06435496046745136,0.7019501,0.6375951127747361
Mstn,VEGFB,0.06435496046745136,0.7019501,0.6375951127747361
Mstn,S100A3,0.06435496046745136,0.7019501,0.6375951127747361
MBL1,Tgm1,0.09128308430182874,0.72869676,0.6374136792136437
BMP1,CPAMD8,0.17174826481175007,0.8090836,0.6373353161590141
COCH,Serpina10,0.07206368111539962,0.7093586,0.6372948918445003
S100A2,Serpina10,0.07206368111539962,0.7093586,0.6372948918445003
A2ML1,Serpina10,0.07206368111539962,0.7093586,0.6372948918445003
SERPINB7,Serpina10,0.07206368111539962,0.7093586,0.6372948918445003
Serpina10,TGM5,0.07206368111539964,0.7093586,0.6372948918445003
S100A3,Serpina10,0.07206368111539962,0.7093586,0.6372948918445003
COL17A1,Serpina10,0.07206368111539962,0.7093586,0.6372948918445003
SERPINA12,Serpina10,0.07206368111539962,0.7093586,0.6372948918445003
CCL28,Serpina10,0.07206368111539962,0.7093586,0.6372948918445003
HMCN2,Serpina10,0.07206368111539962,0.7093586,0.6372948918445003
MMP12,Serpina10,0.07206368111539962,0.7093586,0.6372948918445003
Serpina10,VEGFB,0.07206368111539964,0.7093586,0.6372948918445003
SERPINB4,Serpina10,0.07206368111539962,0.7093586,0.6372948918445003
CTSV,Serpina10,0.07206368111539962,0.7093586,0.6372948918445003
Serpina10,VWA2,0.07206368111539964,0.7093586,0.6372948918445003
SFTPC,WISP3,0.08669286430422365,0.7238614,0.63716853200849
Ncan,PCSK5,0.06447656651238348,0.70160586,0.6371292899062262
MATN1,Ncan,0.06447656651238348,0.70160586,0.6371292899062262
Ncan,PODNL1,0.06447656651238348,0.70160586,0.6371292899062262
Ncan,WFIKKN2,0.06447656651238348,0.7016058,0.6371292303015814
Ncan,REG4,0.06447656651238348,0.7016058,0.6371292303015814
Ncan,SULF1,0.06447656651238348,0.7016058,0.6371292303015814
ADAMTS2,Ncan,0.06447656651238348,0.7016058,0.6371292303015814
IBSP,Ncan,0.06447656651238348,0.7016058,0.6371292303015814
LEP,Ncan,0.06447656651238348,0.7016058,0.6371292303015814
F7,SFTPB,0.1461408824328195,0.78318566,0.6370447784062613
LGALSL,MASP1,0.07837502649593354,0.7152855,0.6369104535264969
Adam9,S100A7,0.06441584624060234,0.701273,0.6368571778415815
C1QTNF2,Serpina10,0.0743728189362638,0.71099126,0.6366184444533236
Ogfod1,P4htm,0.1783712275277921,0.8148662,0.6364949576605013
COL9A3,Plg,0.11518119555298328,0.751451,0.6362698199194288
Coch,MBL1,0.09128308430182877,0.7274734,0.6361902938796288
Cspg5,ISM2,0.06612424700304916,0.70223063,0.6361063853020961
LGALS9,PAPPA,0.07560835124319283,0.711691,0.6360826706760576
CCL16,MMP8,0.08965908259864766,0.725586,0.6359269145059971
Fgf2,NTN1,0.08314257505100835,0.71900856,0.6358659898980273
HHIP,LAMA4,0.14816275293526773,0.78396595,0.6358031923085677
CTSH,SFTPB,0.1189019841860259,0.7546798,0.6357778148938691
Col11a1,TSKU,0.09127041408329192,0.7269723,0.6357018678495389
Cspg5,TNFSFM13;TNFSF13,0.06739791282406155,0.7030836,0.6356856619478195
ECM1,Serping1,0.07189215526958097,0.7072375,0.6353453268013419
Cspg5,PLXNB2;MKIAA0315,0.06739791282406149,0.70263344,0.6352355276704759
BMP6,FAM20C,0.07812734698455652,0.7132553,0.6351279392321794
CLGN,MASP1,0.07837502649593364,0.71349055,0.6351155192537307
PDGFD,SEMA3A,0.17992393672755816,0.815013,0.6350890547008171
FSTL3,LOXL4,0.15005560769486628,0.7850476,0.6349919830377082
CRLF3,Mmp2,0.09027264977941821,0.7251438,0.634871140465638
CD209,COL9A3,0.2564773572108357,0.8911403,0.6346629249432476
SMOC1,Serpina10,0.07344939929462718,0.7081095,0.6346600987293596
PRSS3P2;PRSS2;PRSS1,TNFSF12,0.06804389103225458,0.70267606,0.6346321667832971
Serpinb9,Vwa5b2,0.22958294927904227,0.86419094,0.6346079868095198
