,Latent_1,Latent_2,Latent_3,Latent_4,Latent_5,Latent_6,Latent_7,Latent_8,Latent_9,Latent_10
C1ql3,0.60794365,0.7142642,0.25080946,-1.3787704,-0.55608594,-0.38884616,-1.6501305,0.1463016,0.68452007,-0.35696843
C1qtnf4,0.4024646,0.48334214,0.18934922,-1.0528377,-0.39493424,-0.33067778,-1.1925347,0.12863472,0.5191608,-0.2727754
C1qtnf9,-0.5390655,-0.11562541,-0.8830923,-0.23589073,-0.28764176,-0.5960854,-0.07072688,0.10887804,0.97408056,-0.35232994
C7,1.503119,-2.4904132,-0.09859384,-0.027962342,0.43580228,0.041218158,0.40526113,0.6374151,-0.7389695,-0.36472037
CAP2,-0.36382344,0.23049448,-0.5531767,-0.66693026,1.8091996,-0.29731676,-0.1674758,0.39316827,1.2151114,-1.1285423
CCL14,-0.07925279,-0.15970394,-0.07388581,-0.20465903,0.00766944,-0.13510144,0.11960201,0.060981568,0.18623796,-0.05645226
CCL16,-0.08054369,-0.13080814,-0.07057366,-0.22694817,-0.0074970145,-0.13380161,0.11268055,-0.009116427,0.2060379,0.03803809
CCL18,0.07014283,-0.21321198,-0.21161337,-0.085215986,-0.15393586,0.17608789,0.011794467,-0.40356478,0.4247115,0.64567477
CCL21,0.22695008,-0.33977532,-0.28369462,-0.22714218,-0.027827878,0.06974233,0.11143484,0.12307233,0.35263234,0.118696734
CCL21C;CCL21B;CCL21A,-0.08325967,-0.17566526,-0.09677599,-0.24118944,0.0015416677,-0.14088498,0.1734855,0.08052097,0.14235672,-0.105969846
CCL28,0.27672336,-0.3701339,-0.31853476,-0.21460232,-0.024289485,0.07614947,0.13442908,0.18071929,0.2791795,0.0028906174
CD109,0.105444096,0.3537257,-0.42296875,0.06505853,-0.070932,0.53630257,-0.16972862,-0.7926946,0.6183742,0.42861262
CD209,-0.10701448,-0.12140808,-0.020163981,-0.17048173,-0.094313614,-0.034863558,0.072438836,0.056435943,0.17606181,-0.05584449
CELA3A;CELA3B,-0.064832315,-0.14797403,-0.038907014,-0.19540188,-0.04688495,-0.07565824,0.12099265,0.10007445,0.1423863,-0.09243952
CHAD,-0.26474866,-0.077247046,-0.10379413,0.3445762,-0.2794848,0.35934857,-0.39384428,-0.4530587,0.50323385,0.4876255
CHADL,-0.13510685,-0.16616215,-0.068986356,-0.048094466,-0.13082735,0.08296952,-0.04824156,-0.3360078,0.20302927,0.39438334
