Protein,Lemma3_Role,All_Roles,Is_YAP_Target
COL5A1,Structural,YAP_Target;Structural,True
BGN,Other,Other,False
TGM2,Other,Other,False
TNXB,Other,Other,False
CPN2,Other,Other,False
FBLN1,Other,Other,False
S100A1,Other,Other,False
LAMA2,Structural,Structural,False
TNC,Other,Other,False
S100A4,Other,Other,False
COL8A1,Other,Other,False
LOX,Entropy_Exporter,Entropy_Exporter,False
SERPINA4,Other,Other,False
SERPINB1,Other,Other,False
S100A11,Other,Other,False
GPC1,Other,Other,False
SERPINB6,Other,Other,False
THBS2,Other,Other,False
THBS4,Other,Other,False
FBN1,Other,Other,False
TIMP3,Entropy_Exporter,Entropy_Exporter,False
IGFALS,Other,Other,False
SERPINF1,Entropy_Exporter,Entropy_Exporter,False
COL15A1,Structural,Structural,False
COL18A1,Other,Other,False
CXCL12,Other,Other,False
LMAN1,Other,Other,False
THBS3,Other,Other,False
SERPINH1,Entropy_Exporter,Entropy_Exporter,False
ANXA11,Other,Other,False
LUM,Other,Other,False
PRELP,Other,Other,False
MFAP2,Other,Other,False
MFAP4,Other,Other,False
LAMB2,Structural,Structural,False
CCL18,Other,Other,False
S100A10,Other,Other,False
SRPX,Other,Other,False
FBLN2,Other,Other,False
HSPG2,Other,Other,False
COL7A1,Other,Other,False
PLOD1,Other,Other,False
COL14A1,Structural,Structural,False
ITIH3,Other,Other,False
FMOD,Other,Other,False
COL16A1,Structural,Structural,False
DPT,Other,Other,False
MFGE8,Other,Other,False
EFEMP1,Other,Other,False
FSTL1,Other,Other,False
SEMA3B,Other,Other,False
ADAM15,Entropy_Exporter,Entropy_Exporter,False
COL9A2,Other,Other,False
NID2,Other,Other,False
ITIH4,Other,Other,False
LTBP1,Other,Other,False
LTBP2,Other,Other,False
POSTN,Other,Other,False
PCOLCE,Other,Other,False
FCN2,Other,Other,False
TGFBI,Other,Other,False
ADIPOQ,Other,Other,False
IGFBP7,Other,Other,False
LAMA4,Structural,Structural,False
ECM1,Other,Other,False
COL28A1,Other,Other,False
P3H1,Other,Other,False
FNDC1,Other,Other,False
FBLN7,Other,Other,False
ANXA8,Other,Other,False
VWA1,Other,Other,False
CSPG4,Other,Other,False
PLXDC2,Other,Other,False
VIT,Other,Other,False
CD109,Other,Other,False
ABI3BP,Other,Other,False
ITIH5,Other,Other,False
ANGPTL5,Other,Other,False
AEBP1,Other,Other,False
LTBP4,Other,Other,False
PXDN,Other,Other,False
HTRA1,Other,Other,False
PRG4,Other,Other,False
CTHRC1,Other,Other,False
HMCN1,Other,Other,False
HAPLN3,Other,Other,False
S100A13,Other,Other,False
COL12A1,Structural,Structural,False
OMD,Other,Other,False
SEMA3C,Other,Other,False
C1QTNF5,Other,Other,False
ASPN,Other,Other,False
TINAGL1,Other,Other,False
SMOC2,Other,Other,False
MMRN2,Other,Other,False
SPON1,Other,Other,False
MXRA5,Other,Other,False
EMILIN3,Other,Other,False
CTSZ,Other,Other,False
FBLN5,Other,Other,False
SERPINA10,Other,Other,False
ANGPTL2,Other,Other,False
CLEC11A,Other,Other,False
EMILIN1,Other,Other,False
COL6A6,Other,Other,False
COL4A1,Structural,Structural,False
S100A8,Other,Other,False
CTSG,Other,Other,False
MGP,Other,Other,False
LPA,Other,Other,False
ANXA3,Other,Other,False
DSPP,Other,Other,False
SDC2,Other,Other,False
FBN2,Other,Other,False
MMP14,Entropy_Exporter,Entropy_Exporter,False
ADAM17,Entropy_Exporter,Entropy_Exporter,False
NPNT,Other,Other,False
FBN3,Other,Other,False
SNED1,Other,Other,False
FLG2,Other,Other,False
VWA5A,Other,Other,False
ADAM10,Entropy_Exporter,Entropy_Exporter,False
MEGF6,Other,Other,False
TNFSF13,Pathology,Pathology,False
PAPLN,Other,Other,False
MMP1,Entropy_Exporter,Entropy_Exporter,False
CSTB,Other,Other,False
SERPINB2,Entropy_Exporter,Entropy_Exporter,False
