Protein,Phase_I,Phase_II,Delta_Phase_II_vs_I,Upregulated_Phase_II,Upregulated_Phase_I
Cspg4,-0.6034492931338511,-0.0859195173282885,0.5175297758055626,True,False
Cspg5,-0.0150516255483652,,,False,False
Cst3,-0.2058364095365558,-0.0521281398252575,0.1537082697112983,True,False
Cstb,0.45058310233244436,-0.0148952130567495,-0.4654783153891939,False,True
Ctsa,0.4798694933144932,0.0209385984264737,-0.45893089488801947,False,True
Ctsb,0.4770043563664857,-0.0170158328911154,-0.4940201892576011,False,True
Ctsc,0.017541403332720806,-0.0420353062280455,-0.05957670956076631,False,True
Ctsd,0.630048744939007,0.0378336013371609,-0.5922151436018461,False,True
Ctsf,-0.1930940475061068,,,False,False
Ctsg,,0.8199555059934533,,False,False
Ctsh,-0.10509821570503272,0.0725234303224143,0.177621646027447,True,False
Ctsl,-0.25726299946198894,-0.00029914859522,0.25696385086676893,True,False
Ctss,1.2830542609081799,0.2854674050617242,-0.9975868558464557,False,True
Ctsz,0.5364760240628683,-0.0164945938632649,-0.5529706179261332,False,True
Cx3cl1,-0.2507753847451228,,,False,False
Cxcl12,,0.8395760403471509,,False,False
Cxcl15,,-0.2453706509933871,,False,False
DCN,-2.2540385476124856,-0.1426130798999455,2.11142546771254,True,False
DPT,0.3138968618816053,-0.3237415741842883,-0.6376384360658935,False,True
DSPP,,-3.4984126014102133,,False,False
Dcn,0.0009401191957326693,-0.3353680558787675,-0.33630817507450017,False,True
Dmbt1,2.572406317181577,,,False,False
Dpt,1.0561297406153012,-0.1663082922396987,-1.222438032855,False,True
Dspp,-1.3468039834065657,,,False,False
ECM1,,0.470925487497617,,False,False
ECM2,,-0.4260571620000889,,False,False
EDIL3,,-0.3302894862504914,,False,False
EFEMP1,0.3096199661824951,0.024217883797689,-0.2854020823848061,False,True
EFEMP2,,-0.187524379862195,,False,False
EMILIN1,-0.171481637708057,-0.3133188528578344,-0.1418372151497774,False,True
EMILIN3,,-0.5061867897320991,,False,False
EPYC,,0.4741478851679917,,False,False
Ecm1,-0.1582958527445222,-0.0179787534109922,0.14031709933353,True,False
Ecm2,,0.0165355003227706,,False,False
Edil3,0.2965106038648388,,,False,False
Efemp1,,0.0769032098380257,,False,False
Egfl7,,0.2034559307557088,,False,False
Egflam,,-0.1373196294283901,,False,False
Egln1,-0.3048899981359834,,,False,False
Elfn1,-0.4161499206545901,,,False,False
Elfn2,-0.6130018836455975,,,False,False
Eln,,0.0570920117346701,,False,False
Emid1,,0.0757208202537943,,False,False
Emilin1,,-0.0303293750077952,,False,False
Emilin2,,-0.1555104142732337,,False,False
F10,,1.4165291317520712,,False,False
F12,,0.5083053004739677,,False,False
F13A1,,0.6378536188788496,,False,False
F13B,,0.0930215273485619,,False,False
F13a1,0.048890070753289216,0.4658600025116314,0.4169699317583422,True,False
F13b,0.2614900461148452,6.775994369178031,6.514504323063186,True,False
F2,0.3654837962572682,1.0185273409565094,0.6530435446992413,True,False
F7,,-0.1175834778104222,,False,False
F9,,3.2417325261994367,,False,False
FAM20C,,0.1826646645104944,,False,False
FBLN1,1.50443532640121,0.140907149935915,-1.3635281764652951,False,True
FBLN2,,-0.3808714129070215,,False,False
FBLN5,-0.9912024992428276,-0.0115636199341566,0.979638879308671,True,False
FBLN7,,-0.1110538094725687,,False,False
FBN1,-0.0933338109037277,-0.6163313166264431,-0.5229975057227154,False,True
FBN2,,-0.1175834778104222,,False,False
FBN3,,5.834226743202933,,False,False
FCN2,,2.052394958458483,,False,False
FCN3,,0.3144716358055652,,False,False
FGA,-0.6260514058273221,1.7903377008931536,2.4163891067204757,True,False
FGB,-0.704855650239366,1.5495284187395115,2.2543840689788777,True,False
FGFBP2,,-0.2745390320320768,,False,False
FGG,0.3056020120291911,1.6570632992743417,1.3514612872451506,True,False
FLG,0.0600860462390869,,,False,False
FMOD,-1.6779774841063488,-0.2585757697265275,1.4194017143798212,True,False
FN1,-0.5907922119508683,0.3772816196895409,0.9680738316404092,True,False
FNDC1,,-0.727625991612369,,False,False
FRZB,,-0.5335484162279946,,False,False
FSTL1,,-0.3557260028027589,,False,False
FSTL3,,-0.0199478029189841,,False,False
Fam132a,,0.1865229779859726,,False,False
Fbln1,0.0353978967040093,-0.0935296071349365,-0.1289275038389458,False,True
Fbln2,0.1086050019554826,0.136906052033787,0.0283010500783044,True,False
Fbln5,-1.5439709264069084,-0.111136512823142,1.4328344135837663,True,False
Fbn1,0.392106437462429,-0.1258889489930244,-0.5179953864554534,False,True
Fbn2,0.2561371732170867,,,False,False
Fga,0.0264280169019796,0.1957114161471353,0.1692833992451557,True,False
Fgb,-0.2180294786481115,0.2133361536968218,0.4313656323449333,True,False
Fgf1,-0.8112616903818952,-0.0066418045551957,0.8046198858266995,True,False
Fgf12,-1.938710746461402,,,False,False
Fgf13,-1.32666833594959,,,False,False
Fgf2,,-0.423764708275976,,False,False
Fgfbp1,1.6131989493557888,,,False,False
Fgg,1.313457103466714,0.2225607128081588,-1.0908963906585551,False,True
Fmod,0.16540173534051217,-6.330935460589047,-6.496337195929559,False,True
Fn1,-0.3315046846741978,0.020827339803569135,0.35233202447776696,True,False
Fras1,,-0.8526470388014435,,False,False
Frem1,,-2.1489945630225167,,False,False
Frem2,,0.0165355003227706,,False,False
Fstl1,-0.5602601891755901,0.0048295691025204,0.5650897582781105,True,False
GDF10,,-0.1175834778104222,,False,False
GDF5,,-0.0976613264530963,,False,False
GDF6,,-0.3581627303457484,,False,False
GPC1,-0.9529487717951464,-0.1979867614676702,0.7549620103274761,True,False
GPC6,-1.962423024010843,,,False,False
Gpc1,-0.5392819120541607,,,False,False
Gpc4,-0.11112914853366196,-0.2266252495338202,-0.11549610100015825,False,True
Gpc5,-0.7843019383105939,,,False,False
Gpc6,-0.0553430816419382,,,False,False
HABP2,,-0.1284523772758541,,False,False
HAPLN1,,-0.338348454947356,,False,False
HAPLN3,,-0.423846498047514,,False,False
HGFAC,,0.2268125041016089,,False,False
HHIP,,-0.3799421725695813,,False,False
HMCN1,,-0.4882484455313498,,False,False
HPX,-0.0283054317155657,1.8052578978604787,1.8335633295760445,True,False
HRG,0.3180248555769258,1.3418473676512774,1.0238225120743516,True,False
HRNR,-0.257014957050959,-0.5574199381701344,-0.30040498111917535,False,True
HSPG2,-0.6041010421498592,-0.3797974125511585,0.22430362959870065,True,False
HTRA1,,0.1932499929809324,,False,False
HTRA3,,0.2174031029041142,,False,False
HYAL1,,-0.0639826107148903,,False,False
Hapln1,0.9782018141304938,-0.4662168837312759,-1.4444186978617697,False,True
Hapln2,4.226391271798384,,,False,False
Hapln4,0.282674045340768,,,False,False
Hcfc1,-0.3615292024771931,0.0791212190697045,0.4406504215468976,True,False
Hcfc2,,0.0137345263888883,,False,False
Hmcn1,,-0.3112031402111838,,False,False
Hmcn2,-0.2816048782762129,,,False,False
Hpx,0.5732306534316425,0.8722796742999522,0.29904902086830976,True,False
Hrg,,0.63117370355842,,False,False
Hspg2,0.7611319287203755,0.0397690441484814,-0.7213628845718941,False,True
Htra1,3.0684256799509892,0.5526257254243226,-2.5157999545266665,False,True
Htra4,,-0.1543554583220422,,False,False
Hyal2,,0.1360706979075703,,False,False
IBSP,,-0.1175834778104222,,False,False
IGF2,,-0.17797815070208,,False,False
IGFALS,,0.834021290967578,,False,False
IGFBP2,,-0.1034128601165764,,False,False
IGFBP3,,-0.0388102316208954,,False,False
IGFBP5,,-0.2613916495369463,,False,False
IGFBP6,,0.0407800163164417,,False,False
IGFBP7,,-0.577357160433488,,False,False
IL11,,-0.1175834778104222,,False,False
IL17B,,-1.1844211872810368,,False,False
INHBA,,-0.1586397986519273,,False,False
ISM2,,-0.1175834778104222,,False,False
ITIH1,0.6209557709029162,1.4105786311929374,0.7896228602900212,True,False
ITIH2,,1.4340115104491171,,False,False
ITIH3,,2.984236072268215,,False,False
ITIH4,0.2588451087471763,1.1064049144546229,0.8475598057074465,True,False
ITIH5,,-0.515550581608721,,False,False
ITIH6,,-0.1139129189871219,,False,False
Igf2,-0.3477281872503166,,,False,False
Igfbp2,,0.0165355003227706,,False,False
Igfbp5,0.7824635998510061,0.0165355003227706,-0.7659280995282355,False,True
Igfbp6,-1.264339177958111,0.1941536430174069,1.458492820975518,True,False
Igfbp7,-0.6207761310870022,-0.5147812726289736,0.1059948584580287,True,False
Il16,-1.2578778296435362,-0.043035262152531,1.2148425674910053,True,False
Inhbe,,0.3555127858607763,,False,False
Itih1,0.9250562609149438,-0.0643114162604901,-0.9893676771754338,False,True
Itih2,2.7731000781012596,0.1334288390453481,-2.6396712390559114,False,True
Itih3,1.001092358853862,0.0165355003227706,-0.9845568585310914,False,True
Itih4,0.3661289694471637,0.4487057517686677,0.082576782321504,True,False
Itih5,-0.36187237027909164,-0.0564749989812183,0.30539737129787337,True,False
KAL1,,-0.949727520152278,,False,False
KERA,,-0.0522820351984088,,False,False
KNG1,-0.2739201011754243,3.815680717770139,4.089600818945563,True,False
Kera,-2.533315699934751,,,False,False
Kng1,0.8164567011171926,0.4748842961017473,-0.3415724050154453,False,True
Kng2,,0.3966572914742678,,False,False
LAMA2,,0.0689467464764455,,False,False
LAMA4,0.0814614005211961,0.1052596979471591,0.023798297425962997,True,False
LAMA5,0.770421896971663,-0.3808769653460855,-1.1512988623177485,False,True
LAMB1,-3.2364117521197007,0.2025780906064369,3.4389898427261376,True,False
LAMB2,0.0176046779437427,-0.0982475053770123,-0.115852183320755,False,True
LAMC1,-0.8474638383466704,0.3558928312140546,1.203356669560725,True,False
LEFTY2,,-0.1650484039880727,,False,False
LEP,,-0.1175834778104222,,False,False
LGALS1,0.5991746810148164,-0.129691760995228,-0.7288664420100444,False,True
LGALS3,1.1616075977186584,-0.190554425179323,-1.3521620228979814,False,True
LMAN1,-0.228131793222503,3.3661312232426197,3.594263016465123,True,False
LOX,,-0.5784121238554194,,False,False
LOXL2,,-0.4984213070999813,,False,False
LOXL3,,-0.3092140139792624,,False,False
LOXL4,,-0.2188242720647789,,False,False
LPA,,2.8821606631915206,,False,False
LRG1,,3.185664421906503,,False,False
LTBP1,,2.4566960244392413,,False,False
LTBP2,,-0.1279903350252718,,False,False
LTBP3,,-0.4075873700604717,,False,False
LTBP4,,-0.7073702973084858,,False,False
LUM,-0.2955786583993802,-0.1899158946871001,0.10566276371228009,True,False
Lama1,0.6166890504747726,-0.1425548810677901,-0.7592439315425628,False,True
Lama2,0.252308728279516,-0.6132419533086977,-0.8655506815882137,False,True
Lama3,0.3058247546455104,0.04896068290016675,-0.25686407174534365,False,True
Lama4,-0.2043512536276958,-0.4057216078223568,-0.20137035419466098,False,True
Lama5,1.0944750921957427,0.2092842060960935,-0.8851908860996491,False,True
Lamb1,-0.9065058636680217,-0.567896901248817,0.3386089624192047,True,False
Lamb2,0.760388669250304,0.1627032688675387,-0.5976854003827653,False,True
Lamb3,,-0.1051477507294406,,False,False
Lamc1,0.94936893076647,0.1478479565737385,-0.8015209741927315,False,True
Lamc2,,-0.1445561645984119,,False,False
Lgals1,0.4055688924718823,0.0291604582500257,-0.3764084342218566,False,True
Lgals12,-0.918563864460271,,,False,False
Lgals3,,0.2305836787921365,,False,False
Lgals8,,0.0231127138452785,,False,False
Lgals9,,-0.0952743861965929,,False,False
Lgalsl,-0.1616959748309083,0.1801126523978208,0.34180862722872907,True,False
Lgi1,-0.7393131216532225,,,False,False
Lgi2,-1.4336663936155425,,,False,False
Lgi3,0.743545046308796,,,False,False
Lman1,-0.7078100450504912,-0.1689474077386137,0.5388626373118774,True,False
Lox,,-0.7757171877897789,,False,False
Loxl1,,-0.182524312732526,,False,False
Loxl2,,-0.3280007537245639,,False,False
Loxl3,,-0.0557493793871829,,False,False
Lrg1,,0.0165355003227706,,False,False
Ltbp1,,0.0565104187141172,,False,False
Ltbp2,,-0.8674063333795893,,False,False
Ltbp4,-1.2263552454837352,-0.4720204688019183,0.7543347766818169,True,False
Lum,0.6871551220937409,0.1247831295912566,-0.5623719925024843,False,True
MASP1,,0.4451482891485664,,False,False
MASP2,,3.1695743068673905,,False,False
MATN1,,-0.1175834778104222,,False,False
MATN2,,-0.6559003770046987,,False,False
MATN3,,-1.091794605629822,,False,False
MATN4,,-0.2119352815990051,,False,False
MBL2,,0.0313805301887014,,False,False
MDK,,-0.3408232563582025,,False,False
MFAP2,,-4.27978626107216,,False,False
MFAP4,,3.1735832929769834,,False,False
MFGE8,,-0.0006213489525403,,False,False
MGP,,-0.5698058433080809,,False,False
MMP14,,-0.161862196322302,,False,False
MMP2,,0.3893153415497906,,False,False
MMP3,,0.1633699387672643,,False,False
MMRN2,,-0.3512618417962692,,False,False
MST1,,-0.0281550019086853,,False,False
MXRA5,,-0.45985168575303,,False,False
Masp2,,0.0165355003227706,,False,False
Matn2,-0.5308388867185329,,,False,False
Matn4,-2.05215545858606,-0.5227987518863367,1.5293567066997236,True,False
Mbl1,,-0.112552545515475,,False,False
Mbl2,-2.1848179776085517,,,False,False
Megf10,0.1428135289195339,,,False,False
Megf8,-0.2100036037406641,,,False,False
Megf9,-1.1691516628551943,,,False,False
Mfap1b,,0.1564785775296602,,False,False
Mfap4,,0.1862852198329169,,False,False
Mfap5,,-1.2530560015896337,,False,False
Mfge8,0.9899570363376757,1.0099457599641113,0.019988723626435556,True,False
Mgp,,0.544025281464752,,False,False
Mmp17,-0.8528524237844809,,,False,False
Mmp19,,0.0560285012269626,,False,False
Mmp2,,-0.1237422672072595,,False,False
Mmp8,,0.0643098005887745,,False,False
Mmp9,,0.3519884784689476,,False,False
Mmrn1,,0.2544975767173579,,False,False
Mmrn2,-0.5532960547006649,-0.0247918961776869,0.5285041585229779,True,False
Mstn,-0.1177488247574345,,,False,False
Muc1,,0.2430618667825977,,False,False
NELL1,,0.0214575283778975,,False,False
NID1,1.0952235343755443,-0.1506998107921242,-1.2459233451676686,False,True
NID2,-2.770738080367955,-0.4704132180560577,2.3003248623118973,True,False
NPNT,,-3.7028236517028135,,False,False
NTN1,,-0.2689865929692758,,False,False
Ncan,0.3701950715562629,,,False,False
Ndnf,,-0.2984423858003583,,False,False
Nell2,-0.5852930897986456,,,False,False
Ngly1,0.282231136140636,-0.0964650058707405,-0.37869614201137647,False,True
Nid1,-0.2882257125604606,0.1708140224772625,0.4590397350377231,True,False
Nid2,0.2538717455303385,-0.3494483680390455,-0.603320113569384,False,True
Npnt,,-0.1059597862675734,,False,False
Nrg3,-0.3634372886076626,,,False,False
Ntn1,,0.0202925363682664,,False,False
Ntn4,,-0.1662397081570842,,False,False
Ntng1,-0.1868750115363279,,,False,False
OGN,0.1212349369407589,-0.2119035533757864,-0.3331384903165453,False,True
OMD,,0.2802487810392065,,False,False
Ogfod1,-0.6152470524954038,,,False,False
Ogn,-0.5843531201734579,0.0404109911617287,0.6247641113351866,True,False
P3H1,,-0.4975666280870998,,False,False
P4HA1,,-0.4028578817873377,,False,False
P4HA2,,-0.4022292663648709,,False,False
P4ha1,-0.2173110638047072,-0.1571893526155811,0.0601217111891261,True,False
P4htm,-0.2937521517863103,,,False,False
PAMR1,,-0.3423303469609635,,False,False
PAPPA,,-0.1905901194304397,,False,False
PCOLCE,,-0.3444204436653202,,False,False
PCOLCE2,,-0.1876512927550581,,False,False
PCSK5,,-0.1175834778104222,,False,False
PDGFC,,-0.0889923826649013,,False,False
PDGFD,,-0.2336135901113362,,False,False
PLG,-0.3547709704489309,2.118193363439892,2.472964333888823,True,False
PLOD1,,-0.0165727131743833,,False,False
PLOD2,,-0.2204043375809359,,False,False
PLOD3,,-1.399582003964081,,False,False
PLXDC2,,-0.045580241249612,,False,False
PLXNB2,0.3647275628135114,,,False,False
PODNL1,,-0.1175834778104222,,False,False
POSTN,-0.1756161186283106,0.282961544124175,0.4585776627524856,True,False
PPBP,,-0.1479989457908612,,False,False
PRELP,0.1765554965308263,-0.0842133190429915,-0.2607688155738178,False,True
PRG4,,0.5344592714737064,,False,False
PRSS2,,-0.366414051395858,,False,False
PTN,,-0.2801953810259083,,False,False
PXDN,,-0.0615910958899844,,False,False
Papln,,0.25400925804916,,False,False
Pappa,-0.4865775632743526,,,False,False
Parm1,-1.744906984116633,,,False,False
Pcolce,-4.056164301070654,-0.1937487836928379,3.8624155173778156,True,False
Pcolce2,,0.4100860548497356,,False,False
Pdgfd,,0.0165355003227706,,False,False
Pf4,,0.3776704740439093,,False,False
Pik3ip1,0.0779657503574146,,,False,False
Plat,,0.5741460388663787,,False,False
Plau,,-0.0893816418185518,,False,False
Plg,0.2904579257230326,0.3024858593211115,0.01202793359807891,True,False
Plod1,,-0.1688555050679134,,False,False
Plod3,,0.0330670075956167,,False,False
Plxdc1,-0.918153220231043,,,False,False
Plxdc2,-1.1707351530374634,0.3118050644664561,1.4825402175039195,True,False
Plxna1,-0.8165392044032863,-0.0014252992317091,0.8151139051715772,True,False
Plxna2,-0.902769629775081,,,False,False
Plxna4,-0.5937866567116997,,,False,False
