early_protein,late_protein,lag,f_stat,p_value,df_denom,df_num
Cyr61,SERPIND1,3,0.8403756393451061,0.5135575211134746,7.0,3.0
Cyr61,WISP2,1,0.2606907776223124,0.6182051977407464,13.0,1.0
Cyr61,WISP2,2,0.05949483323363875,0.9425713564539225,10.0,2.0
Cyr61,WISP2,3,0.4544944058320337,0.7223781317843281,7.0,3.0
Cyr61,CTSG,1,0.3660485253482722,0.5555805169048523,13.0,1.0
Cyr61,CTSG,2,0.046371210204766616,0.9548915534000895,10.0,2.0
Cyr61,CTSG,3,0.08728975474705482,0.9647726913188381,7.0,3.0
Postn,FBN3,1,0.11079936792815348,0.7445427900414583,13.0,1.0
Postn,FBN3,2,0.05724883917593683,0.9446662611686116,10.0,2.0
Postn,FBN3,3,0.0945041125184292,0.9606652940216179,7.0,3.0
Postn,NPNT,1,0.07704522821129604,0.7857073814522897,13.0,1.0
Postn,NPNT,2,0.12964869807468732,0.8798566148278769,10.0,2.0
Postn,NPNT,3,0.18158260771155632,0.9055811988386325,7.0,3.0
Postn,DSP,1,0.24590861185799828,0.6282485394988502,13.0,1.0
Postn,DSP,2,0.10342892962001528,0.902692150231433,10.0,2.0
Postn,DSP,3,0.9521102223125968,0.46592862770488885,7.0,3.0
Postn,ADAM15,1,0.20999782117994634,0.6543354577000327,13.0,1.0
Postn,ADAM15,2,0.101495295899205,0.9044041969614406,10.0,2.0
Postn,ADAM15,3,0.2165591667470398,0.881901918324309,7.0,3.0
Postn,SDC2,1,0.059246848268959575,0.811489055346456,13.0,1.0
Postn,SDC2,2,0.14168223034277572,0.8696086655172807,10.0,2.0
Postn,SDC2,3,0.07363782912610142,0.9722423233665606,7.0,3.0
Postn,COL28A1,1,0.002872845430753859,0.9580696318571583,13.0,1.0
Postn,COL28A1,2,0.13563674891493796,0.8747390856020247,10.0,2.0
Postn,COL28A1,3,0.4594128341445535,0.7192698072827142,7.0,3.0
Postn,PLXNB2,1,0.05712826909637731,0.8148205412303835,13.0,1.0
Postn,PLXNB2,2,0.19625416498571274,0.8248939029225797,10.0,2.0
Postn,PLXNB2,3,0.21311641506774678,0.884250603460098,7.0,3.0
Postn,SERPIND1,1,0.08904572809918945,0.7701100284773601,13.0,1.0
Postn,SERPIND1,2,0.18975713033469882,0.8300702528705036,10.0,2.0
Postn,SERPIND1,3,0.36987903902349367,0.7774123751055952,7.0,3.0
Postn,WISP2,1,0.1451400761616749,0.7093768031475727,13.0,1.0
Postn,WISP2,2,0.16039280713005927,0.8539574183326183,10.0,2.0
Postn,WISP2,3,0.17731384591653135,0.9084355146031972,7.0,3.0
Postn,CTSG,1,0.14428906239038647,0.7101870041109319,13.0,1.0
Postn,CTSG,2,0.17305039861601557,0.8435609629227327,10.0,2.0
Postn,CTSG,3,0.2530352885445672,0.8568939250845299,7.0,3.0
Col5a2,FBN3,1,0.0004714503287138238,0.9830067030349253,13.0,1.0
Col5a2,FBN3,2,0.004268153438298357,0.9957427551080913,10.0,2.0
Col5a2,FBN3,3,0.04557925773648047,0.9860025400017169,7.0,3.0
Col5a2,NPNT,1,0.008750666347784701,0.9268969604327695,13.0,1.0
Col5a2,NPNT,2,0.01151019589365056,0.9885688698511171,10.0,2.0
Col5a2,NPNT,3,0.23969075731059838,0.8660610441362029,7.0,3.0
Col5a2,DSP,1,0.03743345107012209,0.8495754437998108,13.0,1.0
Col5a2,DSP,2,0.01737029348502283,0.9828092854007343,10.0,2.0
Col5a2,DSP,3,1.8650853110148187,0.22370299413135483,7.0,3.0
Col5a2,ADAM15,1,0.004834912518627588,0.9456231527455659,13.0,1.0
Col5a2,ADAM15,2,0.01235973215666947,0.9877313995621692,10.0,2.0
Col5a2,ADAM15,3,0.19962460044406904,0.8934223531882408,7.0,3.0
Col5a2,SDC2,1,0.02730817550746467,0.8712878371353884,13.0,1.0
Col5a2,SDC2,2,0.02596067806868007,0.974438847430631,10.0,2.0
Col5a2,SDC2,3,0.009771839209626354,0.9985460268590209,7.0,3.0
Col5a2,COL28A1,1,0.009013991405667929,0.9258087051956819,13.0,1.0
Col5a2,COL28A1,2,0.37162217895729643,0.6987514628028016,10.0,2.0
Col5a2,COL28A1,3,0.19313640928997683,0.8978108485819124,7.0,3.0
Col5a2,PLXNB2,1,0.030758273919011647,0.8634829907022512,13.0,1.0
Col5a2,PLXNB2,2,0.09001863553162545,0.9146462535221357,10.0,2.0
Col5a2,PLXNB2,3,0.09300862491472522,0.961525022030365,7.0,3.0
Col5a2,SERPIND1,1,0.043534796380100785,0.8379552008478086,13.0,1.0
Col5a2,SERPIND1,2,0.044908627015842265,0.9562765322573993,10.0,2.0
Col5a2,SERPIND1,3,0.29206050625932456,0.8300937753000497,7.0,3.0
Col5a2,WISP2,1,0.089310195582352,0.7697796384535469,13.0,1.0
Col5a2,WISP2,2,0.0028285726007049954,0.9971762215635777,10.0,2.0
Col5a2,WISP2,3,0.024125546008685998,0.9944618198833617,7.0,3.0
Col5a2,CTSG,1,0.1467244857223579,0.7078756544695726,13.0,1.0
Col5a2,CTSG,2,0.01213358670847489,0.9879542498852003,10.0,2.0
Col5a2,CTSG,3,0.0952525167269919,0.9602334813300062,7.0,3.0
Fbn2,FBN3,1,0.2545059509826739,0.6223622102512745,13.0,1.0
Fbn2,FBN3,2,0.24656334051002388,0.786095698551087,10.0,2.0
Fbn2,FBN3,3,0.4801776582887874,0.7062660865297061,7.0,3.0
Fbn2,NPNT,1,0.23071238155761928,0.6389778558191508,13.0,1.0
Fbn2,NPNT,2,0.8953857765918751,0.43882248771678667,10.0,2.0
Fbn2,NPNT,3,2.2902186150656085,0.16526300304756844,7.0,3.0
Fbn2,DSP,1,0.48716846734982455,0.4974883713126379,13.0,1.0
Fbn2,DSP,2,0.23033908541826836,0.7983637237952766,10.0,2.0
Fbn2,DSP,3,2.0106789032244126,0.2011382251786446,7.0,3.0
Fbn2,ADAM15,1,0.3923551988614759,0.5419071426275612,13.0,1.0
Fbn2,ADAM15,2,0.21680723095237786,0.8087719412078874,10.0,2.0
Fbn2,ADAM15,3,0.26745739692490866,0.8469808830467211,7.0,3.0
Fbn2,SDC2,1,0.16521406813667863,0.6910127796752774,13.0,1.0
