Protein,Degree,Betweenness,Eigenvector,Closeness,PageRank,Katz,Subgraph
CTSS,0.1276127612761276,6.053835926911343e-05,0.022498878375604058,0.7216092612125095,0.001180496282062824,0.02559891572794567,1.1371388189082859e+60
CXCL15,0.1276127612761276,4.0232679154474206e-05,0.018095511139393346,0.7925601777566331,0.0012808169915111852,0.023893474050045348,7.242378884632636e+59
ECM2,0.23982398239823982,0.008735606490164432,0.07662690496124494,0.8655794010855035,0.001854691847071144,0.06259007440320098,1.0285449415923765e+61
EGFL7,0.1276127612761276,4.0232679154474206e-05,0.018095511139393346,0.7925601777566331,0.0012808169915111852,0.023893474050045348,7.242378884632637e+59
EGFLAM,0.1144114411441144,0.003983961171447547,0.010602789361751835,0.8246574456730639,0.0010535136815917174,0.017846526762846933,3.0202767602756856e+59
EMID1,0.1276127612761276,4.0232679154474206e-05,0.018095511139393346,0.7925601777566331,0.0012808169915111852,0.023893474050045348,7.242378884632637e+59
F13B,0.132013201320132,0.001112225760020936,0.013152084948053146,0.7876089995112014,0.0011272666230474411,0.018632364717116594,6.092797151599479e+59
FAM132A,0.1276127612761276,4.0232679154474206e-05,0.018095511139393346,0.7925601777566331,0.0012808169915111852,0.023893474050045348,7.242378884632637e+59
FGF1,0.1144114411441144,0.003983961171447547,0.010602789361751835,0.8246574456730639,0.0010535136815917174,0.017846526762846933,3.0202767602756856e+59
FGF2,0.1188118811881188,0.0014248120847327023,0.010403246438600324,0.7903778699785086,0.0010141297267953389,0.016182845542185652,4.126655989527341e+59
FREM1,0.121012101210121,0.00554416675147691,0.009619866264742663,0.7584552276821583,0.001072097621129939,0.015363691978709975,3.6226063133904293e+59
FSTL1,0.25742574257425743,0.005680744285882331,0.07828697397359698,0.876493463540396,0.0019324497517902476,0.06421918764141955,1.1690130026159252e+61
GPC4,0.1144114411441144,0.0017963617213410032,0.009697555880105077,0.7718933560603244,0.00098623064481996,0.015523369858579559,3.7082446245894128e+59
HCFC2,0.1276127612761276,4.0232679154474206e-05,0.018095511139393346,0.7925601777566331,0.0012808169915111852,0.023893474050045348,7.242378884632637e+59
HTRA4,0.11991199119911991,5.0280358432319e-05,0.016761972526069327,0.7914809597533023,0.0011156500518030553,0.02133229247552026,7.162769302632552e+59
HYAL2,0.1276127612761276,4.0232679154474206e-05,0.018095511139393346,0.7925601777566331,0.0012808169915111852,0.023893474050045348,7.242378884632637e+59
IGFBP2,0.2431243124312431,0.0001805246603955549,0.08233546114937162,0.8565815575895132,0.0019066812020029085,0.06691540232888625,1.1348195720018934e+61
IGFBP5,0.23102310231023102,0.0008529487309964477,0.07993259367877992,0.8520735951200922,0.001831558792863319,0.06480802845095641,1.034572732997787e+61
IGFBP6,0.11221122112211221,0.0010468007153138221,0.013733094180492948,0.710138629600265,0.0009470968450579209,0.018155764776262944,6.313970177672889e+59
IL16,0.1276127612761276,4.0232679154474206e-05,0.018095511139393346,0.7925601777566331,0.0012808169915111852,0.023893474050045348,7.24237888463263e+59
INHBE,0.0836083608360836,3.392409725554053e-05,0.006866513671998167,0.6850826285535414,0.0008655926566717621,0.01271943204307661,1.4700179007296877e+59
KNG2,0.1276127612761276,3.909237336437202e-05,0.018095511139393346,0.7925601777566331,0.0012808169915111852,0.023893474050045348,7.24237888463263e+59
LAMB3,0.11001100110011,9.732985045934846e-05,0.011155593226256508,0.7565249186024091,0.0010571141363662623,0.017025018133105675,3.400453830047215e+59
LAMC2,0.11001100110011,9.732985045934846e-05,0.011155593226256508,0.7565249186024091,0.0010571141363662623,0.017025018133105675,3.400453830047215e+59
LGALS9,0.0968096809680968,0.00013226359346654195,0.007457316666482687,0.7708349950367208,0.0009877820453091408,0.013903683525358939,1.6753441592509443e+59
LGALSL,0.1276127612761276,3.909237336437202e-05,0.018095511139393346,0.7925601777566331,0.0012808169915111852,0.023893474050045348,7.24237888463263e+59
LOX,0.2156215621562156,0.029486573957146392,0.060768282135227294,0.9535473650066095,0.0016186653985699009,0.05148071076428268,7.449665014245849e+60
LOXL1,0.1562156215621562,0.0028906277102097016,0.013340092901472101,0.863835549869626,0.0012849851124090129,0.020387561825457094,6.109230592260532e+59
LTBP2,0.198019801980198,0.007510552817396277,0.04916614987982652,0.823437724564672,0.0014496467555602922,0.04283818110770792,6.146133533843236e+60
MBL1,0.1034103410341034,0.00028278158212297,0.009068423847594832,0.7269237196787738,0.0010521173493183778,0.015574777196098469,2.1549476006092977e+59
