Protein,Consensus,Consensus_Rank,Degree,Betweenness,Eigenvector,Closeness,PageRank,Katz,Subgraph
EDIL3,1.8425032688806895,33,0.22002200220022,2.053568285361523e-05,0.0940636797518904,0.833167220726241,0.0018690543743511,0.072712119338623,1.295156884125162e+61
F7,1.8425032688806895,34,0.22002200220022,2.053568285361523e-05,0.0940636797518904,0.833167220726241,0.0018690543743511,0.072712119338623,1.295156884125162e+61
FCN3,1.8425032688806895,35,0.22002200220022,2.053568285361523e-05,0.0940636797518904,0.833167220726241,0.0018690543743511,0.072712119338623,1.295156884125162e+61
FRZB,1.8425032688806895,36,0.22002200220022,2.053568285361523e-05,0.0940636797518904,0.833167220726241,0.0018690543743511,0.072712119338623,1.295156884125162e+61
EPYC,1.8425032688806895,37,0.22002200220022,2.053568285361523e-05,0.0940636797518904,0.833167220726241,0.0018690543743511,0.072712119338623,1.295156884125162e+61
CHADL,1.842497113863962,38,0.22002200220022,2.0359453776963074e-05,0.0940636797518904,0.833167220726241,0.0018690543743511,0.072712119338623,1.295156884125162e+61
CHRDL2,1.842497113863962,39,0.22002200220022,2.0359453776963074e-05,0.0940636797518904,0.833167220726241,0.0018690543743511,0.072712119338623,1.295156884125162e+61
SMOC2,1.84249506219172,40,0.22002200220022,2.0300710751412337e-05,0.0940636797518904,0.833167220726241,0.0018690543743511,0.072712119338623,1.2951568841251622e+61
SULF2,1.84249506219172,41,0.22002200220022,2.0300710751412337e-05,0.0940636797518904,0.833167220726241,0.0018690543743511,0.072712119338623,1.2951568841251622e+61
TNFAIP6,1.84249506219172,42,0.22002200220022,2.0300710751412337e-05,0.0940636797518904,0.833167220726241,0.0018690543743511,0.072712119338623,1.2951568841251622e+61
BCAN,1.8424906037501159,43,0.22002200220022,2.017305763819637e-05,0.0940636797518904,0.833167220726241,0.0018690543743511,0.072712119338623,1.295156884125162e+61
ANGPTL7,1.8424845586444014,44,0.22002200220022,1.9999975509341572e-05,0.0940636797518904,0.833167220726241,0.0018690543743511,0.072712119338623,1.295156884125162e+61
ANXA2;ANXA2P2,1.8424845586444014,45,0.22002200220022,1.9999975509341572e-05,0.0940636797518904,0.833167220726241,0.0018690543743511,0.072712119338623,1.295156884125162e+61
PTN,1.8423822202183844,46,0.22002200220022,1.7069844346122762e-05,0.0940636797518904,0.833167220726241,0.0018690543743511,0.072712119338623,1.2951568841251622e+61
MATN3,1.8423822202183842,47,0.22002200220022,1.7069844346122762e-05,0.0940636797518904,0.833167220726241,0.0018690543743511,0.072712119338623,1.295156884125162e+61
NTN1,1.830482391605452,48,0.2365236523652365,0.0033283981848992,0.0813042790643538,0.8571243768729058,0.0018640009441285,0.0657831564428328,1.0844623261702312e+61
SRPX2,1.8086735703887276,49,0.2431243124312431,0.0051419238840183,0.071755784956509,0.8764375011714299,0.0018389709367133,0.0595963003504551,1.0224447009489848e+61
PCOLCE2,1.791701596098124,50,0.2431243124312431,0.0002689696282403,0.0823354611493716,0.8565815575895132,0.0019066812020029,0.0669154023288862,1.1348195720018933e+61
CLEC3B,1.7887868936310973,51,0.176017601760176,0.0196282081081493,0.0576075985716691,0.9490817841711658,0.0014007470382147,0.0477937428342301,6.824996603759195e+60
IGFBP2,1.7886125470780552,52,0.2431243124312431,0.0001805246603955,0.0823354611493716,0.8565815575895132,0.0019066812020029,0.0669154023288862,1.1348195720018933e+61
CHAD,1.7884432841180526,53,0.2431243124312431,0.0001756783607876,0.0823354611493716,0.8565815575895132,0.0019066812020029,0.0669154023288862,1.1348195720018933e+61
HAPLN1,1.7456963185636183,54,0.2024202420242024,0.0082474161069018,0.0693795237532992,0.9417602421558032,0.0016121855673253,0.0561237992738197,8.893095864085876e+60
COL11A2,1.7415589655831838,55,0.2035203520352035,0.0065219737114776,0.0717925248345351,0.943654676411438,0.0016248775913521,0.0576953362287552,9.355165956391144e+60
BMP3,1.714185707135307,56,0.2354235423542354,0.0007475417145238,0.0806117227926215,0.8553399666605048,0.0018574798482207,0.0653101804978033,1.0602966076442407e+61
SEMA3A,1.7133817080752898,57,0.2354235423542354,0.0007245217913861,0.0806117227926215,0.8553399666605048,0.0018574798482207,0.0653101804978034,1.0602966076442407e+61
IGFBP5,1.6720370077919575,58,0.231023102310231,0.0008529487309964,0.0799325936787799,0.8520735951200922,0.0018315587928633,0.0648080284509564,1.034572732997787e+61
ABI3BP,1.6276996373297423,59,0.1837183718371837,0.0115499435406095,0.0627137428212485,0.9444219205647348,0.0015054765916583,0.0515547017270669,7.084367554758041e+60
FSTL3,1.6275763210446992,60,0.2255225522552255,0.0018543153874858,0.0726766191211148,0.8666254811068702,0.0018412689437916,0.0586408787663018,1.0220041079249901e+61
LTBP3,1.6018374699958307,61,0.2123212321232123,0.0016283566682659,0.080946771246405,0.8353896877349222,0.0017832438336928,0.0636985502456019,1.044391128323765e+61
COL9A2,1.578782757020287,62,0.2167216721672167,0.0012341909668206,0.0769679057982715,0.8469649047545956,0.0017559960885458,0.0613171588469661,1.0682767712915173e+61
LOXL3,1.574659519394936,63,0.209020902090209,0.0006215379247175,0.0810421933196259,0.8498433085549042,0.0017066836837135,0.0639334621109313,1.0868844048623683e+61
