Protein,Metric,Rank,Total_Proteins,Percentile,Score,Is_Central
SERPINE1,Katz,660,910,72.52747252747253,0.012785184013273582,False
SERPINE2,Katz,249,910,27.362637362637365,0.03760359449644439,False
SERPINF1,Katz,279,910,30.65934065934066,0.03409076148166933,False
SERPINF2,Katz,226,910,24.835164835164836,0.03891388514120891,False
SERPING1,Katz,223,910,24.505494505494504,0.038992686479792545,False
SERPINH1,Katz,812,910,89.23076923076924,0.008870030205399863,False
SERPINA1,Subgraph,180,910,19.78021978021978,2.8353335366001538e+60,True
SERPINA3,Subgraph,174,910,19.12087912087912,3.430450437392852e+60,True
SERPINA5,Subgraph,317,910,34.83516483516483,5.974045157272345e+59,False
SERPINB1,Subgraph,660,910,72.52747252747253,4.9498186426916805e+58,False
SERPINB6,Subgraph,684,910,75.16483516483517,3.3327431044736774e+58,False
SERPINB8,Subgraph,509,910,55.934065934065934,1.4966827765074518e+59,False
SERPINC1,Subgraph,175,910,19.230769230769234,3.388553525600594e+60,True
SERPINE1,Subgraph,495,910,54.395604395604394,1.8413967859318968e+59,False
SERPINE2,Subgraph,159,910,17.47252747252747,4.105838804224551e+60,True
SERPINF1,Subgraph,161,910,17.692307692307693,4.0492408920981836e+60,True
SERPINF2,Subgraph,135,910,14.835164835164836,4.725670248876001e+60,True
SERPING1,Subgraph,125,910,13.736263736263737,5.026961451116651e+60,True
SERPINH1,Subgraph,759,910,83.40659340659342,2.0160138418734208e+58,False
