Protein_A,Protein_B,Correlation,P_value,Abs_Correlation
Hapln4,Megf10,0.9999999999999999,8.034580660781922e-119,0.9999999999999999
Hapln4,Megf8,-0.9999999999999999,8.034580660781922e-119,0.9999999999999999
Hapln4,Megf9,-0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,Mmp17,-0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,Ncan,0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,Nell2,-0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,Nid2,0.6064784348631227,0.009849073731987242,0.6064784348631227
Hapln4,Nrg3,-0.9999999999999999,8.034580660781922e-119,0.9999999999999999
Hapln4,Ntng1,-0.9999999999999999,8.034580660781922e-119,0.9999999999999999
Hapln4,Ovos,-0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,P4ha1,-0.7302631578947368,0.0008726297802416142,0.7302631578947368
Hapln4,P4htm,-0.9999999999999999,8.034580660781922e-119,0.9999999999999999
Hapln4,Pag1,-0.9999999999999999,8.034580660781922e-119,0.9999999999999999
Hapln4,Parm1,-0.6377603634987047,0.005880667598464436,0.6377603634987047
Hapln4,Plxdc1,-0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,Plxna1,-0.7763157894736842,0.00024813773147439494,0.7763157894736842
Hapln4,Plxna2,-0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,Plxna4,-0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,Plxnb1,-0.8355263157894736,2.972633610240264e-05,0.8355263157894736
Hapln4,Plxnb2,-0.5938300481671458,0.01195987056982448,0.5938300481671458
Hapln4,Plxnc1,-0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,Plxnd1,-0.6526251024411206,0.004513318261601135,0.6526251024411206
Hapln4,Prelp,0.6064784348631227,0.009849073731987242,0.6064784348631227
Hapln4,Ptn,-0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,S100a1,0.8421052631578946,2.2332566489265974e-05,0.8421052631578946
