Protein_ID,Protein_Name,Gene_Symbol,Tissue,Species,Age,Age_Unit,Abundance,Abundance_Unit,Method,Study_ID,Sample_ID
Q8BW75,AOFB_MOUSE,Maob,Ovary,Mus musculus,Young,categorical,1439555.375,LFQ,DIA,Dipali_2023,Young_pooled
A0A075B5P6,A0A075B5P6_MOUSE;A0A075B6A0_MOUSE;IGHM_MOUSE;IGHM_MOUSE,Ighm,Ovary,Mus musculus,Old,categorical,869518.5625,LFQ,DIA,Dipali_2023,Old_pooled
A0A075B5P6,A0A075B5P6_MOUSE;A0A075B6A0_MOUSE;IGHM_MOUSE;IGHM_MOUSE,Ighm,Ovary,Mus musculus,Young,categorical,306925.25,LFQ,DIA,Dipali_2023,Young_pooled
A0A140T8I9,A0A140T8I9_MOUSE;PI4KA_MOUSE,Pi4ka,Ovary,Mus musculus,Old,categorical,621889.875,LFQ,DIA,Dipali_2023,Old_pooled
A0A140T8I9,A0A140T8I9_MOUSE;PI4KA_MOUSE,Pi4ka,Ovary,Mus musculus,Young,categorical,416412.46875,LFQ,DIA,Dipali_2023,Young_pooled
E9Q390,E9Q390_MOUSE;MYOF_MOUSE,Myof,Ovary,Mus musculus,Old,categorical,1003915.875,LFQ,DIA,Dipali_2023,Old_pooled
E9Q390,E9Q390_MOUSE;MYOF_MOUSE,Myof,Ovary,Mus musculus,Young,categorical,827857.0,LFQ,DIA,Dipali_2023,Young_pooled
Q8VDF2,UHRF1_MOUSE,Uhrf1,Ovary,Mus musculus,Old,categorical,197109.171875,LFQ,DIA,Dipali_2023,Old_pooled
Q8VDF2,UHRF1_MOUSE,Uhrf1,Ovary,Mus musculus,Young,categorical,527991.75,LFQ,DIA,Dipali_2023,Young_pooled
Q9JKF1,IQGA1_MOUSE,Iqgap1,Ovary,Mus musculus,Old,categorical,2865869.5,LFQ,DIA,Dipali_2023,Old_pooled
Q9JKF1,IQGA1_MOUSE,Iqgap1,Ovary,Mus musculus,Young,categorical,2204965.5,LFQ,DIA,Dipali_2023,Young_pooled
Q52KC3,Q52KC3_MOUSE,Mcm5,Ovary,Mus musculus,Old,categorical,309403.25,LFQ,DIA,Dipali_2023,Old_pooled
Q52KC3,Q52KC3_MOUSE,Mcm5,Ovary,Mus musculus,Young,categorical,623811.375,LFQ,DIA,Dipali_2023,Young_pooled
Q91WT7,Q91WT7_MOUSE,Akr1c14,Ovary,Mus musculus,Old,categorical,1773846.75,LFQ,DIA,Dipali_2023,Old_pooled
Q91WT7,Q91WT7_MOUSE,Akr1c14,Ovary,Mus musculus,Young,categorical,2860503.25,LFQ,DIA,Dipali_2023,Young_pooled
P16125,LDHB_MOUSE,Ldhb,Ovary,Mus musculus,Old,categorical,9462072.0,LFQ,DIA,Dipali_2023,Old_pooled
P16125,LDHB_MOUSE,Ldhb,Ovary,Mus musculus,Young,categorical,16080511.0,LFQ,DIA,Dipali_2023,Young_pooled
P54869,HMCS2_MOUSE,Hmgcs2,Ovary,Mus musculus,Old,categorical,8194887.0,LFQ,DIA,Dipali_2023,Old_pooled
