source_gene,target_gene,spearman_rho,p_value
S100A3,SERPINE1,-0.06856622662527316,0.793722895187913
S100A3,TNFAIP6,0.11508457687194673,0.660060755968438
S100A4,CRP,0.37715682117597027,0.13560211501533168
S100A4,CXCL10,0.2693977294114074,0.29572695245711955
S100A4,CXCL12,0.3244535519125683,0.2038807168551226
S100A4,MMP3,-0.20231318994546202,0.4361412017496935
S100A4,MMP9,0.1172004784973871,0.6541735441845429
S100A4,SERPINA1,-0.33343930857313037,0.19090788190790203
S100A4,SERPINE1,0.05910907445490103,0.8217104793370574
S100A4,TNFAIP6,-0.5913770167636582,0.012407871347222377
S100A5,CRP,0.7288689868556625,0.0009029735311402593
S100A5,CXCL10,0.09110862335695781,0.7280191422779205
S100A5,CXCL12,-0.03927113001946168,0.8810467632206961
S100A5,MMP3,-0.05592105263157894,0.831192876195177
S100A5,MMP9,0.13845615238072836,0.5961463313826744
S100A5,SERPINA1,-0.16109583426051696,0.53678771053217
S100A5,SERPINE1,0.0999515922657572,0.7026997074757
S100A5,TNFAIP6,-0.16776315789473684,0.519831734311171
S100A6,CRP,0.31297179494359817,0.22127444705234184
S100A6,CXCL10,0.31297179494359817,0.22127444705234184
S100A6,CXCL12,0.07406396693249576,0.7775593460055219
S100A6,MMP3,-0.5348588942576887,0.02695391741882153
S100A6,MMP9,0.01243444870915286,0.9622224453670283
S100A6,SERPINA1,-0.42453568441105943,0.08940994982018231
S100A6,SERPINE1,-0.17167436015537021,0.5100017237193536
S100A6,TNFAIP6,-0.29756234257998176,0.24607208125768568
S100A7,CRP,0.03836152562398224,0.8837842285593059
S100A7,CXCL10,-0.03836152562398224,0.8837842285593059
S100A7,CXCL12,0.4464507412738801,0.07242470557055097
S100A7,MMP3,0.023545706371191133,0.9285268379765255
S100A7,MMP9,-0.31549141842791356,0.21737853009381314
S100A7,SERPINA1,0.2673293101041396,0.2995941407661832
S100A7,SERPINE1,-0.3762883473534389,0.13657809421831926
S100A7,TNFAIP6,0.07063711911357341,0.7876247067575075
S100A7A,CRP,0.0,1.0
S100A7A,CXCL10,0.0,1.0
S100A7A,CXCL12,0.036961063547728636,0.8880013576304093
S100A7A,MMP3,0.0,1.0
S100A7A,MMP9,0.04343722427630693,0.8685255597866294
S100A7A,SERPINA1,-0.41695392396839676,0.09590457933053925
S100A7A,SERPINE1,0.0,1.0
S100A7A,TNFAIP6,0.0,1.0
S100A7L2,CRP,0.0625,0.811650149100106
S100A7L2,CXCL10,1.0,0.0
S100A7L2,CXCL12,0.3771568211759703,0.13560211501533168
S100A7L2,MMP3,-0.5370613587357513,0.026213040165845948
S100A7L2,MMP9,-0.09498013695028208,0.7168996421624012
S100A7L2,SERPINA1,-0.3315324917763691,0.1936140952650135
S100A7L2,SERPINE1,-0.5485298130021853,0.02260611178042992
S100A7L2,TNFAIP6,-0.6137844099837158,0.00877233937647742
S100A8,CRP,-0.055255415296061525,0.8331755620117316
S100A8,CXCL10,0.055255415296061525,0.8331755620117316
