source_gene,target_gene,spearman_rho,p_value
S100A16,TGM1,0.5577743401219802,0.01998986807280741
S100A16,TGM2,-0.14730114194733404,0.5726385608210846
S100A16,TGM3,-0.10556745985359513,0.6867704362669398
S100A2,LOX,0.2532803652007522,0.32665371677155686
S100A2,LOXL1,0.5485298130021853,0.02260611178042992
S100A2,LOXL2,-0.14283313930444766,0.5844641229045651
S100A2,LOXL3,-0.13713245325054632,0.5996979548392547
S100A2,LOXL4,-0.11508457687194673,0.660060755968438
S100A2,TGM1,-0.5065607304015044,0.0379820225393794
S100A2,TGM2,0.3061862178478973,0.23198812442321448
S100A2,TGM3,0.31660045650094026,0.21567779687212585
S100A3,LOX,0.2532803652007522,0.32665371677155686
S100A3,LOXL1,0.5485298130021853,0.02260611178042992
S100A3,LOXL2,-0.14283313930444766,0.5844641229045651
S100A3,LOXL3,-0.13713245325054632,0.5996979548392547
S100A3,LOXL4,-0.11508457687194673,0.660060755968438
S100A3,TGM1,-0.5065607304015044,0.0379820225393794
S100A3,TGM2,0.3061862178478973,0.23198812442321448
S100A3,TGM3,0.31660045650094026,0.21567779687212585
S100A4,LOX,0.18623637679036853,0.47418726652566145
S100A4,LOXL1,-0.19297374307335338,0.4580480179085358
S100A4,LOXL2,0.1528292299333802,0.5581500172658584
S100A4,LOXL3,0.46939559125950825,0.05730967184247391
S100A4,LOXL4,0.5991582933000222,0.01103090188653259
S100A4,TGM1,0.12442516552804796,0.6342183835821615
S100A4,TGM2,0.18114544409632324,0.48656526415699397
S100A4,TGM3,-0.10114561842925188,0.6993028184967742
S100A5,LOX,0.23076025396788058,0.3728805400313112
S100A5,LOXL1,0.0,1.0
S100A5,LOXL2,0.20821329106849293,0.42258644569993287
S100A5,LOXL3,0.1999031845315144,0.44174168719376694
S100A5,LOXL4,0.16776315789473684,0.519831734311171
S100A5,TGM1,0.046152050793576115,0.8603818342039925
S100A5,TGM2,0.4813462788846284,0.050436774450833916
S100A5,TGM3,0.23076025396788058,0.3728805400313112
S100A6,LOX,0.05129210092525555,0.8450001122622326
S100A6,LOXL1,-0.11444957343691346,0.6618312716262827
S100A6,LOXL2,0.06451219524188019,0.8056933344671475
S100A6,LOXL3,0.1817728519292155,0.48503140103765896
S100A6,LOXL4,0.21469688008935395,0.4079501009296589
S100A6,TGM1,0.11191003838237573,0.6689288710331229
S100A6,TGM2,0.10146457078607433,0.6983963387416511
S100A6,TGM3,-0.27822078986729526,0.2795693062063951
S100A7,LOX,0.15545953951520375,0.5513128705832944
S100A7,LOXL1,0.633748795542634,0.006301721393736524
S100A7,LOXL2,-0.25784927686500675,0.3177022644310792
S100A7,LOXL3,-0.08416976190800607,0.7480761023335122
S100A7,LOXL4,-0.07063711911357341,0.7876247067575075
S100A7,TGM1,-0.3109190790304075,0.2244813297819764
S100A7,TGM2,0.16029522014531167,0.53884039374598
S100A7,TGM3,-0.09716221219700236,0.7106558859012668
S100A7A,LOX,0.0,1.0
S100A7A,LOXL1,0.0,1.0
S100A7A,LOXL2,0.0,1.0
S100A7A,LOXL3,0.0,1.0
S100A7A,LOXL4,0.0,1.0
S100A7A,TGM1,0.651558364144604,0.004601943391588271
S100A7A,TGM2,-0.10502100630210072,0.6883150997810407
S100A7A,TGM3,0.1303116728289208,0.6181329478848534
S100A7L2,LOX,0.4432406391013164,0.07475175444325458
S100A7L2,LOXL1,0.0,1.0
S100A7L2,LOXL2,0.22853302288711624,0.3776401853601927
S100A7L2,LOXL3,0.411397359751639,0.10087428168333769
S100A7L2,LOXL4,0.4603383074877869,0.06296542561508775
S100A7L2,TGM1,-0.031660045650094025,0.9039888514308674
S100A7L2,TGM2,0.2551551815399144,0.32296297491455106
S100A7L2,TGM3,-0.15830022825047013,0.5439706029392657
S100A8,LOX,-0.032929674742366334,0.9001563391438756
S100A8,LOXL1,0.2745660802020491,0.286195608568638
S100A8,LOXL2,-0.20204299341587104,0.4367672654539363
S100A8,LOXL3,-0.11410538398007235,0.6627916493656767
S100A8,LOXL4,-0.013964963960664009,0.9575762442043927
S100A8,TGM1,-0.24532607683062918,0.3425835229747083
S100A8,TGM2,0.2282331623152894,0.37828354426160604
S100A8,TGM3,-0.10043550796421732,0.7013223688662888
S100A9,LOX,-0.059449561773137774,0.8206990945866186
S100A9,LOXL1,0.2740064941382599,0.28721850077247135
S100A9,LOXL2,-0.3039651295242684,0.23556533608239869
S100A9,LOXL3,-0.17496800228105755,0.5017920358849766
S100A9,LOXL4,-0.1606895509260339,0.5378289342141895
S100A9,TGM1,-0.10517999390632067,0.6878655680959789
S100A9,TGM2,0.28009912555931,0.2762003887732054
S100A9,TGM3,-0.5015104057272392,0.040266044758722024
S100B,LOX,0.24855610042949935,0.3360620679469465
S100B,LOXL1,-0.39266291990936797,0.11898109434706156
