Protein,Human_Avg_Delta,Human_Std,Human_Count,Mouse_Avg_Delta,Mouse_Std,Mouse_Count,Direction_Human,Direction_Mouse,Direction_Match
BCAN,-0.08641446358761873,0.3716508431269875,3,-0.06733732997069095,0.019885903297445374,2,Stable,Stable,True
BGN,0.06494913831333936,0.3337431910080351,8,0.13789025893583065,0.18662157024653225,11,Stable,Stable,True
C1QA,-0.1174171882929,0.20940472909453658,3,-0.04513822991477356,0.31508044985580214,3,Stable,Stable,True
C1QB,0.24496743863676307,0.5656644034313659,6,0.05284605950847114,0.09219415475476225,5,Stable,Stable,True
C1QC,0.12993291100059914,0.23691018140010775,6,-0.08157330872994206,0.2802494835100577,3,Stable,Stable,True
CD109,-0.5215845234201114,0.47417159673165993,5,-0.16248874846004804,0.2723082238233514,2,Down,Stable,False
CHAD,-0.19396339654720707,0.16616794040524266,3,-0.39120749173724817,0.39623936187795633,4,Stable,Stable,True
CHADL,-0.130614334346791,0.2629486762091166,3,-0.11533518823638281,0.10780753151262125,2,Stable,Stable,True
CILP2,0.0632938628081539,0.05222529722357008,3,-0.31059581376725104,1.0225515277148576,3,Stable,Stable,True
COL11A1,-0.3995032134135438,0.17703608908180687,5,-0.3473611556005225,0.3663204927777193,3,Stable,Stable,True
COL11A2,-0.5354841120873555,0.7162884479644802,5,0.5480735216082906,1.8637486260376672,2,Down,Up,False
COL12A1,-0.21271594336702204,0.37469635783638955,10,0.08491789490528431,0.526779710620329,9,Stable,Stable,True
COL14A1,-0.3807757585407655,0.3548943049428799,8,-1.1321262958691234,0.40111588024838984,7,Stable,Down,False
COL15A1,-0.33392250216245517,0.40088570944460267,7,-0.2558105047526262,0.22468010956865858,8,Stable,Stable,True
COL18A1,0.12836395254627464,0.7556403458513883,12,0.08143449363388573,0.1069646524217808,9,Stable,Stable,True
COL1A1,-0.05940191925367057,0.38948489646887813,8,-0.059684066908149404,0.43974442650238066,10,Stable,Stable,True
COL1A2,-0.19006324886830506,0.2896711896935735,8,-0.009398625057597532,0.46542593663489523,10,Stable,Stable,True
COL2A1,0.11355528005198057,0.8026981813558112,6,0.040566572268517086,0.9092148171871975,6,Stable,Stable,True
COL3A1,-0.24409723861614108,0.3641056484017627,10,-0.23311206576227192,0.40595784486683184,10,Stable,Stable,True
COL4A1,0.047400373923812154,0.21621338182466546,6,0.27143571270801725,0.22398422475603266,10,Stable,Stable,True
COL4A2,-0.029880851256382433,0.42904213424097226,7,0.18556267998988407,0.18823229587655524,10,Stable,Stable,True
COL4A3,-0.3144795458809863,0.29170054198301704,4,0.5503172926340834,0.11984758305008088,3,Stable,Up,False
