Protein,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
LTBP2,0.8946977,-0.25569242,0.80858874,0.6093843,0.6812007,1.5698892,0.73961335,0.047623448,-0.20627415,0.34096175,0.084674455,0.51618654,-0.023989916,0.11951122,0.56866395,0.48430008,-0.11286038,-0.24069077,0.3931275,0.56496376,-0.28813303,0.5327877,-0.2956379,0.38171002,-0.32837355,-0.26263064,-0.23173481,0.36815143,0.3354755,0.68363947,0.12611496,0.3610887,0.1803033,0.2119115,1.0918375,0.18741943,-0.19030249,-0.04646206,-0.16827238,0.09177789,1.1218776,0.246693,0.27931777,-0.12333459,0.5017741,-0.3755867,0.7225188,0.004231602,-0.63315606,-0.1961919,0.86195326,0.36465973,0.26343322,-0.16777092,0.70382077,-0.2899208,0.5679266,0.1528721,0.48200244,0.7980892,-0.19171655,-0.53588,0.7763853,-0.44054872
LTBP3,0.8701658,-0.3381405,0.75197864,0.7477983,0.76909137,1.6537131,0.7599458,-0.022786379,-0.12542057,0.19834132,0.10740381,0.43132484,-0.121135235,0.0001635775,0.7020048,0.5543477,-0.05750078,-0.20463252,0.38492876,0.697652,-0.24470675,0.33575732,-0.3556252,0.4969835,-0.29956204,-0.2332539,-0.16240597,0.50280535,0.16872998,0.80610204,0.15473664,0.42957562,0.16610326,0.22416751,1.1746075,0.11641134,-0.27489436,0.09163007,-0.17575854,-0.074943304,1.3388265,0.21837163,0.18356138,-0.10546136,0.6632174,-0.3758,0.6382018,-0.1734268,-0.6889441,-0.3009175,0.9792442,0.567201,0.4406326,-0.049755096,0.78083766,-0.22509247,0.706091,0.29217002,0.69074357,0.8664961,-0.17622471,-0.43521696,0.75823855,-0.32606846
LTBP4,0.9892032,-0.2707098,0.9531075,0.48139378,0.63660413,1.4787107,0.7098757,0.24535042,-0.2897727,0.46620455,0.20697954,0.71547246,-0.040386677,0.30089167,0.3502881,0.35681507,-0.21845889,-0.29050088,0.346445,0.46204126,-0.386675,0.6820867,-0.1977672,0.18486655,-0.26219302,-0.33721715,-0.37568694,0.15428832,0.5163853,0.52889645,0.11785777,0.23202321,0.13069715,0.2641327,1.1028608,0.38094607,-0.22340381,-0.14750427,-0.24616945,0.2470648,0.9557462,0.393469,0.30483913,-0.23650098,0.29084724,-0.29720956,0.8099892,0.10377425,-0.5620081,-0.072301865,0.6862477,0.24104387,0.06958228,-0.24566942,0.6203131,-0.3803575,0.50383663,-0.05761385,0.2594753,0.7679594,-0.31446344,-0.573184,0.74989414,-0.46177757
LUM,1.0272899,-0.19573897,0.9372361,0.7377141,0.657319,1.6125152,0.85512364,0.15924737,-0.1945005,0.45118162,0.3411492,0.60216475,-0.23633659,0.36822093,0.6567167,0.58192885,0.083620526,-0.25441122,0.47868088,0.6121275,-0.21358192,0.34723195,-0.24455029,0.32290342,-0.24628139,-0.12873405,-0.22555548,0.33137855,0.23068587,0.8138587,-0.15848899,0.1415677,0.30202827,0.43106568,1.3220582,0.22361453,-0.3197524,0.022061504,-0.3007359,-0.11405361,1.1208375,0.42308164,0.113268726,-0.23739958,0.47825846,-0.39072722,0.9228575,-0.14763647,-0.65338075,-0.2520187,0.90364796,0.58390117,0.268038,0.029695407,0.87919515,-0.27397674,0.82633394,0.15141316,0.5208949,1.009449,-0.29650134,-0.49556124,0.4665986,-0.3409677
Lama1,0.90741354,0.06182009,1.2761519,0.3726036,0.47001952,1.2454255,0.87967247,0.6198508,-0.27627754,0.9865645,0.61722565,0.8153636,0.048554275,0.7458551,-0.068458915,0.3596104,-0.19746143,-0.3854066,0.4896907,-0.1664769,-0.40065414,0.98098147,0.4768448,-0.19743252,-0.076761246,-0.2383151,-0.4139496,-0.09504777,0.9232159,0.47226995,-0.32471997,-0.22552991,0.07105581,0.60354483,1.0525446,0.6731606,-0.042444408,-0.48747975,-0.44175702,0.6801181,0.29608518,0.6962816,0.18130474,-0.39998406,-0.24124873,-0.012584209,1.2716258,0.40356296,-0.54732937,0.36180133,0.48010898,-0.12808031,-0.27244377,-0.16834337,0.32977393,-0.45288175,0.37800622,-0.4161635,-0.28152782,0.84241754,-0.29260254,-0.6289123,0.33127883,-0.48955995
Lama2,0.8429059,-0.32521707,0.75646013,0.51001006,0.48918205,1.4294358,0.83742255,0.10287605,-0.24460751,0.42354178,0.2822966,0.5086553,-0.079939604,0.10536679,0.49553958,0.49608284,-0.14429677,-0.2922067,0.35972843,0.50788647,-0.3353442,0.64599895,-0.18764806,0.27507573,-0.3324057,-0.11178321,-0.23320782,0.33044437,0.4273494,0.7600187,0.09574599,0.2638518,0.21150565,0.3106719,1.0973425,0.27121434,-0.14994854,-0.105099976,-0.27814776,0.16241497,0.93688685,0.3894127,0.15686123,-0.17935413,0.3759037,-0.34634465,0.71449953,-0.09031612,-0.6520755,-0.17777753,0.80226105,0.45883167,0.24937023,-0.04363352,0.7286786,-0.37257838,0.5509268,0.012163382,0.39538795,0.7678925,-0.17368001,-0.56474614,0.66966045,-0.4783396
Lama3,0.9419161,-0.22163123,0.7639353,0.8074242,0.79029477,1.7791889,0.6907011,-0.10037398,-0.1841827,0.2584477,-0.022948861,0.39265072,-0.030145466,0.15318061,0.7557124,0.48903513,0.0058511198,-0.17447829,0.24305794,0.53201073,-0.18185174,0.32779217,-0.39301914,0.51480407,-0.28175318,-0.32331514,-0.15091431,0.44922817,0.26958066,0.7638978,-0.049392223,0.45082593,0.11520501,0.22935665,1.233864,-0.013296664,-0.29978985,-0.04654348,-0.097542405,-0.0715341,1.2823519,-0.001357913,0.43289214,-0.01549387,0.6137513,-0.44019842,0.89146566,0.13179475,-0.65275943,-0.33946836,1.0558047,0.29253614,0.28320462,-0.2502523,0.7589576,-0.24634993,0.8223665,0.2575268,0.634771,0.889264,-0.16235358,-0.56792134,0.8654328,-0.40953523
Lama4,0.86176676,-0.3285914,0.7718327,0.38139954,0.50361377,1.403977,0.68167096,0.14990488,-0.2951852,0.39096913,0.11957119,0.6114184,0.048917655,0.08731342,0.28132325,0.31344846,-0.33371913,-0.29977947,0.24682558,0.395492,-0.4405793,0.8546485,-0.18111718,0.16457935,-0.31350583,-0.3145526,-0.3731857,0.2178613,0.63850904,0.56631327,0.2567122,0.31536615,-0.0059159994,0.13448472,1.0346905,0.4043705,-0.111848414,-0.171013,-0.25054622,0.41348684,0.8716283,0.33906472,0.34769195,-0.16025871,0.2876853,-0.27905476,0.65964997,0.1116514,-0.56657815,-0.071017385,0.69563425,0.16359663,0.10363662,-0.27426964,0.5980273,-0.42894077,0.39914504,-0.1464349,0.2704536,0.6007081,-0.21218729,-0.62026554,0.9383313,-0.51054806
Lama5,0.79184943,-0.27331924,0.75344884,0.5152376,0.4829503,1.3699484,0.8043456,0.13199905,-0.21156806,0.43054277,0.29562473,0.4821521,-0.06620747,0.12816507,0.4384013,0.47666425,-0.13930738,-0.2670769,0.34246624,0.4282417,-0.30885875,0.62587553,-0.12199324,0.24246344,-0.28211838,-0.113722086,-0.20107543,0.30277967,0.44889313,0.7286715,0.036204018,0.22316588,0.17975107,0.31436306,1.0487274,0.28003636,-0.11783099,-0.13426751,-0.27608997,0.20033188,0.8741926,0.3948872,0.15314136,-0.1743831,0.32015067,-0.2996176,0.7174708,-0.056509852,-0.64351606,-0.12760848,0.7679841,0.3938343,0.20899478,-0.04212016,0.66272944,-0.34123152,0.524513,-0.0073726177,0.3321964,0.74361503,-0.14337832,-0.5360805,0.6115507,-0.44857907
Lamb1,0.08382094,0.082682885,0.05283525,0.74365103,0.9028491,1.3004965,0.11973547,-0.3930065,0.32246795,-0.33421874,-0.41736996,-0.27103382,0.46104074,-0.5063449,0.56645066,0.05846265,-0.26499057,0.35354525,-0.32042652,0.28176954,0.011567265,0.2570087,-0.4185717,0.7470592,0.026390329,-0.4990036,0.34905377,0.7002714,0.36284715,0.5743845,0.29873598,0.9467707,-0.30623484,-0.26285112,0.42551664,-0.2731943,0.17686288,-0.16039371,0.37203163,0.26730517,1.3600277,-0.41404194,0.77165174,0.49683866,0.7772997,-0.15687054,0.120638154,0.37755418,-0.5906807,-0.23574215,0.97890645,-0.10566342,0.36634815,-0.46106702,0.1182103,0.1890572,0.40847263,0.40225878,0.66770065,0.2767721,0.47952282,-0.20566887,1.1442952,-0.21472949
Lamb2,0.91018367,0.17881739,1.2821662,0.25170803,0.44693494,1.0845548,0.7170226,0.70985866,-0.30291885,0.96311843,0.61112344,0.8953468,0.08161979,0.8397788,-0.20980954,0.14520371,-0.2776547,-0.33055902,0.30532703,-0.22525012,-0.41525936,1.045937,0.5323187,-0.28201312,0.078902155,-0.32684708,-0.44700956,-0.25179666,1.0726485,0.2967026,-0.32622182,-0.25330216,0.016891584,0.5698223,0.96670675,0.74040633,-0.04744798,-0.50909275,-0.4217596,0.78019154,0.20810369,0.72150356,0.2900873,-0.4051211,-0.3413875,0.07949778,1.2655122,0.55729985,-0.41802508,0.48536938,0.28277707,-0.2527457,-0.42034215,-0.29060507,0.21085376,-0.45414817,0.35421538,-0.47487295,-0.3971203,0.7623384,-0.34286612,-0.6268069,0.30228066,-0.4902826
Lamc1,0.9564159,0.17833954,1.3154485,0.30278513,0.46854553,1.1593506,0.79885876,0.67664087,-0.30308682,1.0293584,0.62285006,0.87967145,0.054098308,0.8854941,-0.13347596,0.23497915,-0.20178539,-0.3618424,0.41300887,-0.2248714,-0.38753015,0.9912292,0.5126063,-0.24535269,0.0049414337,-0.29079843,-0.4390428,-0.203417,0.9932449,0.35337335,-0.3681606,-0.2717675,0.06874326,0.6230221,1.0373161,0.69508135,-0.08967799,-0.5053019,-0.42854875,0.69117135,0.20739672,0.6995988,0.25043595,-0.40923434,-0.30684382,0.01119609,1.3459642,0.5353304,-0.452793,0.40832645,0.35962632,-0.21612597,-0.38384426,-0.25103587,0.2714326,-0.45844418,0.4000475,-0.44873512,-0.3538065,0.8300669,-0.34490025,-0.64080733,0.27924806,-0.49511313
Lgals1,0.52927786,-0.17373013,0.5247693,0.573219,0.6841383,1.3564787,0.48272735,-0.07808399,-0.036759853,0.10530192,-0.10212201,0.22527425,0.1999282,-0.1817289,0.39300448,0.26902306,-0.27114952,-0.070108294,0.063485384,0.32064483,-0.2594583,0.55367786,-0.2393251,0.39630723,-0.17077762,-0.37600416,-0.09133923,0.4233129,0.48851025,0.57438964,0.21778548,0.52480084,-0.12970841,-0.00070130825,0.78045964,0.10844905,0.0054840744,-0.16318333,-0.04213327,0.33525324,1.0478784,0.010871295,0.45497888,0.065635495,0.46369764,-0.20530134,0.47779483,0.19984522,-0.59898734,-0.113158226,0.8122496,0.05903938,0.21805722,-0.30973828,0.38605666,-0.19135523,0.38623574,0.09713546,0.42259327,0.5106371,0.06505149,-0.4472301,0.9387272,-0.37274575
Lgals3,1.0271976,0.15154174,1.4042983,0.40947166,0.5803619,1.2783767,0.8078462,0.6765418,-0.2881379,1.0266808,0.5973067,0.9020574,0.0064826384,0.9452146,-0.051817656,0.31702572,-0.1300664,-0.3569768,0.48468807,-0.20715839,-0.34802264,0.84642947,0.47658718,-0.20833069,0.026120454,-0.3089456,-0.43067628,-0.1867978,0.88659763,0.37149593,-0.39971668,-0.28298455,0.078960165,0.63717467,1.1233411,0.6644341,-0.16384888,-0.46591932,-0.42203915,0.5711725,0.3267237,0.66521627,0.22793114,-0.41512072,-0.25916404,-0.019283116,1.4138727,0.51754975,-0.49164188,0.360057,0.4238463,-0.19173437,-0.35592997,-0.21977413,0.30182967,-0.42581326,0.49488264,-0.39193958,-0.29471153,0.91278154,-0.36783463,-0.61964846,0.26809588,-0.43997097
Lgals8,0.8027807,-0.35764343,0.68831336,0.5779469,0.61682904,1.474344,0.7164512,-0.010403991,-0.20965451,0.2643835,0.082442865,0.41953734,-0.03345847,0.01078894,0.5947477,0.48988068,-0.12975192,-0.23583555,0.30232316,0.5220979,-0.28364813,0.48151803,-0.29560858,0.39984006,-0.32111484,-0.2028324,-0.18420881,0.38637665,0.30188972,0.71622497,0.16996352,0.38400653,0.15548019,0.18605626,1.0489933,0.15195209,-0.17625016,-0.025544524,-0.17536235,0.060206488,1.0916449,0.19475117,0.23842424,-0.0869506,0.51191795,-0.36354566,0.6167839,-0.060281396,-0.64519364,-0.24455643,0.8551774,0.4017134,0.328327,-0.11693746,0.69085556,-0.30578482,0.57759535,0.16747865,0.5265642,0.7175051,-0.13338584,-0.52828944,0.79370797,-0.43167585
Lgals9,0.027004343,0.08983259,-0.044331968,0.8572681,1.0641855,1.3800339,-0.01315552,-0.4906041,0.4100242,-0.44864982,-0.5349146,-0.3737222,0.52254,-0.55748063,0.7248562,0.044831753,-0.2155981,0.45620763,-0.3659917,0.32337552,0.13088086,0.033507746,-0.52135694,0.9337654,0.041895837,-0.5632081,0.45378152,0.8290574,0.19686387,0.5573032,0.33846545,1.1067971,-0.35631287,-0.3296123,0.39437413,-0.41104925,0.1028156,-0.09499413,0.51243377,0.11247011,1.5649511,-0.5520882,0.8751239,0.6197653,0.9674929,-0.20594895,0.07203451,0.4311778,-0.5898026,-0.33705795,1.0773213,-0.14915568,0.4557491,-0.5103573,0.09854376,0.32388163,0.50248706,0.59888625,0.86852,0.28340733,0.5376214,-0.11465156,1.249076,-0.1406098
Lgalsl,0.9214522,-0.16421878,0.7435738,0.7068422,0.63218355,1.5325301,0.72403324,0.010567091,-0.17257935,0.34930593,0.17232439,0.42796344,-0.1491459,0.2709636,0.6715892,0.4979575,0.09716316,-0.16200477,0.29591033,0.49226102,-0.105970025,0.2794004,-0.27193916,0.40761793,-0.2361899,-0.17025846,-0.099460185,0.3482595,0.23003218,0.72040486,-0.15532434,0.24908262,0.23150697,0.31683683,1.191519,0.073325396,-0.3035717,0.031090215,-0.16896927,-0.12737799,1.0603101,0.19907135,0.24357879,-0.08297759,0.48131365,-0.40262908,0.87027323,0.021391466,-0.6243168,-0.29573292,0.88969237,0.40869057,0.21737665,-0.09541458,0.75913477,-0.22365522,0.801554,0.22838792,0.5311133,0.856593,-0.18613935,-0.5129356,0.5765769,-0.34758282
Lgi1,0.8099575,-0.30284,0.6976019,0.58520806,0.5332296,1.4824706,0.8170754,0.01563791,-0.19659859,0.36175776,0.20262004,0.415565,-0.06716722,0.044081748,0.57491845,0.5258586,-0.10232335,-0.25751108,0.3550695,0.51748145,-0.28381222,0.55325645,-0.2363013,0.3579009,-0.33428496,-0.12399489,-0.16914707,0.4138077,0.35306913,0.79157627,0.07261833,0.31948686,0.182817,0.27028656,1.0960839,0.18088916,-0.15405601,-0.07767075,-0.23724085,0.09751272,1.0079551,0.28743836,0.18581882,-0.11915076,0.462113,-0.36473143,0.6965258,-0.08385497,-0.66602767,-0.23343474,0.8824343,0.4523672,0.31556588,-0.053588927,0.73496777,-0.3262897,0.5883008,0.09549703,0.48655623,0.763733,-0.11787808,-0.5421929,0.7073222,-0.44999957
Lgi2,0.36666748,0.2525705,0.26627034,1.0081939,1.0388005,1.6070577,0.25433815,-0.40592462,0.27858788,-0.19997811,-0.34541577,-0.21745408,0.32416162,-0.2695971,0.8239595,0.20323768,0.049455695,0.30215496,-0.22387475,0.30266732,0.20623957,-0.018519878,-0.47019333,0.82673454,0.032441705,-0.4891098,0.3608906,0.7498286,0.20378953,0.6942397,-0.11322039,0.8364248,-0.20322531,-0.009256303,0.76408064,-0.38768208,-0.1376388,-0.16584408,0.30737877,-0.06803048,1.4625278,-0.4569294,0.78151006,0.41462302,0.83288974,-0.32192957,0.6391133,0.47495246,-0.6210185,-0.38076037,1.169755,-0.054443717,0.3166758,-0.43700206,0.32989353,0.21543361,0.8107916,0.51342136,0.7991011,0.65890193,0.30026865,-0.29866642,0.9270096,-0.1795159
Lgi3,1.0072966,0.14871213,1.383819,0.2798363,0.44300723,1.1871094,0.85890603,0.7392635,-0.33801925,1.1029868,0.69816875,0.9524548,0.048176132,0.934546,-0.1651684,0.25020635,-0.22868514,-0.39294243,0.43656862,-0.2310245,-0.42483854,1.0902183,0.5646,-0.28266162,-0.012737632,-0.27632028,-0.4674098,-0.23329562,1.0700406,0.37376004,-0.37304592,-0.29607707,0.09148633,0.6660582,1.0814606,0.76708716,-0.076114,-0.5253619,-0.4612605,0.7573342,0.18119922,0.78519815,0.23721823,-0.43942124,-0.3458439,0.016784776,1.4035085,0.5373568,-0.4716097,0.4535277,0.34980685,-0.21254343,-0.40457118,-0.24235648,0.29394075,-0.4946699,0.40181342,-0.48473674,-0.39318508,0.8602722,-0.36661714,-0.6694006,0.27897424,-0.5291934
Lman1,0.33855236,-0.031921208,0.27516043,0.72713375,0.7987492,1.3429521,0.37060648,-0.2803676,0.13779841,-0.1112842,-0.20678318,-0.06785482,0.2719754,-0.32982576,0.6209395,0.22479433,-0.16146928,0.15172383,-0.14523739,0.3333748,-0.039391935,0.27952152,-0.36888862,0.6269092,-0.071400106,-0.37147707,0.20917696,0.5851299,0.3304873,0.6594019,0.14158411,0.7186878,-0.11304557,-0.04430425,0.645464,-0.1661045,0.04439555,-0.14589751,0.1684823,0.13303155,1.2390473,-0.23022771,0.5711242,0.27509767,0.6682011,-0.2437666,0.36642712,0.23973724,-0.6136427,-0.25826007,0.9561465,0.109784916,0.34178266,-0.3310719,0.32969558,0.0136885345,0.52080584,0.33670577,0.6088096,0.4795797,0.25773785,-0.33105314,0.9172601,-0.28534704
Loxl1,0.8569543,-0.42020887,0.93269867,0.504276,0.60367095,1.5154501,0.82001317,0.17353909,-0.3107108,0.48564017,0.21246304,0.6132175,0.03190701,0.14031436,0.4343281,0.5420122,-0.22414744,-0.37112904,0.42518234,0.3931164,-0.42549396,0.7369238,-0.16615933,0.20078719,-0.3489347,-0.21626174,-0.34384286,0.26158407,0.49781764,0.7039976,0.1931513,0.26226333,0.13915484,0.28113526,1.0725915,0.35265005,-0.099485576,-0.19742519,-0.28889763,0.29048344,0.95731103,0.35364795,0.2065969,-0.23961407,0.3105695,-0.3155592,0.7607905,-0.003105998,-0.667457,-0.08000481,0.7952386,0.2905538,0.22906433,-0.10575515,0.62652117,-0.42430013,0.4523877,-0.052490473,0.30893126,0.77775604,-0.21342933,-0.6116091,0.7978456,-0.51529014
Loxl2,0.29977727,-0.0980742,0.255757,0.70830965,0.8924388,1.3636353,0.28908724,-0.31396818,0.14536801,-0.19376642,-0.31154287,-0.09199089,0.34870067,-0.3786565,0.6334662,0.17630601,-0.19652075,0.17903858,-0.18655324,0.32314953,-0.053682268,0.24948028,-0.41653836,0.69074905,-0.08186507,-0.43889737,0.18606845,0.5977488,0.29804277,0.5973632,0.2619083,0.8121756,-0.15059263,-0.13436532,0.57547355,-0.19207823,0.042373776,-0.126441,0.26122075,0.14211938,1.3290704,-0.31488264,0.64075994,0.32555777,0.73414534,-0.23631436,0.28736556,0.28407842,-0.6007564,-0.27267766,0.96145386,0.045422986,0.37317836,-0.38622707,0.2526526,0.03269416,0.48751226,0.3863848,0.65663755,0.42278358,0.2704777,-0.331671,1.0624329,-0.2758199
Ltbp1,0.9303267,-0.32354498,0.80580664,0.5943347,0.5551684,1.5263448,0.8263536,0.068157576,-0.24240136,0.3989001,0.21456134,0.51719415,-0.15179467,0.20008528,0.6107833,0.557558,-0.02994901,-0.2845413,0.41082883,0.5446844,-0.27448827,0.4669639,-0.25610846,0.33119118,-0.33335334,-0.12893748,-0.23903775,0.34165096,0.2797224,0.7585421,0.002941683,0.22444925,0.24223861,0.31375182,1.2033038,0.20621508,-0.26969463,-0.011152148,-0.2651525,-0.023814559,1.0175878,0.3128531,0.14768666,-0.17174327,0.4591528,-0.40020818,0.7991449,-0.10166448,-0.64592284,-0.26131058,0.86132324,0.49221006,0.28083932,-0.036322653,0.80125785,-0.34178948,0.6820302,0.112453386,0.50921667,0.8413048,-0.22747773,-0.55917543,0.65030575,-0.42943436
Ltbp2,0.8463051,-0.45272255,0.8263327,0.5287209,0.61925614,1.5445232,0.78822494,0.06722737,-0.30373406,0.37065592,0.130503,0.54918885,0.020541074,0.028883524,0.5414655,0.5405002,-0.21580642,-0.34123456,0.37307048,0.51018983,-0.40558046,0.66861933,-0.2737304,0.30266514,-0.37727797,-0.21181738,-0.3035481,0.33471924,0.41413516,0.7419427,0.27660537,0.37088168,0.15621191,0.21746704,1.074104,0.26230705,-0.12330526,-0.113996685,-0.23713732,0.1920589,1.0801339,0.2734167,0.23205462,-0.17987925,0.43359795,-0.36680937,0.66145504,-0.061387002,-0.6738519,-0.1745472,0.8488914,0.3738605,0.31453532,-0.112047136,0.68976533,-0.40334034,0.49620026,0.053773727,0.44021598,0.7564349,-0.18851936,-0.60142875,0.87123805,-0.5143378
Ltbp4,-0.030136049,-0.007714987,-0.066287816,0.8304262,1.0353378,1.3658243,-0.018062413,-0.48101705,0.40740675,-0.46870494,-0.528811,-0.36605054,0.54211694,-0.610775,0.661586,0.055588067,-0.295285,0.46301073,-0.38642478,0.35266024,0.061570898,0.12288401,-0.4989344,0.88826615,0.049522072,-0.559049,0.45098957,0.83156323,0.26100543,0.57207334,0.44659173,1.1382998,-0.3883407,-0.37635666,0.35694245,-0.36305487,0.18870291,-0.05770117,0.47849202,0.20970784,1.6020381,-0.52331585,0.8590308,0.60917556,0.94348305,-0.15731913,-0.022850335,0.37508824,-0.62337786,-0.2900797,1.0626094,-0.13787878,0.47970778,-0.49566954,0.07595435,0.31252214,0.43554366,0.56894696,0.8571556,0.21866783,0.5844158,-0.09408152,1.3150105,-0.13818026
Lum,0.7728745,-0.32947344,0.6599018,0.54071486,0.4884292,1.3911589,0.7744516,0.03708891,-0.20870537,0.3299263,0.22795129,0.4283453,-0.07994652,0.013070207,0.5346287,0.49481642,-0.13446575,-0.24274552,0.29972827,0.52997756,-0.2940504,0.5558586,-0.22477895,0.31662607,-0.30954653,-0.1033178,-0.16696656,0.3656901,0.36776063,0.7606026,0.11201206,0.3113845,0.18683808,0.24991742,1.0430088,0.20946515,-0.13122761,-0.045299828,-0.2421323,0.107572764,0.9835223,0.32442102,0.1681705,-0.13009906,0.42725182,-0.3459283,0.62631005,-0.11252338,-0.65357983,-0.205459,0.8177474,0.47117558,0.2943521,-0.034098327,0.71644646,-0.3257693,0.55390686,0.08773196,0.457464,0.71618044,-0.12378585,-0.5246599,0.67410225,-0.44177145
M6pr,0.7788397,-0.27414292,0.6588616,0.583711,0.5379435,1.4048195,0.75341976,0.015009562,-0.17626202,0.32448828,0.19337034,0.39403188,-0.074358106,0.05518415,0.56569976,0.4900815,-0.08040011,-0.21648097,0.30826724,0.4926557,-0.23822749,0.47559893,-0.23235172,0.358348,-0.28932762,-0.1299892,-0.13268799,0.38670924,0.32182118,0.7436637,0.045251213,0.30761904,0.18081002,0.25524053,1.048499,0.15905568,-0.15847516,-0.046882093,-0.21493173,0.05772773,0.9912615,0.26825026,0.191374,-0.10400963,0.45366138,-0.34583277,0.66471744,-0.07097101,-0.64358526,-0.22957093,0.8390598,0.43409163,0.29312694,-0.058434486,0.7018075,-0.28750467,0.59617937,0.13123375,0.48133847,0.7312792,-0.11470127,-0.507228,0.6524717,-0.410927
MASP1,0.9525076,-0.18914515,0.7869201,0.7576631,0.7750703,1.684697,0.6979341,-0.004440129,-0.14736909,0.2590701,0.07266496,0.47014695,-0.10353768,0.15668325,0.6781378,0.45249242,-0.025342822,-0.15950537,0.30402973,0.63975596,-0.20760286,0.33128732,-0.37036955,0.4753653,-0.25215745,-0.3166623,-0.18879825,0.42133892,0.24975538,0.7100303,0.014610097,0.39895016,0.15079048,0.2421706,1.2030704,0.08109987,-0.30741972,0.03461291,-0.13283569,-0.06939232,1.275909,0.15876386,0.32622328,-0.08971912,0.61048555,-0.39765257,0.79626083,0.019497097,-0.6321073,-0.29674184,0.9652891,0.42692304,0.27779046,-0.18951249,0.7534708,-0.22681564,0.75199246,0.25017723,0.6195466,0.8856963,-0.2290793,-0.48978454,0.76771665,-0.35196978
MASP2,1.2169583,0.08905336,1.73946,0.2219759,0.5486836,1.2630134,0.9167547,1.030229,-0.39813596,1.2526195,0.835683,1.2832022,-0.005918026,1.1723452,-0.3017053,0.24385875,-0.2936253,-0.45997894,0.6040365,-0.20438951,-0.51654124,1.2143149,0.69610906,-0.3838029,0.03765887,-0.3501044,-0.5818107,-0.36953193,1.1694174,0.2606745,-0.330666,-0.38529444,0.14067107,0.76731825,1.1696284,1.01935,-0.15065628,-0.530962,-0.51428807,0.8767511,0.20503773,1.0492147,0.15044811,-0.54765916,-0.4276895,0.11357938,1.525945,0.5250948,-0.46135747,0.664974,0.2014395,-0.21198541,-0.48300505,-0.22823691,0.2511431,-0.5318755,0.33678353,-0.5401521,-0.49018723,0.9895104,-0.5010224,-0.6634421,0.22327518,-0.5164618
MATN1,1.3950384,-0.21698928,1.2346991,0.73310715,0.68361497,1.9457517,1.0659332,0.25570023,-0.34019047,0.7555979,0.34562638,0.87392163,-0.22039777,0.62152195,0.6292962,0.66600287,0.036466002,-0.40656012,0.73811775,0.61271,-0.34931028,0.60350347,-0.2598377,0.25975636,-0.40734708,-0.24484879,-0.4261918,0.28452235,0.38508365,0.7797038,-0.1733939,0.09563227,0.31871444,0.49954292,1.5835478,0.35111296,-0.38162726,-0.081468344,-0.3554507,-0.0012797713,1.0767113,0.48826548,0.21230023,-0.31550688,0.4316246,-0.4793709,1.2696201,0.038053647,-0.656338,-0.24403691,0.994186,0.45700097,0.15541053,-0.12111145,0.9981042,-0.43835008,0.8042698,0.012642041,0.45419502,1.1521525,-0.42301923,-0.6688615,0.6959444,-0.49821657
MATN2,0.8943725,-0.26407242,0.79480183,0.7357838,0.6941362,1.5929894,0.7532294,0.051252194,-0.15534902,0.2771119,0.20135425,0.48899236,-0.16537195,0.13551949,0.6604987,0.5316173,-0.011985183,-0.20372856,0.3583827,0.65825605,-0.2308023,0.33024803,-0.31740737,0.39727813,-0.24573874,-0.1993103,-0.18456322,0.4027957,0.21167521,0.7877385,0.010049313,0.30945152,0.20911014,0.29682505,1.1902888,0.1522257,-0.27569818,0.05310853,-0.22435153,-0.08258301,1.226776,0.2880363,0.17954357,-0.15966678,0.5624884,-0.37326658,0.73425555,-0.1476872,-0.6620641,-0.26831222,0.9271071,0.55589414,0.34344655,-0.03485489,0.7956937,-0.23556077,0.7368045,0.21940415,0.59603,0.8953452,-0.22434038,-0.450836,0.6183192,-0.3258242
MATN3,0.32526422,0.2443487,0.27338377,0.8978243,1.0805744,1.5417308,0.11688945,-0.3584593,0.29299918,-0.28466702,-0.4051562,-0.16045779,0.38709593,-0.32621413,0.6581714,0.03814152,-0.14172828,0.34765527,-0.28873175,0.38703206,0.047353595,0.09475835,-0.49564928,0.7853346,0.0786729,-0.5861499,0.21626312,0.66958237,0.2980436,0.5222819,0.12083337,0.9047699,-0.279431,-0.12204665,0.63489246,-0.33414716,-0.119134545,-0.16108096,0.37723807,0.08574219,1.502151,-0.4426685,0.8459475,0.38982883,0.81689596,-0.2537306,0.4705233,0.52135557,-0.55446553,-0.29680604,1.0467741,-0.113894165,0.23320344,-0.5132209,0.20272025,0.20117967,0.62572885,0.45371047,0.7301824,0.5660711,0.20983088,-0.23870844,1.0681008,-0.17857218
