Protein,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
ADAMTSL4,0.29079932,0.082380965,0.31324872,0.79970527,0.97807854,1.486554,0.21978608,-0.34391427,0.19042866,-0.21442282,-0.40509766,-0.12037212,0.42794016,-0.36629313,0.65352577,0.19508237,-0.16975898,0.21340385,-0.155662,0.34759888,-0.02397126,0.24258,-0.45273846,0.7173734,-0.07848942,-0.50518346,0.2018791,0.64387894,0.28922513,0.5778377,0.20452988,0.850666,-0.20515698,-0.16518503,0.56450665,-0.265588,0.053858265,-0.16977221,0.31498155,0.15680468,1.400378,-0.39150512,0.74349856,0.36014158,0.7627532,-0.2738567,0.3830387,0.41277403,-0.6018221,-0.23928875,1.013923,-0.09646171,0.32186776,-0.4520524,0.2325764,0.12877896,0.48931795,0.42335278,0.6535175,0.48593268,0.29337943,-0.31311888,1.0747545,-0.28559005
ADAMTSL5,0.94137454,-0.2420333,0.8878233,0.623913,0.6456969,1.5644864,0.8261656,0.09790967,-0.25345743,0.46535882,0.195674,0.56191313,-0.05102849,0.26299244,0.6012311,0.5608971,-0.01611048,-0.29395503,0.46650976,0.5057884,-0.26761216,0.53120005,-0.25318575,0.33893284,-0.34195113,-0.16954136,-0.22872925,0.32224584,0.33056712,0.7419296,-0.010092735,0.26015043,0.29984352,0.34281197,1.134331,0.19863379,-0.19442648,-0.10558444,-0.21907717,0.05133316,1.0314232,0.31102172,0.2234723,-0.17837495,0.4309555,-0.4034981,0.86067414,-0.0051008463,-0.6456446,-0.19065773,0.86054015,0.3899772,0.2382755,-0.09535384,0.7599643,-0.3148241,0.617548,0.13186216,0.4177379,0.88814926,-0.2173441,-0.5736568,0.6308262,-0.470308
ADIPOQ,1.0349036,-0.19654804,0.8375761,0.6968411,0.7158184,1.6797812,0.7654364,0.011279732,-0.23215872,0.37214813,0.095323384,0.5428206,-0.09439516,0.2828337,0.6897575,0.4948178,0.028966293,-0.2343179,0.39089158,0.59187704,-0.21257341,0.40379262,-0.3602149,0.4431448,-0.33068728,-0.25837296,-0.22756314,0.3776091,0.2680288,0.7185243,-0.032254457,0.34426123,0.24789909,0.29763165,1.2408707,0.09510681,-0.31350362,0.0064988583,-0.14952987,-0.077920675,1.1608734,0.1919753,0.32137132,-0.11390257,0.556384,-0.45406628,0.90047884,0.053210065,-0.6182877,-0.29960924,0.9406755,0.38980773,0.23095426,-0.18131357,0.8248989,-0.2847271,0.750843,0.2187042,0.5653686,0.9191011,-0.26111668,-0.57730216,0.7392635,-0.43008012
AEBP1,0.8259096,-0.29060084,0.69387597,0.662543,0.6361978,1.4995836,0.6955363,0.012675079,-0.15628707,0.22109923,0.14986673,0.44213328,-0.13283789,0.038357675,0.6292206,0.49457687,-0.06316656,-0.18076915,0.29849967,0.6573732,-0.24084193,0.3528796,-0.3274343,0.3943027,-0.26197237,-0.1969086,-0.16678953,0.3969489,0.21847978,0.7303251,0.10388143,0.35247684,0.18297364,0.21796459,1.0890306,0.141071,-0.23427987,0.08929703,-0.18458176,-0.052296937,1.1883597,0.25002688,0.19432616,-0.11749691,0.5585373,-0.36909062,0.6207839,-0.12967837,-0.644879,-0.25750953,0.8711083,0.5343798,0.340282,-0.05341959,0.7424478,-0.23691976,0.65022874,0.22881983,0.59049827,0.78665495,-0.18782532,-0.44430858,0.66392744,-0.3365445
AGRN,0.30344257,0.19939953,0.20267314,0.6711717,0.8999378,1.2971965,-0.0020569563,-0.28096247,0.15992644,-0.28969908,-0.39168042,-0.049902976,0.45765382,-0.34740216,0.35736495,-0.17975515,-0.36653173,0.34917814,-0.42379433,0.2731623,-0.11269736,0.37597978,-0.4199018,0.57330453,0.18337391,-0.6145967,0.09857862,0.44163758,0.60684913,0.36274004,0.24499257,0.9033743,-0.35512275,-0.21314442,0.5214881,-0.18548274,0.01458171,-0.2351104,0.31598362,0.38846093,1.2945389,-0.3774717,0.9802491,0.37648985,0.5889292,-0.12072414,0.35258925,0.6205808,-0.42959815,-0.1468963,0.8106137,-0.2793101,0.03095463,-0.59676087,0.1237001,0.08150895,0.45783362,0.20505205,0.4719064,0.3362664,0.21199453,-0.32384694,1.1756507,-0.27520293
AGT,0.38449055,0.09389526,0.42844194,0.68755823,0.9737964,1.3958051,0.15238683,-0.20967549,0.1067083,-0.1404683,-0.330275,0.06265767,0.43397915,-0.2565078,0.41912922,-0.0035659075,-0.30319065,0.18570381,-0.2498244,0.2552058,-0.1657241,0.39990118,-0.39450276,0.5408634,0.057727486,-0.588025,-0.0049113035,0.44137055,0.5212729,0.40398264,0.22391747,0.77946633,-0.2807237,-0.12046856,0.5770855,-0.12191051,-0.003242612,-0.27707303,0.24230504,0.33980137,1.272463,-0.30869448,0.8321094,0.23747241,0.5682448,-0.1622774,0.46131983,0.558303,-0.50470316,-0.12515831,0.84034514,-0.2195859,0.10007045,-0.53759664,0.13523021,0.0008802824,0.42835715,0.2117396,0.4473523,0.45906097,0.11730194,-0.3546381,1.0840813,-0.30954117
AMBP,1.1265355,-0.1022529,1.6687529,0.08080229,0.5671574,1.2643421,0.9189584,0.97614074,-0.4207574,1.211666,0.6723472,1.2657015,0.17431708,0.92073894,-0.35101557,0.22933692,-0.42781186,-0.4980446,0.63398117,-0.18615955,-0.5966189,1.4585755,0.63652253,-0.35061318,-0.14971793,-0.4153586,-0.61727476,-0.32050633,1.25368,0.19119713,-0.031085491,-0.26705658,0.06789496,0.5909468,1.0153682,1.0727768,-0.011764944,-0.550671,-0.46781987,1.0826284,0.19768667,0.99955124,0.20411733,-0.5224581,-0.3976556,0.13180065,1.3000548,0.5471093,-0.4760968,0.7064836,0.19526666,-0.2672367,-0.4337474,-0.30536324,0.15348387,-0.5774136,0.036949396,-0.5487497,-0.48317724,0.81418705,-0.45733285,-0.69738996,0.5455418,-0.59742147
ANGPT1,1.2771982,-0.36939996,1.268986,0.48472947,0.56425214,1.6779081,1.1089132,0.36787972,-0.43431515,0.8725039,0.45086074,0.9493704,-0.13815606,0.615234,0.48075232,0.68194443,-0.05869925,-0.5065557,0.80570483,0.4712156,-0.4453606,0.8389184,-0.11560041,0.11039252,-0.46503568,-0.10320836,-0.47087812,0.14371279,0.48466265,0.7502067,-0.023414135,0.011845842,0.43644413,0.56037986,1.3952967,0.4973153,-0.2641151,-0.21389282,-0.39975405,0.18374789,0.8268876,0.6349364,0.09205106,-0.383664,0.22446078,-0.4340796,1.1515028,-0.04120922,-0.65087116,-0.09149772,0.7765737,0.43185955,0.13170803,-0.02143389,0.9058556,-0.51411855,0.5782316,-0.12565577,0.21800126,1.0641751,-0.40962178,-0.7040405,0.58697313,-0.58940685
ANGPT2,1.2893851,-0.3044796,1.447094,0.42579687,0.53394186,1.6140904,1.1505612,0.5605632,-0.44354564,1.0610068,0.58482236,1.063635,-0.107265115,0.79746974,0.2660967,0.6600844,-0.09998846,-0.5383508,0.8743957,0.26699358,-0.4816628,0.9742385,0.1293641,-0.06512755,-0.41506124,-0.13003665,-0.52103245,0.0046322793,0.65244615,0.6590722,-0.13223904,-0.14923662,0.39698902,0.6566512,1.3692561,0.6592547,-0.21942496,-0.33580112,-0.45940495,0.3847915,0.60810614,0.77734333,0.060948677,-0.45394528,-0.0019429326,-0.34034306,1.3066344,0.0831102,-0.6339886,0.11753941,0.6615483,0.26802334,-0.034966767,-0.029667616,0.76993823,-0.541499,0.47257018,-0.27740788,-0.028071404,1.0806726,-0.43725497,-0.715073,0.47733802,-0.5921227
ANGPTL1,1.120543,-0.33161664,0.9749916,0.6525575,0.73219764,1.7533176,0.8903479,0.07719501,-0.29557252,0.49005377,0.1462306,0.65688205,-0.09908235,0.29408836,0.6826877,0.5970435,-0.036589324,-0.35728306,0.5798833,0.6187027,-0.33189565,0.5376238,-0.34712708,0.39833292,-0.42133355,-0.2437455,-0.33655548,0.37651205,0.2765899,0.75825316,0.08840647,0.3097054,0.27222672,0.33194485,1.3086497,0.21032846,-0.30373842,-0.050203264,-0.22415406,-0.020312905,1.1574622,0.2919949,0.2377944,-0.20128131,0.5501437,-0.45938998,0.90002275,-0.040271282,-0.6527626,-0.28264642,0.9497769,0.45169973,0.30848968,-0.13256872,0.86729586,-0.37888604,0.6765135,0.15232962,0.547163,0.9598197,-0.3088138,-0.61218727,0.79837704,-0.4871856
ANGPTL2,1.0914288,0.040691793,1.5726204,0.23102719,0.6143243,1.2540298,0.8098186,0.85875833,-0.37653887,1.0938433,0.64835864,1.1306093,0.09845224,0.97384524,-0.22390872,0.2125051,-0.29999602,-0.41754937,0.48595932,-0.18848324,-0.49037582,1.1490692,0.5338633,-0.2968586,-0.0042722225,-0.3853318,-0.5405248,-0.3038938,1.0949564,0.25857425,-0.23554373,-0.2707523,0.09456126,0.6350305,1.0497087,0.8746489,-0.117454946,-0.5133294,-0.4328032,0.81589127,0.3074714,0.8406384,0.247965,-0.48109365,-0.34744924,0.059847705,1.3715425,0.5582362,-0.46099585,0.55701447,0.25854966,-0.24216992,-0.43296003,-0.28769755,0.20454943,-0.5019405,0.30898783,-0.4782017,-0.4214797,0.8866564,-0.44207972,-0.6562281,0.371875,-0.52151895
ANGPTL3,1.0743843,-0.3863709,0.9609231,0.61324465,0.72478855,1.6968557,0.8942504,0.11529404,-0.28574347,0.4498223,0.18769208,0.6647567,-0.11591488,0.2205182,0.6497586,0.5878321,-0.09248263,-0.3565647,0.5676452,0.66428095,-0.3646943,0.56793016,-0.32862508,0.38816112,-0.41073388,-0.23008257,-0.34011745,0.37859082,0.27313063,0.7667105,0.1802747,0.31394023,0.2716176,0.31206042,1.2736609,0.2683996,-0.28122383,-0.0294379,-0.25163537,0.014284767,1.1847289,0.3648522,0.17279091,-0.22354549,0.5526266,-0.42121488,0.7838912,-0.13473535,-0.6643925,-0.26432782,0.9116632,0.5334905,0.36140758,-0.087117314,0.8503119,-0.3829131,0.6461598,0.13883927,0.5458193,0.92188096,-0.3037811,-0.5785889,0.78980386,-0.47340924
