Gene_Upper,Zscore_Delta_human,Zscore_Old_human,Zscore_Young_human,Zscore_Delta_mouse,Zscore_Old_mouse,Zscore_Young_mouse
CTSZ,0.541279170448234,0.4785579269655715,-0.0627212434826625,0.1493549260169263,0.1689902507796246,0.0196353247626982
AMBP,0.564914086075085,-0.3737190339665749,-0.93863312004166,0.2749175050694729,-0.5678637541989857,-0.8427812592684586
LGALS1,0.4922114594620485,1.2381064949012224,0.7458950354391739,-0.1087320496381729,0.8863689371189892,0.9951009867571622
F2,0.5312870067890659,0.2283889743335793,-0.3028980324554866,0.0702868957779327,0.1425556359616731,0.0722687401837403
CLEC3B,0.5607072884817978,-1.2689803137704243,-1.8296876022522224,-0.1593139362791873,-0.7833254023741831,-0.6240114660949958
CTSB,0.4375303220546576,1.6620041384684172,1.2244738164137596,0.2539379327863567,-0.37596207341225,-0.6299000061986068
FGA,0.4907371115520871,0.2183738491338567,-0.2723632624182303,-0.2391337309548928,0.6344096365522605,0.8735433675071533
ITIH3,0.4169931314942069,-0.1983822680384234,-0.6153753995326304,0.2982777325041279,0.5283541809756228,0.2300764484714949
AGT,0.3526538982307007,1.0076041858321354,0.6549502876014347,0.229930424292943,-0.3723514002989803,-0.6022818245919234
COL6A6,0.3696106827082583,0.1760835144242398,-0.1935271682840184,0.6372552587367648,0.6752198371115711,0.0379645783748062
ANXA5,0.2815989178534249,0.5334209413587346,0.2518220235053097,-0.1089241154404117,1.7653528842628436,1.8742769997032551
FN1,0.3059247691350005,-0.4867431416254394,-0.79266791076044,-0.1666689916388045,-0.3841042981978363,-0.2174353065590318
LUM,0.1705369394363023,1.807105349509282,1.6365684100729796,-0.0171379503179606,-0.7297743817691827,-0.7126364314512221
ITIH1,0.2318433677112791,0.2854883271366055,0.0536449594253263,0.0600362561001566,-0.1338493783293688,-0.1938856344295255
MFGE8,0.2120314580444399,0.630888126374588,0.418856668330148,0.3930651566214073,0.4492789782288111,0.0562138216074037
ITIH2,0.2511965449163372,-0.6687064113107283,-0.9199029562270656,0.184899693931879,1.871766352977232,1.686866659045353
ANXA1,0.1888564459020269,0.2596937968700677,0.0708373509680407,0.0553721678476651,0.0117435018494672,-0.0436286659981978
IGFALS,0.2163968585525565,-0.6456898035931468,-0.8620866621457033,-0.0168288401436058,-0.1534663759606219,-0.136637535817016
ASPN,0.1290230835582675,0.7724152963711161,0.6433922128128485,0.0554400906197428,1.0275818265130263,0.9721417358932836
IGFBP7,0.12216144142278,0.7790112351122173,0.6568497936894372,-0.1223599225024119,-0.3092319011193322,-0.1868719786169202
S100A1,0.094339722980969,1.3856963697976112,1.2913566468166422,0.0913701468159399,0.4138597457237938,0.3224895989078539
S100A6,0.0026582122884284,3.564791376661005,3.5621331643725767,0.2196290105177072,1.5985614482394457,1.3789324377217385
DCN,0.1039405916624603,1.0313835698377063,0.927442978175246,0.1834940558874347,0.5645711463172283,0.3810770904297935
F12,0.1643719176165987,-0.7385263308882065,-0.9028982485048052,0.1170466823190659,-1.5237715316411318,-1.6408182139601977
LTBP1,0.1121770667649031,0.1760806798208394,0.0639036130559362,0.2129888420121246,-1.8608227649460105,-2.073811606958135
COL5A1,0.1400770724004292,-1.6650732275181013,-1.8051502999185305,0.1678546218603416,3.0798767205956095,2.912022098735268
COL6A1,0.0344296939885257,0.2583922644361363,0.2239625704476105,0.459191654844668,0.1165130387163635,-0.3426786161283044
SERPINF2,-0.0001394121127209,1.0712063785107129,1.0713457906234338,0.0358809854418722,0.5315343609461867,0.4956533755043144
CRELD1,-0.0093170493749965,0.8086607365598604,0.8179777859348569,-0.1404957476715738,-0.2896178839781277,-0.1491221363065539
