,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
ANGPTL4,0.0721335,0.0013620481,0.017791694,0.09674413,0.04697705,0.08824238,0.10370055,0.0,0.08854314,0.062369775,0.0,0.08692745,0.15776758,0.20183991,0.17193583,0.0,0.021702994,0.023341991,0.034791026,0.0,0.046612673,0.0,0.16047055,0.0,0.06210123,0.0,0.0437364,0.0028963126,0.0,0.0,0.0,0.022631925
ANGPTL5,0.03285704,0.0,0.00932838,0.0642123,0.09341448,0.0679856,0.09891443,0.0,0.072279446,0.06306265,0.0,0.09222127,0.11613747,0.13948579,0.16492471,0.0,0.0,0.0333652,0.0,0.0,0.02430531,0.0,0.11741962,0.0,0.036992624,0.0,0.0813148,0.007831456,0.020662675,0.0,0.0,0.018936392
ANGPTL7,0.032278914,0.0,0.0069867857,0.06476339,0.1077908,0.06825449,0.107063666,0.0,0.07488958,0.06824231,0.0,0.10168938,0.11801032,0.14396447,0.17013182,0.0,0.0,0.039740007,0.0,0.0,0.024312362,0.0,0.12599428,0.0,0.037197024,0.0,0.08841332,0.007080583,0.025471065,0.0,0.0,0.016466727
ANXA1,0.030171566,0.0,0.0,0.059131283,0.0887128,0.059156425,0.09069105,0.0,0.06305511,0.061291046,0.0,0.08419045,0.106889725,0.12776652,0.13604829,0.0,0.0,0.034074426,0.0,0.0,0.02172212,0.0,0.11541218,0.0,0.029717376,0.0,0.07066052,0.0063704476,0.009511283,0.0,0.0,0.020102788
ANXA11,0.02963595,0.0,0.0022218553,0.042140156,0.08276983,0.05825693,0.07478917,0.0,0.06640363,0.046576988,0.0,0.07274505,0.090660274,0.1075619,0.12873772,0.0,0.0,0.03487175,0.0,0.0,0.022240449,0.0,0.09015259,0.0,0.018020999,0.0,0.06615514,0.0027827462,0.017575258,0.0,0.0,0.014478851
ANXA2,0.026558872,0.0,0.00065957196,0.037963144,0.050669022,0.0476767,0.054342896,0.0,0.04974028,0.035997964,0.0,0.049481485,0.074529365,0.084918514,0.096780166,0.0,0.0,0.023196716,0.0,0.0,0.014734392,0.0,0.0693393,0.0,0.013251256,0.0,0.044225685,0.0038826503,0.0048706047,0.0,0.0,0.01568905
ANXA2;ANXA2P2,0.032278914,0.0,0.0069867857,0.06476339,0.1077908,0.06825449,0.107063666,0.0,0.07488958,0.06824231,0.0,0.10168938,0.11801032,0.14396447,0.17013182,0.0,0.0,0.039740007,0.0,0.0,0.024312362,0.0,0.12599428,0.0,0.037197024,0.0,0.08841332,0.007080583,0.025471065,0.0,0.0,0.016466727
ANXA3,0.030084837,0.0,0.0,0.058318604,0.082448065,0.057395015,0.08562156,0.0,0.062317055,0.059510328,0.0,0.07862144,0.10601183,0.12313267,0.13393454,0.0,0.0,0.030075172,0.0,0.0,0.019986637,0.0,0.11049171,0.0,0.02992026,0.0,0.069300726,0.006614236,0.008620186,0.0,0.0,0.020605449
ANXA4,0.028700631,0.0,0.002368059,0.055274952,0.09035394,0.05971014,0.09014591,0.0,0.063994505,0.05684039,0.0,0.08588664,0.101242445,0.12180049,0.14176385,0.0,0.0,0.034889527,0.0,0.0,0.02065327,0.0,0.10750574,0.0,0.027521828,0.0,0.07475647,0.0041092066,0.01766212,0.0,0.0,0.017337095
ANXA5,0.024884863,0.0,0.0,0.04325332,0.08143823,0.057415288,0.076118134,0.0,0.059288815,0.046841692,0.0,0.072670095,0.09032649,0.10260366,0.122870415,0.0,0.0,0.03566391,0.0,0.0,0.01956981,0.0,0.08944431,0.0,0.013834527,0.0,0.06642407,0.0067672823,0.01824268,0.0,0.0,0.01798115
ANXA6,0.028199777,0.0,0.0039266963,0.043011542,0.080137275,0.05466193,0.075073905,0.0,0.061742276,0.04554166,0.0,0.073303446,0.084308,0.10369608,0.124593824,0.0,0.0,0.033599112,0.0,0.0,0.019728508,0.0,0.087008715,0.0,0.019416332,0.0,0.06407923,0.0010659639,0.016931325,0.0,0.0,0.012741204
ANXA7,0.028118532,0.0,0.0003503561,0.041837562,0.08195256,0.055390146,0.073789805,0.0,0.06270938,0.04646601,0.0,0.07187823,0.08732434,0.10381487,0.12306532,0.0,0.0,0.034993224,0.0,0.0,0.020519104,0.0,0.08892319,0.0,0.016700944,0.0,0.06414989,0.0031269034,0.016642885,0.0,0.0,0.014403785
ARG1,0.029911421,0.0,0.014318623,0.039693862,0.083150685,0.07545883,0.07848452,0.0,0.07612243,0.043255806,0.0,0.074515805,0.10511789,0.112161495,0.15900941,0.0,0.0,0.03683379,0.0,0.0,0.025947992,0.0,0.08108551,0.0,0.013872165,0.0,0.08016552,0.013955144,0.034680262,0.0,0.0,0.019413793
