Gene_Symbol,Compartment_A,Compartment_B,DeltaZ_A,DeltaZ_B,Antagonism_Magnitude,Tissue
Nid2,Skeletal_muscle_EDL,Skeletal_muscle_TA,0.1832744621772061,-0.7576541023959089,0.940928564573115,Skeletal muscle
LGALS1,Glomerular,Tubulointerstitial,-0.6010006274187446,0.3352691772379078,0.9362698046566524,Kidney
BGN,Cortex,Ovary,-0.4857961386878002,0.4458013492513576,0.9315974879391578,Ovary
ACAN,Glomerular,Tubulointerstitial,0.736538361953986,-0.1923836905906011,0.9289220525445872,Kidney
Gpc1,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,-0.3222510402141955,0.6056901228895779,0.9279411631037734,Skeletal muscle
Tgfbi,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,0.4641450042038717,-0.4590016310800945,0.9231466352839662,Skeletal muscle
Fmod,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,-0.5780332041665831,0.3254699920473745,0.9035031962139576,Skeletal muscle
Vwa1,Skeletal_muscle_EDL,Skeletal_muscle_Gastrocnemius,0.5536955617128403,-0.3451654602906017,0.898861022003442,Skeletal muscle
Tgm2,Skeletal_muscle_Soleus,Skeletal_muscle_TA,0.1693690502121227,-0.7252697718124828,0.8946388220246054,Skeletal muscle
Cpn2,Skeletal_muscle_Soleus,Skeletal_muscle_TA,-0.3723628472783662,0.5218738519043976,0.8942366991827638,Skeletal muscle
INHBE,Glomerular,Tubulointerstitial,0.3235923313832928,-0.5692477828673704,0.8928401142506632,Kidney
Gpc4,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,-0.3678354802983077,0.5226041439404969,0.8904396242388046,Skeletal muscle
Serpina6,Skeletal_muscle_Soleus,Skeletal_muscle_TA,-0.1250343715355219,0.7648918291634982,0.8899262006990201,Skeletal muscle
Fgg,Decellularized_Tissue,Native_Tissue,0.5511452837308801,-0.3344247467227479,0.885570030453628,Heart
Tgfbi,Decellularized_Tissue,Native_Tissue,-0.111235665765211,0.7705367239110924,0.8817723896763034,Heart
KNG1,Cortex,Ovary,-0.2739201011754243,0.6074902976352952,0.8814103988107195,Ovary
Mbl2,Skeletal_muscle_Soleus,Skeletal_muscle_TA,-0.0295387663024024,0.8494518156907782,0.8789905819931806,Skeletal muscle
LAMC1,NP,OAF,0.2776504199780004,-0.5936807827765721,0.8713312027545725,Intervertebral_disc
Col3a1,Cortex,Hippocampus,-0.0382211543201398,0.8321255015710417,0.8703466558911815,Brain
COL1A2,Glomerular,Tubulointerstitial,0.355299122161288,-0.5088375852763438,0.8641367074376318,Kidney
Ogn,Skeletal_muscle_EDL,Skeletal_muscle_Gastrocnemius,0.2781571646934343,-0.5843531201734579,0.8625102848668922,Skeletal muscle
SPON1,NP,OAF,-0.1281786940287483,0.734007882294053,0.8621865763228013,Intervertebral_disc
Gpc1,Skeletal_muscle_Soleus,Skeletal_muscle_TA,-0.2497380660067978,0.6056901228895779,0.8554281888963757,Skeletal muscle
Ctsl,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,-0.5931861329672765,0.2556097117324761,0.8487958446997526,Skeletal muscle
Vcan,Decellularized_Tissue,Native_Tissue,0.427831483689418,-0.4191180267437974,0.8469495104332154,Heart
S100a9,Cortex,Hippocampus,0.7461884711711876,-0.100364622929674,0.8465530941008615,Brain
TINAGL1,NP,OAF,-0.7761579165671415,0.0701910360195363,0.8463489525866779,Intervertebral_disc
ANXA7,Glomerular,Tubulointerstitial,0.4487365861118117,-0.3953837917615798,0.8441203778733914,Kidney
Tgm2,Decellularized_Tissue,Native_Tissue,-0.7545941925456342,0.0790823437004569,0.8336765362460911,Heart
HRNR,NP,OAF,0.69291767697239,-0.1382253936339486,0.8311430706063386,Intervertebral_disc
Serpinf2,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,0.3487591330092841,-0.4769528276100148,0.8257119606192989,Skeletal muscle
Lama2,Skeletal_muscle_EDL,Skeletal_muscle_TA,0.0230392810135442,-0.8005036158673935,0.8235428968809377,Skeletal muscle
Itih5,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,0.058292139109009,-0.7604451079762162,0.8187372470852252,Skeletal muscle
Itih2,Decellularized_Tissue,Native_Tissue,-0.409276082405801,0.3982892797150491,0.8075653621208501,Heart
ANGPTL6,Glomerular,Tubulointerstitial,0.5735904606756048,-0.2214006015491141,0.7949910622247189,Kidney
Ctsz,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,0.4215447822961161,-0.3707548977096047,0.7922996800057207,Skeletal muscle
ADAM15,Glomerular,Tubulointerstitial,-0.6237814885910411,0.1663437748268171,0.7901252634178582,Kidney
Gpc4,Cortex,Hippocampus,-0.6416479842612639,0.1455771832309838,0.7872251674922477,Brain
Fn1,Decellularized_Tissue,Native_Tissue,0.0685233114559445,-0.7141049117387163,0.7826282231946607,Heart
ITIH1,Cortex,Ovary,0.6209557709029162,-0.1562588402948845,0.7772146111978007,Ovary
CLEC18B,Glomerular,Tubulointerstitial,0.3678469639294076,-0.4024431389670401,0.7702901028964477,Kidney
Serpina1b,Skeletal_muscle_Soleus,Skeletal_muscle_TA,-0.1412527545942297,0.6194795199333326,0.7607322745275623,Skeletal muscle
Kng1,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,0.6787129776920469,-0.0789350814728663,0.7576480591649132,Skeletal muscle
Serpina1b,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,0.6142484246937547,-0.1412527545942297,0.7555011792879844,Skeletal muscle
Lama4,Decellularized_Tissue,Native_Tissue,0.1943763753942286,-0.5468955110625235,0.7412718864567521,Heart
ANXA11,Cortex,Ovary,0.203810162101805,-0.5349861221873486,0.7387962842891537,Ovary
LMAN1,Glomerular,Tubulointerstitial,0.582951123873998,-0.1536067498248843,0.7365578736988823,Kidney
Tgm2,Skeletal_muscle_EDL,Skeletal_muscle_TA,0.0064474014929363,-0.7252697718124828,0.7317171733054191,Skeletal muscle
Ecm1,Skeletal_muscle_Soleus,Skeletal_muscle_TA,-0.6277739413021184,0.0979321216152404,0.7257060629173588,Skeletal muscle
F13B,NP,OAF,0.5727827328077109,-0.1433626624448164,0.7161453952525273,Intervertebral_disc
S100A11,Glomerular,Tubulointerstitial,-0.0457856088142844,0.6689004610349857,0.7146860698492701,Kidney
Tinagl1,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,0.1404560859880525,-0.5705156243958944,0.7109717103839469,Skeletal muscle
Col6a6,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,0.0486104605684552,-0.661160336546845,0.7097707971153002,Skeletal muscle
Pzp,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,0.1452318753025122,-0.5640986318273183,0.7093305071298306,Skeletal muscle
VEGFA,IAF,OAF,-0.6408651652282169,0.0658006630115599,0.7066658282397769,Intervertebral_disc
PXDN,Glomerular,Tubulointerstitial,0.5611174627321099,-0.1411662288255265,0.7022836915576365,Kidney
Anxa4,Decellularized_Tissue,Native_Tissue,0.5101671171110493,-0.189838436928824,0.7000055540398733,Heart
Ogfod1,Cortex,Hippocampus,0.0844300419645413,-0.6152470524954038,0.6996770944599451,Brain
Col6a1,Skeletal_muscle_EDL,Skeletal_muscle_Gastrocnemius,-0.4779290312514246,0.2194430664077727,0.6973720976591973,Skeletal muscle
HMCN1,IAF,NP,-0.4882484455313498,0.2079714719040087,0.6962199174353585,Intervertebral_disc
Vwa5a,Cortex,Hippocampus,0.5106525266310705,-0.1745686915465603,0.6852212181776308,Brain
CTSB,IAF,NP,0.5373025168766502,-0.1473749793960505,0.6846774962727007,Intervertebral_disc
Vwa1,Skeletal_muscle_Soleus,Skeletal_muscle_TA,0.0486819122150044,-0.6356879083653479,0.6843698205803523,Skeletal muscle
DSP,Glomerular,Tubulointerstitial,-0.427120829651511,0.2571939017127953,0.6843147313643063,Kidney
Col12a1,Skeletal_muscle_EDL,Skeletal_muscle_Gastrocnemius,0.5813052073677161,-0.1029298489217931,0.6842350562895092,Skeletal muscle
Ctsz,Skeletal_muscle_EDL,Skeletal_muscle_TA,-0.6782823811590399,0.0056514255811789,0.6839338067402189,Skeletal muscle
Kng1,Skeletal_muscle_Soleus,Skeletal_muscle_TA,-0.0789350814728663,0.6008146897783957,0.679749771251262,Skeletal muscle
S100a11,Decellularized_Tissue,Native_Tissue,0.0035127074544296,-0.6750386316084038,0.6785513390628334,Heart
F2,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,0.4153542858685534,-0.2615993686230078,0.6769536544915612,Skeletal muscle
ANGPTL4,NP,OAF,0.4477245796060254,-0.2290304657758276,0.676755045381853,Intervertebral_disc
Col6a2,Skeletal_muscle_EDL,Skeletal_muscle_Gastrocnemius,-0.3385227889456255,0.3337025900712694,0.6722253790168948,Skeletal muscle
HRG,Glomerular,Tubulointerstitial,-0.2291284246213289,0.441104092055471,0.6702325166768,Kidney
Fgb,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,-0.6215686452884359,0.0468052623279016,0.6683739076163375,Skeletal muscle
COL3A1,Glomerular,Tubulointerstitial,0.3517716901780267,-0.31263194043772213,0.6644036306157488,Kidney
Nid1,Skeletal_muscle_EDL,Skeletal_muscle_TA,0.1262285040503931,-0.5313389080123745,0.6575674120627676,Skeletal muscle
Serpine2,Cortex,Hippocampus,0.2152492260736385,-0.4348454571458084,0.650094683219447,Brain
Ltbp1,Decellularized_Tissue,Native_Tissue,-0.2825893426656842,0.3659850190851021,0.6485743617507863,Heart
Gpc4,Skeletal_muscle_Soleus,Skeletal_muscle_TA,-0.1227376618057471,0.5226041439404969,0.645341805746244,Skeletal muscle
LAMA4,Cortex,Ovary,0.0814614005211961,-0.5401480434981154,0.6216094440193115,Ovary
SERPINH1,NP,OAF,-0.6161446634747022,0.0016857518525855,0.6178304153272877,Intervertebral_disc
ANGPTL4,IAF,OAF,0.3876012242905445,-0.2290304657758276,0.6166316900663721,Intervertebral_disc
COL22A1,Glomerular,Tubulointerstitial,0.0196289674669917,-0.594015977028477,0.6136449444954687,Kidney
COL4A2,IAF,OAF,0.3512010202059882,-0.2535655778493352,0.6047665980553234,Intervertebral_disc
S100A11,NP,OAF,-0.5306386190344543,0.0737178204282247,0.604356439462679,Intervertebral_disc
Pzp,Skeletal_muscle_EDL,Skeletal_muscle_TA,-0.226121408563581,0.3780627939030894,0.6041842024666704,Skeletal muscle
Tgfbi,Skeletal_muscle_EDL,Skeletal_muscle_Gastrocnemius,-0.1386340174819555,0.4641450042038717,0.6027790216858272,Skeletal muscle
EMILIN2,Glomerular,Tubulointerstitial,0.5968731599263538,-0.0022857019928689,0.5991588619192227,Kidney
MDK,NP,OAF,-0.5554019575655489,0.0421014281638401,0.597503385729389,Intervertebral_disc
CTSF,NP,OAF,-0.4343850088070311,0.1630613746218863,0.5974463834289174,Intervertebral_disc
Lama3,Cortex,Hippocampus,-0.287839442400603,0.3058247546455104,0.5936641970461134,Brain
Serpinf2,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,0.1152534983459008,-0.4769528276100148,0.5922063259559156,Skeletal muscle
Col25a1,Cortex,Hippocampus,-0.4693946157399135,0.1226080053920042,0.5920026211319177,Brain
S100A11,IAF,OAF,-0.5161216896266078,0.0737178204282247,0.5898395100548325,Intervertebral_disc
LAMA4,IAF,OAF,0.1052596979471591,-0.4842591829069284,0.5895188808540874,Intervertebral_disc
SERPINE1,NP,OAF,0.282100986234839,-0.2972965564423132,0.5793975426771522,Intervertebral_disc
Serpina1d,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,0.2857526145455411,-0.2818241356853705,0.5675767502309116,Skeletal muscle
Serpinb6,Decellularized_Tissue,Native_Tissue,0.451727616436344,-0.1144423590917634,0.5661699755281074,Heart
Sparcl1,Cortex,Hippocampus,-0.4066344004428813,0.1591153071621932,0.5657497076050745,Brain
Lgalsl,Cortex,Hippocampus,0.401333846256788,-0.1616959748309083,0.5630298210876963,Brain
Lum,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,0.4291338493087773,-0.1333557476446514,0.5624895969534287,Skeletal muscle
CLEC5A,Glomerular,Tubulointerstitial,0.3510660157725085,-0.2090664969421246,0.560132512714633,Kidney
IGFBP6,IAF,OAF,0.0407800163164417,-0.5180448455755946,0.5588248618920363,Intervertebral_disc
GDF10,NP,OAF,-0.2636634940871036,0.2948270834054088,0.5584905774925124,Intervertebral_disc
LAMB1,IAF,NP,0.2025780906064369,-0.3529396463069044,0.5555177369133413,Intervertebral_disc
LAMB4,Glomerular,Tubulointerstitial,0.4630187889642471,-0.0913975152357439,0.554416304199991,Kidney
ANXA2,Glomerular,Tubulointerstitial,-0.0598182680225135,0.4915343428644222,0.5513526108869358,Kidney
NID1,NP,OAF,0.0516646424407312,-0.4941919713094291,0.5458566137501603,Intervertebral_disc
Aspn,Decellularized_Tissue,Native_Tissue,-0.3855638745181595,0.1493624302696485,0.534926304787808,Heart
Serpinb9,Cortex,Hippocampus,0.06249301839641,-0.4719556703281464,0.5344486887245564,Brain
MBL2,IAF,OAF,0.0313805301887014,-0.489554779108242,0.5209353092969434,Intervertebral_disc
PDGFD,IAF,NP,-0.2336135901113362,0.285999829401986,0.5196134195133222,Intervertebral_disc
Lama5,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,0.13725960439379,-0.3779740990687356,0.5152337034625256,Skeletal muscle
C1QB,NP,OAF,0.418314060771585,-0.0969170723015222,0.5152311330731072,Intervertebral_disc
Ctsa,Cortex,Hippocampus,-0.0318372653754406,0.4798694933144932,0.5117067586899338,Brain
C1QTNF5,Glomerular,Tubulointerstitial,0.5097127283103375,-0.0005972636732458,0.5103099919835833,Kidney
SERPINB1,IAF,OAF,-0.4595106073534585,0.049926165561102,0.5094367729145605,Intervertebral_disc
Lama5,Skeletal_muscle_EDL,Skeletal_muscle_TA,0.13725960439379,-0.3647493576017508,0.5020089619955408,Skeletal muscle
COL5A3,Glomerular,Tubulointerstitial,-0.4654838102129204,0.0363551203614328,0.5018389305743532,Kidney
Lum,Skeletal_muscle_EDL,Skeletal_muscle_TA,0.3682433648099348,-0.1333557476446514,0.5015991124545862,Skeletal muscle
KAL1,NP,OAF,-0.4731214869342074,0.0280240785672464,0.5011455655014538,Intervertebral_disc
Serpind1,Skeletal_muscle_Soleus,Skeletal_muscle_TA,-0.1946330111437429,0.3037449817832554,0.49837799292699825,Skeletal muscle
Nid1,Cortex,Hippocampus,0.2021273371331177,-0.2908380040495825,0.4929653411827002,Brain
Ctsl,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,-0.2355008574602635,0.2556097117324761,0.4911105691927396,Skeletal muscle
Cx3cl1,Cortex,Hippocampus,0.238095195908159,-0.2507753847451228,0.4888705806532818,Brain
Lama2,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,-0.0350545665844742,0.4537701468938966,0.4888247134783708,Skeletal muscle
COL7A1,NP,OAF,-0.2846731093425221,0.2034864006139961,0.4881595099565182,Intervertebral_disc
Dsp,Decellularized_Tissue,Native_Tissue,0.00099986436404,-0.4870497885442783,0.48804965290831825,Heart
INHBA,IAF,OAF,-0.1586397986519273,0.3258112494628886,0.4844510481148159,Intervertebral_disc
Ntn1,Decellularized_Tissue,Native_Tissue,0.0514788003938404,-0.4324178164636566,0.483896616857497,Heart
Fgf13,Decellularized_Tissue,Native_Tissue,-0.2837123910831838,0.1994877034070697,0.4832000944902535,Heart
MMP3,IAF,OAF,0.1633699387672643,-0.3184160672701632,0.4817860060374275,Intervertebral_disc
Ogn,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,0.2781571646934343,-0.201254274271821,0.4794114389652553,Skeletal muscle
ITIH4,Cortex,Ovary,0.2588451087471763,-0.2199893462943931,0.4788344550415694,Ovary
NRP1,NP,OAF,-0.1529510607558562,0.3236282893924735,0.47657935014832975,Intervertebral_disc
SERPINF2,Glomerular,Tubulointerstitial,-0.4308336639122539,0.0433714536212903,0.4742051175335442,Kidney
COL8A2,Glomerular,Tubulointerstitial,0.0287525301884074,-0.4449334529924366,0.473685983180844,Kidney
Tinagl1,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,0.1404560859880525,-0.3270078567867498,0.4674639427748023,Skeletal muscle
LAMA2,IAF,OAF,0.0689467464764455,-0.3937726564926287,0.4627194029690742,Intervertebral_disc
CTSB,NP,OAF,-0.1473749793960505,0.3142453528317571,0.4616203322278076,Intervertebral_disc
INHBA,NP,OAF,-0.1321547784284499,0.3258112494628886,0.45796602789133845,Intervertebral_disc
MMP3,NP,OAF,0.1350704609862252,-0.3184160672701632,0.45348652825638835,Intervertebral_disc
Lama4,Cortex,Hippocampus,-0.3646957451453091,0.0853460087668953,0.4500417539122044,Brain
C1QB,IAF,OAF,0.3504157466813923,-0.0969170723015222,0.4473328189829145,Intervertebral_disc
Ecm1,Skeletal_muscle_EDL,Skeletal_muscle_TA,-0.3470134228660557,0.0979321216152404,0.4449455444812961,Skeletal muscle
Col3a1,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,0.0718264771336861,-0.3701039165709536,0.4419303937046397,Skeletal muscle
WISP2,IAF,OAF,0.4343606932551265,-0.0043253313020124,0.4386860245571389,Intervertebral_disc
Col18a1,Skeletal_muscle_Soleus,Skeletal_muscle_TA,0.2284156162717239,-0.2101190411541198,0.43853465742584374,Skeletal muscle
HYAL1,NP,OAF,-0.183924795011086,0.2540314055991945,0.4379562006102805,Intervertebral_disc
SLPI,Glomerular,Tubulointerstitial,0.150771539479763,-0.2869793470824021,0.4377508865621651,Kidney
Ctsb,Cortex,Hippocampus,0.4087096546782803,-0.0274897911963158,0.4361994458745961,Brain
THBS1,IAF,OAF,0.0722861419699297,-0.3615828346449405,0.4338689766148702,Intervertebral_disc
LMAN1,Cortex,Ovary,-0.228131793222503,0.2054831941489554,0.4336149873714584,Ovary
C1QB,Glomerular,Tubulointerstitial,0.3000499177173252,-0.1327715492263262,0.4328214669436514,Kidney
Igfbp5,Cortex,Hippocampus,-0.0843671165069605,0.3483893274282015,0.432756443935162,Brain
Fbln1,Skeletal_muscle_Soleus,Skeletal_muscle_TA,-0.2774290276061624,0.1500968141552622,0.4275258417614246,Skeletal muscle
PDGFD,NP,OAF,0.285999829401986,-0.1382253936339486,0.4242252230359346,Intervertebral_disc
LAMB1,IAF,OAF,0.2025780906064369,-0.2208004748663755,0.4233785654728124,Intervertebral_disc
Serpina1d,Skeletal_muscle_Soleus,Skeletal_muscle_TA,-0.2818241356853705,0.1410901353951074,0.4229142710804779,Skeletal muscle
SEMA3B,IAF,NP,0.198761978559132,-0.2219752974300826,0.4207372759892146,Intervertebral_disc
Sdc4,Cortex,Hippocampus,0.2126901748802573,-0.20452363278762,0.4172138076678773,Brain
Papln,Decellularized_Tissue,Native_Tissue,-0.114587666365917,0.2994518674135834,0.41403953377950037,Heart
GDF10,IAF,OAF,-0.1175834778104222,0.2948270834054088,0.412410561215831,Intervertebral_disc
Nid1,Skeletal_muscle_EDL,Skeletal_muscle_Gastrocnemius,0.1262285040503931,-0.2856134210713387,0.4118419251217318,Skeletal muscle
Col1a2,Skeletal_muscle_EDL,Skeletal_muscle_Gastrocnemius,-0.066815013893139,0.3440345391881427,0.4108495530812817,Skeletal muscle
Ngly1,Cortex,Hippocampus,-0.1282337228377014,0.282231136140636,0.4104648589783374,Brain
F2,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,0.1471365853320602,-0.2615993686230078,0.408735953955068,Skeletal muscle
FAM20C,IAF,OAF,0.1826646645104944,-0.2190306669500526,0.40169533146054703,Intervertebral_disc
Hspg2,Decellularized_Tissue,Native_Tissue,0.07021313310142,-0.3302988568884828,0.4005119899899028,Heart
Tgm2,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,-0.2300031970942945,0.1693690502121227,0.3993722473064172,Skeletal muscle
VEGFA,NP,OAF,-0.331076699339431,0.0658006630115599,0.3968773623509909,Intervertebral_disc
FAM20C,IAF,NP,0.1826646645104944,-0.2141334732486128,0.3967981377591072,Intervertebral_disc
SFRP1,IAF,OAF,-0.1118961937989547,0.2843003407690887,0.39619653456804343,Intervertebral_disc
SEMA3E,NP,OAF,-0.2676506129486009,0.127944870052006,0.3955954830006069,Intervertebral_disc
Vwa1,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,-0.3451654602906017,0.0486819122150044,0.3938473725056061,Skeletal muscle
Cap2,Cortex,Hippocampus,-0.2173293466120229,0.1758352408038866,0.39316458741590954,Brain
INHBC,Glomerular,Tubulointerstitial,0.0685945691531557,-0.3239063193815973,0.392500888534753,Kidney
OMD,IAF,OAF,0.2802487810392065,-0.1068752703001459,0.38712405133935235,Intervertebral_disc
MDK,IAF,OAF,-0.3408232563582025,0.0421014281638401,0.3829246845220426,Intervertebral_disc
Ctsz,Skeletal_muscle_Soleus,Skeletal_muscle_TA,-0.3707548977096047,0.0056514255811789,0.3764063232907836,Skeletal muscle
Ctsc,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,0.1751891423040415,-0.1996800585627461,0.3748692008667876,Skeletal muscle
THBS1,IAF,NP,0.0722861419699297,-0.3025047996013207,0.3747909415712504,Intervertebral_disc
WIF1,IAF,NP,0.2402950159544577,-0.1342145446299631,0.3745095605844208,Intervertebral_disc
MIF,IAF,OAF,-0.3011590113103,0.073106808279483,0.374265819589783,Intervertebral_disc
CPAMD8,NP,OAF,-0.3128624810717794,0.0607002282663985,0.37356270933817787,Intervertebral_disc
HGFAC,IAF,OAF,0.2268125041016089,-0.1455575394188392,0.3723700435204481,Intervertebral_disc
Pzp,Skeletal_muscle_EDL,Skeletal_muscle_Gastrocnemius,-0.226121408563581,0.1452318753025122,0.37135328386609323,Skeletal muscle
Sparc,Cortex,Hippocampus,0.0022163865645157,-0.368240734659543,0.3704571212240587,Brain
AGT,NP,OAF,0.3194268923293748,-0.0500552769131323,0.3694821692425071,Intervertebral_disc
Anxa5,Skeletal_muscle_EDL,Skeletal_muscle_TA,-0.3518819397996469,0.0167947008950653,0.3686766406947122,Skeletal muscle
Lum,Skeletal_muscle_Soleus,Skeletal_muscle_TA,0.2334408840377273,-0.1333557476446514,0.36679663168237875,Skeletal muscle
COL4A2,NP,OAF,0.1104184226184549,-0.2535655778493352,0.3639840004677901,Intervertebral_disc
SPON2,IAF,OAF,0.1111452833537265,-0.2525119659913036,0.3636572493450301,Intervertebral_disc
LAMA4,IAF,NP,0.1052596979471591,-0.2533131689245063,0.3585728668716654,Intervertebral_disc
Nid2,Skeletal_muscle_EDL,Skeletal_muscle_Gastrocnemius,0.1832744621772061,-0.1740341529485527,0.35730861512575884,Skeletal muscle
Plg,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,0.2904579257230326,-0.0654244142806671,0.35588234000369967,Skeletal muscle
SMOC1,IAF,OAF,-0.2461264081421467,0.108231339993093,0.3543577481352397,Intervertebral_disc
SEMA3C,NP,OAF,-0.3060505399910673,0.0479491414034907,0.353999681394558,Intervertebral_disc
CLEC11A,IAF,OAF,0.1143498338985424,-0.2394064054137371,0.3537562393122795,Intervertebral_disc
Ogn,Skeletal_muscle_EDL,Skeletal_muscle_TA,0.2781571646934343,-0.0731823738152511,0.35133953850868543,Skeletal muscle
Plg,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,0.2904579257230326,-0.0608000503441773,0.3512579760672099,Skeletal muscle
Fgb,Skeletal_muscle_Soleus,Skeletal_muscle_TA,0.0468052623279016,-0.2964894050736065,0.3432946674015081,Skeletal muscle
Nid1,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,0.1262285040503931,-0.2151243394051456,0.34135284345553873,Skeletal muscle
SEMA3E,IAF,OAF,-0.2126075233283945,0.127944870052006,0.3405523933804005,Intervertebral_disc
FREM1,Glomerular,Tubulointerstitial,-0.2944373548945342,0.0382537520151548,0.332691106909689,Kidney
SERPINE1,IAF,NP,-0.0415666210127848,0.282100986234839,0.3236676072476238,Intervertebral_disc
ISM2,NP,OAF,0.0827671120835559,-0.2398614144606721,0.322628526544228,Intervertebral_disc
FBLN1,IAF,NP,0.140907149935915,-0.1793749185981045,0.3202820685340195,Intervertebral_disc
Serpind1,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,0.1249962662538554,-0.1946330111437429,0.3196292773975983,Skeletal muscle
HYAL1,IAF,OAF,-0.0639826107148903,0.2540314055991945,0.3180140163140848,Intervertebral_disc
SMOC1,NP,OAF,-0.2084838288101809,0.108231339993093,0.3167151688032739,Intervertebral_disc
COL7A1,IAF,NP,0.0296394439397231,-0.2846731093425221,0.3143125532822452,Intervertebral_disc
LEFTY2;LEFTY1,IAF,OAF,-0.1650484039880727,0.1490120675020499,0.3140604714901226,Intervertebral_disc
Fbln1,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,0.0353978967040093,-0.2774290276061624,0.3128269243101717,Skeletal muscle
ADAMTSL2,NP,OAF,0.1709821168941859,-0.1402599340866709,0.3112420509808568,Intervertebral_disc
Mmrn2,Cortex,Hippocampus,0.1939869182603982,-0.1170318205222603,0.3110187387826585,Brain
Fbln1,Skeletal_muscle_EDL,Skeletal_muscle_TA,-0.1580127957332997,0.1500968141552622,0.3081096098885619,Skeletal muscle
FBLN1,NP,OAF,-0.1793749185981045,0.1283059058019001,0.3076808244000046,Intervertebral_disc
Mbp,Cortex,Hippocampus,0.24475214721416982,-0.061651811132682977,0.3064039583468528,Brain
Col18a1,Skeletal_muscle_EDL,Skeletal_muscle_TA,0.0945860989691343,-0.2101190411541198,0.3047051401232541,Skeletal muscle
OMD,IAF,NP,0.2802487810392065,-0.0226708485102499,0.3029196295494564,Intervertebral_disc
ANXA2,Cortex,Ovary,-0.098115664770601,0.2040527157935438,0.3021683805641448,Ovary
HTRA3,IAF,OAF,0.2174031029041142,-0.0798152322660197,0.2972183351701339,Intervertebral_disc
S100a13,Cortex,Hippocampus,0.2612740085915526,-0.0342606436236525,0.2955346522152051,Brain
LGALS8,Glomerular,Tubulointerstitial,-0.1877912829641643,0.1030588571317546,0.2908501400959189,Kidney
SCUBE3,IAF,OAF,-0.231884401946065,0.0556268773930747,0.28751127933913967,Intervertebral_disc
CTSF,IAF,OAF,-0.1196101180683447,0.1630613746218863,0.282671492690231,Intervertebral_disc
ADAMTSL2,IAF,NP,-0.1098854176526398,0.1709821168941859,0.2808675345468257,Intervertebral_disc
Tinagl1,Skeletal_muscle_EDL,Skeletal_muscle_Gastrocnemius,-0.1392980098949495,0.1404560859880525,0.27975409588300204,Skeletal muscle
Col6a6,Skeletal_muscle_EDL,Skeletal_muscle_Gastrocnemius,-0.2286514058893379,0.0486104605684552,0.2772618664577931,Skeletal muscle
HTRA3,NP,OAF,0.1952156340703627,-0.0798152322660197,0.2750308663363824,Intervertebral_disc
Pik3ip1,Cortex,Hippocampus,-0.1966603334677754,0.0779657503574146,0.27462608382519,Brain
Cst3,Skeletal_muscle_EDL,Skeletal_muscle_Gastrocnemius,0.0079474074212355,-0.266008329925659,0.2739557373468945,Skeletal muscle
PF4;PF4V1,NP,OAF,-0.2590731579808768,0.0088768645302847,0.2679500225111615,Intervertebral_disc
SERPINB1,NP,OAF,-0.2166861120769139,0.049926165561102,0.2666122776380159,Intervertebral_disc
ITIH6,NP,OAF,-0.1296131740619437,0.136025695657947,0.2656388697198907,Intervertebral_disc
HGFAC,IAF,NP,0.2268125041016089,-0.0325816342780576,0.2593941383796665,Intervertebral_disc
Kng1,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,0.1802297656003263,-0.0789350814728663,0.2591648470731926,Skeletal muscle
