Gene_Symbol,Compartment_A,Compartment_B,DeltaZ_A,DeltaZ_B,Antagonism_Magnitude,Tissue
Fbn1,Skeletal_muscle_EDL,Skeletal_muscle_Gastrocnemius,-1.1048760535705373,0.392106437462429,1.4969824910329663,Skeletal muscle
Serpinb1a,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,0.933766970968866,-0.5430617504503122,1.4768287214191782,Skeletal muscle
Ctsc,Skeletal_muscle_Soleus,Skeletal_muscle_TA,-0.1996800585627461,1.2708442640092086,1.4705243225719546,Skeletal muscle
FGA,Cortex,Ovary,-0.6260514058273221,0.8262421360769909,1.452293541904313,Ovary
Fmod,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,-1.121920121539489,0.3254699920473745,1.4473901135868634,Skeletal muscle
S100a10,Cortex,Hippocampus,-0.0313706880553745,1.4144352754517786,1.4458059635071532,Brain
C1qtnf9,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,0.3734095105410142,-1.0661837441141344,1.4395932546551486,Skeletal muscle
CTSZ,IAF,NP,0.0222665980699045,-1.4054431838740276,1.4277097819439322,Intervertebral_disc
COL15A1,Glomerular,Tubulointerstitial,1.2121423275969752,-0.2138166663304893,1.4259589939274644,Kidney
Serpina1d,Skeletal_muscle_EDL,Skeletal_muscle_Gastrocnemius,0.2857526145455411,-1.139213967009967,1.4249665815555081,Skeletal muscle
Col3a1,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,0.0718264771336861,-1.3484124771811576,1.4202389543148437,Skeletal muscle
Dpt,Skeletal_muscle_EDL,Skeletal_muscle_TA,0.6104611365002272,-0.7950656670666336,1.4055268035668607,Skeletal muscle
F13a1,Cortex,Hippocampus,-0.8312935179461011,0.5710777461538502,1.4023712640999513,Brain
Ctsh,Decellularized_Tissue,Native_Tissue,1.210248511266396,-0.1802682636828171,1.390516774949213,Heart
Col5a1,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,1.2834853572986125,-0.1038102058605319,1.3872955631591444,Skeletal muscle
Serpinc1,Cortex,Hippocampus,-0.6484302688726572,0.7375133718117893,1.3859436406844465,Brain
Lamc1,Decellularized_Tissue,Native_Tissue,0.935916842438038,-0.4420110606731435,1.3779279031111815,Heart
S100A6,NP,OAF,-0.2517094938104731,1.1198857008951597,1.3715951947056328,Intervertebral_disc
AEBP1,Cortex,Ovary,-0.7989389388037133,0.5676312511810996,1.3665701899848128,Ovary
Lama2,Decellularized_Tissue,Native_Tissue,0.9881320218569988,-0.376716807723103,1.3648488295801018,Heart
Col6a2,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,-0.3385227889456255,1.0203679752205477,1.3588907641661732,Skeletal muscle
COL12A1,Cortex,Ovary,-1.107092014761189,0.2438818515031776,1.3509738662643664,Ovary
TGM1,Glomerular,Tubulointerstitial,-0.8583798524728902,0.4901072897777961,1.3484871422506863,Kidney
SERPIND1,Glomerular,Tubulointerstitial,0.241145500540041,-1.0948863088126666,1.3360318093527075,Kidney
