Gene,Degree,Betweenness,PageRank,Degree_Norm,Betweenness_Norm,PageRank_Norm,Consensus_Score,N_Tissues,Direction_Consistency,Universality_Score,Predominant_Direction
APOA4,13,4.666666666666666,0.004166187442104999,0.18840579710144928,0.08001344763825852,0.18928093415377858,0.15615063337819085,,,,
VCAN,11,6.6,0.004051487682283834,0.15942028985507245,0.11316187594553705,0.18406982015858234,0.15293762477326478,10.0,0.75,0.6153031564970387,DOWN
HSPD1,9,5.249999999999999,0.005269055898888563,0.13043478260869565,0.09001512859304082,0.23938717028684503,0.15099460270744403,,,,
B2M,11,6.6,0.003850546028112849,0.15942028985507245,0.11316187594553705,0.1749405083980264,0.15019883124509803,,,,
LOX,11,6.0,0.0039029834841399083,0.15942028985507245,0.10287443267776096,0.1773228809627218,0.14782731003417382,5.0,0.8,0.5579957392953699,DOWN
S100A10,8,5.142857142857142,0.0054948845788611,0.11594202898550725,0.08817808515236653,0.2496471655698031,0.14772438681085376,,,,
LPL,11,4.4,0.004212106878809552,0.15942028985507245,0.07544125063035804,0.19136717583062007,0.14381064388032241,,,,
ELANE,10,7.111111111111112,0.0034293127103613157,0.14492753623188406,0.121925253544013,0.15580276267998433,0.14128941935995282,3.0,1.0,0.572231910628729,DOWN
LAMA5,13,2.5,0.0038592688126377135,0.18840579710144928,0.042864346949067066,0.17533680761073162,0.14082266520851933,,,,
P3H1,11,5.2,0.0036445926855239396,0.15942028985507245,0.0891578416540595,0.16558350235376032,0.14019051914437491,,,,
ITIH2,12,3.636363636363636,0.0036662679162912663,0.17391304347826086,0.062348141016824815,0.16656826551784049,0.13824013935170393,7.0,0.7142857142857143,0.5977244480067161,UP
COMP,9,7.25,0.0034685832631587235,0.13043478260869565,0.1243066061522945,0.1575869279441552,0.13674197327241316,4.0,0.8,0.5278770492772994,UP
S100A6,7,4.0,0.005211791134390204,0.10144927536231885,0.0685829551185073,0.23678548030794455,0.1321902407728631,,,,
COL4A5,11,4.0,0.0033642722820762636,0.15942028985507245,0.0685829551185073,0.1528478036929887,0.13019734358547777,3.0,0.8,0.4594281580014974,UP
F10,11,4.0,0.0033623700272905218,0.15942028985507245,0.0685829551185073,0.1527613792178907,0.13017141624294837,6.0,0.7142857142857143,0.5147213572521863,UP
SERPINA3,10,4.222222222222223,0.003637923309850383,0.14492753623188406,0.07239311929175773,0.165280494945847,0.12927309876403503,8.0,0.8,0.6087542355154022,UP
HSP90B1,9,3.4999999999999996,0.004318280937189787,0.13043478260869565,0.06001008572869389,0.1961909446198022,0.12903422214802707,,,,
PLOD2,9,5.5,0.0033455260192268546,0.13043478260869565,0.09430156328794755,0.1519961113019628,0.12606321542045137,4.0,1.0,0.571737189908303,DOWN
FBLN5,9,4.5,0.0036761097564638207,0.13043478260869565,0.07715582450832072,0.16701540639365092,0.12542528231406977,,,,
COL9A2,8,6.571428571428571,0.0032147956754307425,0.11594202898550725,0.11267199769469056,0.14605668540242378,0.1239954165233372,5.0,1.0,0.5885257735955348,DOWN
CP,11,1.8000000000000007,0.0034056793086353183,0.15942028985507245,0.0308623298033283,0.1547290346209155,0.11944552526930213,,,,
APOD,9,4.5,0.003134667480786891,0.13043478260869565,0.07715582450832072,0.14241624921346036,0.1180455351600126,,,,
ANXA1,7,4.0,0.004141056345061806,0.10144927536231885,0.0685829551185073,0.18813916182818166,0.11759634522893422,10.0,0.8,0.6248622220268746,DOWN
COL4A3,10,3.333333333333334,0.0030943005220343224,0.14492753623188406,0.0571524625987561,0.14058227132172807,0.11729143466889888,3.0,0.8,0.4417501522957479,DOWN
PLXNA1,5,3.5,0.005157833063586866,0.07246376811594203,0.060010085728693895,0.23433402218496793,0.11728873962047535,,,,
TSG101,6,5.2,0.004061829854496328,0.08695652173913043,0.0891578416540595,0.18453969244463844,0.11689186892526156,,,,
PDIA3,8,3.428571428571429,0.003831706993827855,0.11594202898550725,0.0587853901015777,0.17408460115487628,0.11623780897113908,,,,
SDC2,9,3.2500000000000004,0.0033235892011874565,0.13043478260869565,0.055723651033787194,0.1509994635350153,0.114190847414119,4.0,0.75,0.4180593763674069,UP
AZGP1,9,4.0,0.002893206623768658,0.13043478260869565,0.0685829551185073,0.13144604270856752,0.11218261239160071,,,,
C1QB,7,6.0,0.0029003703739897083,0.10144927536231885,0.10287443267776096,0.13177151086205982,0.11097349320687377,7.0,0.7142857142857143,0.5219463717224228,UP
ITIH4,10,1.9999999999999996,0.003076622756920515,0.14492753623188406,0.034291477559253644,0.13977912361390388,0.11019219484470089,,,,
OGN,6,4.800000000000001,0.003639891052778327,0.08695652173913043,0.08229954614220879,0.16536989472076147,0.10908344095454325,10.0,0.8,0.6236904423538654,UP
LAMA2,10,1.333333333333333,0.003091357244501888,0.14492753623188406,0.02286098503950243,0.14044855042497179,0.1069638751320959,8.0,0.75,0.5733010029685747,DOWN
THBS4,8,4.285714285714286,0.0027870764299515014,0.11594202898550725,0.07348173762697212,0.1266242668027088,0.10640861292310716,5.0,0.8,0.4771633212817949,DOWN
