Gene,Degree,Betweenness,PageRank,Degree_Norm,Betweenness_Norm,PageRank_Norm,Consensus_Score,N_Tissues,Direction_Consistency,Universality_Score,Predominant_Direction,Community
FGB,22,9.238095238095235,0.0061053896069695,0.3188405797101449,0.1583939677736954,0.2773840265804459,0.2582696301903003,10.0,0.9,0.7139220710691185,UP,1
HSP90AB1,15,10.714285714285715,0.0082258575427624,0.217391304347826,0.1837043440674303,0.3737225032590702,0.2541845759370805,,,,,2
FGF2,17,11.25,0.0067582677248511,0.2463768115942029,0.1928895612708018,0.307046009330494,0.2485313958180699,4.0,0.75,0.4318753119883536,DOWN,0
KNG1,20,9.578947368421051,0.0058867936785765,0.2898550724637681,0.1642381293627411,0.2674526343655216,0.245449258103986,,,,,1
THBS2,19,9.666666666666668,0.0056539910748586,0.2753623188405797,0.1657421415363927,0.2568757952488189,0.2369303085717953,4.0,0.75,0.3441348703272902,UP,0
AMBP,20,8.0,0.0057411325904853,0.2898550724637681,0.1371659102370146,0.2608348651924111,0.2353422616143349,10.0,0.8,0.6741217454462766,UP,1
COL6A3,20,8.105263157894738,0.0056801276256069,0.2898550724637681,0.1389707248453964,0.2580632480002746,0.2350522208392085,10.0,1.0,0.6939486950312634,DOWN,0
HSPA5,15,10.857142857142858,0.0067176379706267,0.217391304347826,0.1861537353216627,0.3052000919441778,0.2343626699188826,,,,,2
COL18A1,18,10.588235294117649,0.005445611848174,0.2608695652173913,0.1815431164901663,0.2474085748625042,0.2330333334927576,,,,,0
TTR,19,8.222222222222221,0.0056927354532236,0.2753623188405797,0.140976074410265,0.2586360550143842,0.2300285663636266,,,,,1
COL11A1,18,9.647058823529411,0.0055524212792908,0.2608695652173913,0.1654059505799293,0.2522612103185849,0.2296479743565108,6.0,1.0,0.6439412979049308,DOWN,0
HRG,19,7.444444444444445,0.0053549050943526,0.2753623188405797,0.1276404998038886,0.2432875267013355,0.2214233354877991,10.0,0.7,0.6390128351612182,UP,1
NID1,17,9.375,0.0050039449172126,0.2463768115942029,0.1607413010590015,0.2273424759557884,0.2149758577421181,,,,,0
COL14A1,15,9.714285714285714,0.0052527701670553,0.217391304347826,0.1665586052878034,0.2386472663392645,0.2085182832272508,9.0,0.8888888888888888,0.6673142501728826,DOWN,0
ORM1,18,5.647058823529411,0.0051595731169856,0.2608695652173913,0.096822995461422,0.234413077421291,0.2037186479517704,,,,,1
LAMC1,17,6.875,0.004980646408574,0.2463768115942029,0.1178769541099344,0.2262839629770069,0.2017989997637636,,,,,0
CD34,14,8.923076923076923,0.0052021826297523,0.2028985507246377,0.1529927460335932,0.2363489404837172,0.1979619262450482,,,,,0
LAMB1,17,6.25,0.0048781988258067,0.2463768115942029,0.1071608673726676,0.2216294978485284,0.1971878342040399,10.0,0.8,0.6354726479343055,DOWN,0
CST3,14,9.384615384615383,0.0048941579205449,0.2028985507246377,0.1609061639318825,0.2223545618074267,0.1961376380116478,,,,,1
COL15A1,15,7.2857142857142865,0.0045898224789759,0.217391304347826,0.1249189539658526,0.2085277963349691,0.1869905468293769,,,,,0
CTSD,10,8.444444444444445,0.0060743993983219,0.144927536231884,0.1447862385835154,0.2759760592904595,0.1841997038549461,8.0,0.75,0.594412085150038,UP,1
SPARC,14,7.538461538461538,0.0045417999231017,0.2028985507246377,0.1292524923387253,0.2063460043818626,0.1818389693060314,7.0,0.7142857142857143,0.4209767954046132,DOWN,0
POSTN,14,7.384615384615385,0.0044620482214608,0.2028985507246377,0.1266146863726288,0.2027226732675745,0.1799606281819161,,,,,0
MMP3,13,8.5,0.0044342961848413,0.1884057971014492,0.145738779626828,0.2014618247126265,0.179522500142416,3.0,1.0,0.546216566619678,UP,0
ASPN,11,9.0,0.0049021124799708,0.1594202898550724,0.1543116490166414,0.2227159585184082,0.1768763982025439,,,,,4
CTSB,11,8.4,0.0048282752207744,0.1594202898550724,0.1440242057488653,0.2193613361951785,0.1727837785252421,,,,,1
SERPIND1,15,5.000000000000001,0.0043558849665116,0.217391304347826,0.0857286938981341,0.1978993953068874,0.1720449485006369,8.0,0.875,0.6536011142593741,UP,1
GPC1,12,7.454545454545455,0.0046558966613133,0.1739130434782608,0.1278136890844909,0.2115297215075791,0.1713682405689253,6.0,0.8333333333333334,0.5662465842523341,DOWN,0
SERPINH1,14,5.6923076923076925,0.0043940180199159,0.2028985507246377,0.0975988207455681,0.1996318809597287,0.1703286308014441,10.0,0.7,0.5950311439035448,DOWN,0
CTSS,11,8.200000000000001,0.0045517065193899,0.1594202898550724,0.14059505799294,0.2067960872995836,0.167985459529786,,,,,1
CFH,11,8.4,0.0044202790958297,0.1594202898550724,0.1440242057488653,0.2008249912193929,0.1672228750325064,,,,,1
GPX3,10,7.777777777777778,0.0049312597885356,0.144927536231884,0.1333557460637642,0.2240401979747182,0.1651897977042983,,,,,3
