Canonical_Gene_Symbol,Mean_Delta,Median_Delta,Std_Delta,Min_Delta,Max_Delta,N_Tissues,Tissues,BM_Family,Loss_Score,Consistency_Score,Coverage_Score,Structure_Score,Therapeutic_Score
LAMA1,-0.118,-0.118,0.173,-0.241,0.004,2,"['Kidney_Glomerular', 'Kidney_Tubulointerstitial']",Laminins,0.774842044801838,0.9202453987730062,0.09090909090909091,0.9,0.4722940800156843
NID2,-0.257,-0.355,0.524,-1.019,0.732,8,"['Intervertebral_disc_NP', 'Intervertebral_disc_IAF', 'Intervertebral_disc_OAF', 'Heart_Native_Tissue', 'Skin dermis', 'Kidney_Glomerular', 'Kidney_Tubulointerstitial', 'Ovary_Cortex']",Nidogens,0.6950028719126938,0.38190184049079756,0.6363636363636364,0.7,0.46565194660580933
LAMC3,0.004,0.004,0.121,-0.081,0.089,2,"['Kidney_Glomerular', 'Kidney_Tubulointerstitial']",Laminins,0.8449167145318782,1.0,0.09090909090909091,0.9,0.46021513236906697
LAMB1,-0.391,-0.253,0.773,-2.202,0.326,8,"['Intervertebral_disc_NP', 'Intervertebral_disc_IAF', 'Intervertebral_disc_OAF', 'Heart_Native_Tissue', 'Skin dermis', 'Kidney_Glomerular', 'Kidney_Tubulointerstitial', 'Ovary_Cortex']",Laminins,0.6180356117174038,0.0,0.6363636363636364,0.9,0.46005848258576576
FREM1,-0.488,-0.488,0.413,-0.779,-0.196,2,"['Kidney_Glomerular', 'Kidney_Tubulointerstitial']",Other BM,0.5623205054566341,0.5521472392638037,0.09090909090909091,0.4,0.3836830638519253
COL4A6,0.18,0.139,0.498,-0.393,0.707,5,"['Skin dermis', 'Kidney_Glomerular', 'Kidney_Tubulointerstitial']",Collagen IV,0.9460080413555427,0.4217791411042945,0.36363636363636365,1.0,0.37867988440591455
COL18A1,0.128,-0.007,0.756,-1.258,2.013,12,"['Intervertebral_disc_NP', 'Intervertebral_disc_IAF', 'Intervertebral_disc_OAF', 'Heart_Native_Tissue', 'Skin dermis', 'Kidney_Glomerular', 'Kidney_Tubulointerstitial', 'Ovary_Cortex']",Collagen XVIII,0.9161401493394601,0.026073619631901912,1.0,0.5,0.3387586641905964
FRAS1,-0.234,-0.234,0.496,-0.585,0.117,2,"['Kidney_Glomerular', 'Kidney_Tubulointerstitial']",Other BM,0.7082136703044227,0.42484662576687116,0.09090909090909091,0.4,0.29986567521342333
COL4A5,0.274,0.147,0.627,-0.345,1.147,4,"['Kidney_Glomerular', 'Kidney_Tubulointerstitial']",Collagen IV,1.0,0.2239263803680982,0.2727272727272727,1.0,0.2993307306190742
FREM2,0.268,0.268,0.532,-0.108,0.645,2,"['Kidney_Glomerular', 'Kidney_Tubulointerstitial']",Other BM,0.996553704767375,0.3696319018404908,0.09090909090909091,0.4,0.17348671664296633
