S100,Crosslinker,Spearman_rho,P_value
S100A10,LOXL4,0.3672744906160881,0.1337892210757204
S100A16,TGM5,-0.3668735631875133,0.13424662412943325
S100A13,TGM5,-0.36120409418331667,0.14083184189634168
S100G,LOXL1,0.35302699803452436,0.1507192073878013
S100A1;S100A1,LOXL1,-0.35302699803452436,0.1507192073878013
S100A2,TGM2,0.3506115062819234,0.15372894485002397
S100G,TGM2,-0.3506115062819234,0.15372894485002397
S100A1;S100A1,TGM2,0.3506115062819234,0.15372894485002397
S100A14,TGM2,0.3506115062819234,0.15372894485002397
S100A3,TGM2,0.3506115062819234,0.15372894485002397
S100A13,LOX,-0.34579606527320356,0.15985147145362533
S100A1;S100A1,LOXL2,-0.34562029574689096,0.16007805004219383
S100G,LOXL2,0.34562029574689096,0.16007805004219383
S100B,LOXL3,-0.33522844815266256,0.17386529534151016
S100A8,TGM5,0.33358930762735955,0.1761107809750942
S100A16,TGM2,-0.33151627323519495,0.17897849025681173
S100A10,LOXL1,-0.3290636036005669,0.1824116211876897
S100A7,TGM1,-0.3115963464702782,0.20813568342057012
S100A6,TGM5,-0.3095043150309844,0.21136775562349858
S100A11,TGM3,0.3075000052216208,0.21449484754642612
S100A7,TGM2,0.303395981841775,0.22099135509482765
S100A12,LOXL4,0.28504636053262694,0.25158268774777226
S100A12,LOXL2,-0.2837161781527258,0.25389879921134306
S100A12,LOXL1,0.27632433078332996,0.26701269567566555
S100A12,LOXL3,-0.27632433078332996,0.26701269567566555
S100A8,LOXL3,-0.26833635461892746,0.28164772964017226
S100A10,TGM5,0.2618882665646791,0.293812359117692
S100A11,TGM5,0.2598103051399509,0.2977992025247356
S100A9,LOXL3,-0.24640824755289673,0.32429051451889745
S100B,LOXL2,-0.24165554072096126,0.3340068629212889
S100A4,LOXL3,-0.22858174440220647,0.3615952259702143
S100A9,TGM3,0.22449626476535442,0.37047288690907665
S100A11,TGM1,-0.22039699945068958,0.3795019721329346
S100A1,TGM3,-0.20933755338629706,0.4044618092218152
S100A13,TGM3,-0.20855404714920833,0.4062629700101681
S100A6,TGM2,-0.20707653985186913,0.40967126217756056
S100A8,LOXL2,-0.2036048662986278,0.41773973822807475
S100A7,LOX,0.20304019995805225,0.41906000757512973
S100A1,LOXL2,0.20231622790433265,0.4207559919943862
S100A16,LOX,-0.2008944838480288,0.4240971425839265
