Insight_ID,Gene_Symbol,Metric,V2_Value,V1_Value
G6,Ces1d,Divergence,3.864864282510778,1.6837266618923705
G6,Col5a2,Divergence,3.8575387553940526,1.656427016549404
G6,LMAN1,Divergence,3.726363815554453,
G6,CPN2,Divergence,3.6399300570024806,
G6,F9,Divergence,3.4546444048230907,
G6,Col12a1,Divergence,3.4289540475584306,1.4964033230358469
G6,MFAP4,Divergence,3.375727057498467,
G6,Col1a1,Divergence,3.3260890715152547,1.4479188443927642
G6,Ces1d,Divergence,3.3218663486249977,1.4483749917745772
G6,Col5a2,Divergence,3.2209805655748784,1.349549122680267
G6,Apoc1,Divergence,3.1931549355747864,1.4063372183472977
G6,CCN5,Divergence,3.1145468216235144,
G6,MMRN2,Divergence,3.1053981040760297,
G6,Postn,Divergence,3.0991596299987316,1.3241703224346768
G6,Col1a2,Divergence,3.0715621744162966,1.3562407415523399
G6,Col12a1,Divergence,3.0492892432109926,1.2991744506938163
G6,F9,Divergence,3.040026093959742,
G6,Mbl2,Divergence,3.03426979329933,1.2349931963019212
G6,Col2a1,Divergence,3.0297755597629283,1.3040253037996021
G6,Apod,Divergence,2.9971859479942626,1.136853970546085
G6,MMRN2,Divergence,2.9392086413174034,
G6,CPN2,Divergence,2.9361482004443347,
G6,MFAP4,Divergence,2.9076242025491204,
S1,FGA,Mean_Delta,0.3745675139451114,0.3170142590885553
S1,FGB,Mean_Delta,0.4639055489622011,0.3889813503728441
S1,FGG,Mean_Delta,0.7619711807450972,0.40254946884617643
S1,SERPINC1,Mean_Delta,0.46864417929858804,0.3899993747713102
S1,F2,Mean_Delta,0.5662471442497237,0.4784004036981658
S1,PLG,Mean_Delta,0.33182337033375775,0.43129573465838655
S1,F12,Mean_Delta,0.5350765707040291,0.34510577740472914
S2,Hp,Mean_Zscore_Delta,4.185253349341691,1.7847414333738034
S2,Hapln2,Mean_Zscore_Delta,3.28150571509003,
S2,Angptl7,Mean_Zscore_Delta,3.1677736306286874,1.35690839052571
S2,Amy1,Mean_Zscore_Delta,2.330204084042841,0.9653435213889985
S2,Myoc,Mean_Zscore_Delta,2.3262928234305194,1.019469008625633
S2,FCN2,Mean_Zscore_Delta,2.1733207300159347,
S2,Fth1,Mean_Zscore_Delta,1.980099732900624,0.8362570170983721
S2,Ppt1,Mean_Zscore_Delta,1.9102766712596022,0.7948489901554837
S2,Gstm2,Mean_Zscore_Delta,1.596036999471143,0.6497362354779427
S2,Fam213a,Mean_Zscore_Delta,1.3770151382439924,0.589164138815103
S3,TIMP3,Mean_Delta,1.4182251485202118,0.8571374706659904
S4,A2M,TSI,5.02857613867554,
S4,ACAN,TSI,7.603330239558882,
S4,ADAM15,TSI,8.915401520245343,
S4,ANGPTL2,TSI,5.4142940397893655,
S4,ANGPTL5,TSI,10.109197613794949,
S4,Adamtsl4,TSI,11.498130607037577,
S4,Agrn,TSI,6.231938771532528,
S4,C1QC,TSI,9.239634229123409,
S4,CCN5,TSI,7.558267637230648,
S4,CLEC11A,TSI,18.4972505844174,
S4,COL5A3,TSI,5.3645374540265385,
S4,COL8A2,TSI,8.843610598244224,
S4,CSTB,TSI,4.715361379607296,
S4,Cnp,TSI,5.830076733374542,
S4,Col6a4,TSI,27.46347473104584,
S4,DCN,TSI,5.131855223373266,
S4,EFEMP2,TSI,13.881980342855588,
S4,F12,TSI,5.985396694507353,
S4,FBLN7,TSI,11.068544263584807,
S4,FBN3,TSI,18.348375744196236,
S4,FGL2,TSI,6.799579045418249,
S4,Fcna,TSI,9.085583550687142,
S4,Hc,TSI,8.24050356672382,
S4,INHBC,TSI,17.830064523522722,
S4,LAMB1,TSI,15.29589124711929,8.739142790099912
S4,LUM,TSI,7.552718116152991,
S4,MATN4,TSI,7.528080042477626,
S4,MMP14,TSI,15.425497162220033,
S4,NID2,TSI,7.67953320896756,
S4,NPNT,TSI,9.24056617525011,
S5,F2,Composite_Score,2.486482503780675,2.4459192025172345
S5,Astl,Composite_Score,2.46401216665559,
S5,PLG,Composite_Score,2.4567724910328823,2.4931639088549735
S5,TIMP3,Composite_Score,2.34629798468435,2.1916287850933314
S5,VTN,Composite_Score,2.3300203804374355,2.3015990826635075
S5,SERPINB2,Composite_Score,2.2942782693164214,
S5,F9,Composite_Score,2.2360535503492818,
S5,FGB,Composite_Score,2.2210481681636223,2.1418862780676506
S5,FGG,Composite_Score,2.1778626305678053,2.140570602089186
S5,FGA,Composite_Score,2.1674597424266473,2.1166226376761457
