Protein,Degree_Centrality,Betweenness_Centrality,Eigenvector_Centrality,Is_Serpin,Degree,Avg_Centrality,Is_Hub
ASPN,0.10545454545454545,0.0018278829670502908,0.016841646401435918,False,58,0.04137469160767722,False
Adam10,0.06181818181818182,0.001285523133503772,0.0001177179508642793,False,34,0.02107380763418329,False
Adam9,0.056363636363636366,0.013931194638549527,0.000311018289728872,False,31,0.02353528309730492,True
Adipoq,0.02181818181818182,0.00045255554156056933,3.8757697209762493e-05,False,12,0.007436498352317384,False
Aebp1,0.04363636363636364,0.0007103811605940614,0.00013569617335854931,False,24,0.01482748032343875,False
Agrn,0.06909090909090909,0.0014823089008398301,9.184329743252702e-05,False,38,0.023555020429727153,False
Agt,0.05090909090909091,0.0003680140689039987,5.280341339877594e-05,False,28,0.017109969463797895,False
Ambp,0.02909090909090909,0.0031430727695256535,0.0006968315027430432,False,16,0.01097693778772593,False
Angptl2,0.04,0.0009983518160503926,9.623732059700224e-05,False,22,0.013698196378882465,False
Angptl7,0.04363636363636364,0.0007103811605940614,0.00013569617335854931,False,24,0.01482748032343875,False
Anxa1,0.06909090909090909,0.007543732459718588,0.0007579737680059058,False,38,0.02579753843954453,True
Anxa11,0.04909090909090909,0.00020871545042499667,8.971576145107312e-05,False,27,0.01646311343426172,False
Anxa2,0.056363636363636366,0.017440148529654087,0.0014969080540390024,False,31,0.025100230982443152,True
Anxa3,0.09272727272727273,0.0008611686164368836,0.00020432569035849638,False,51,0.031264255678022705,False
Anxa4,0.05818181818181818,0.0004401043604193754,0.00013536026650654863,False,32,0.019585760936248035,False
Anxa5,0.03090909090909091,0.0004810252261117806,3.4667217556256313e-05,False,17,0.010474927784252982,False
Anxa6,0.04909090909090909,0.0005984317427017147,8.734419921750638e-05,False,27,0.016592228344276105,False
Anxa7,0.023636363636363636,0.00011601397281966494,2.6660388252208905e-05,False,13,0.007926345999145169,False
Aspn,0.02727272727272727,0.0013864441399209675,0.000720491387656825,False,15,0.00979322093343502,False
BCAN,0.24363636363636362,0.0028090830593427234,0.11971830539044712,False,134,0.12205458402871783,True
BGN,0.13272727272727272,0.002442908070184037,0.02021610873835855,False,73,0.05179542984527177,False
